Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;cuadra;2;61358;8318240608
graphComp;1;cuadra;7060;60005;8426281864
graphComp;2;cuadra;192;60257;11107553784
graphComp;3;cuadra;759;60005;6519794584
graphComp;4;cuadra;101;60001;9593244144
graphComp;5;cuadra;25;60001;9855481800
graphComp;6;cuadra;103;60001;9164711032
graphComp;7;cuadra;87;60001;9550990608
graphComp;8;cuadra;10065;60001;9796576880
graphComp;9;cuadra;50;60001;8062892152
graphComp;10;cuadra;18390;60001;8589172352
graphComp;11;cuadra;10303;60001;9814109920
graphComp;12;cuadra;2308;60342;8516362856
graphComp;13;cuadra;3987;60001;9201124552
graphComp;14;cuadra;221;61685;8586848744
graphComp;15;cuadra;1222;60001;8438870320
graphComp;16;cuadra;72;62780;8649681432
graphComp;17;cuadra;141;61155;8646211192
graphComp;18;cuadra;40885;60001;8504738840
graphComp;19;cuadra;201;60156;8128720312
graphComp;20;cuadra;95;61893;8457920408
graphComp;21;cuadra;2121;60020;1392759184
graphComp;22;cuadra;86;60001;8941960000
graphComp;23;cuadra;75;60819;8682937424
graphComp;24;cuadra;249;62149;8614326464
graphComp;25;cuadra;1224;60617;9190210816
graphComp;26;cuadra;349790;60004;6938795736
graphComp;27;cuadra;1366;60007;8208636264
graphComp;28;cuadra;18306;60005;360875152
graphComp;29;cuadra;3548;60894;7938647880
graphComp;30;cuadra;4;60001;6579654752
graphComp;31;cuadra;168;60001;8373255944
graphComp;32;cuadra;2023;60001;7150592840
graphComp;33;cuadra;1519;60003;3124286616
graphComp;34;cuadra;7255;60001;5828270936
graphComp;35;cuadra;172;60001;9450615304
graphComp;36;cuadra;1648;60174;2038922904
graphComp;37;cuadra;124;60252;8690734592
graphComp;38;cuadra;9660;60007;6833469256
graphComp;39;cuadra;183;60001;3248411168
graphComp;40;cuadra;1098020;60001;4240992176
graphComp;41;cuadra;14;60001;7618101632
graphComp;42;cuadra;975;60001;9687780696
graphComp;43;cuadra;108;60001;8291402120
graphComp;44;cuadra;132;61540;8676580528
graphComp;45;cuadra;173515;60001;1608046296
graphComp;46;cuadra;1631;63082;3085990280
graphComp;47;cuadra;9680;60001;9233177840
graphComp;48;cuadra;496;63283;9144694592
graphComp;49;cuadra;31;60001;9078061808
graphComp;50;cuadra;64921;60001;9625054064
graphComp;51;cuadra;115;61985;8676709736
graphComp;52;cuadra;37;60020;8128753480
graphComp;53;cuadra;140;60135;8129577896
graphComp;54;cuadra;214;60001;8229103376
graphComp;55;cuadra;1702;60001;4086231816
graphComp;56;cuadra;2236;60001;342111512
graphComp;57;cuadra;118;61013;8682316400
graphComp;58;cuadra;34;61688;8689782888
graphComp;59;cuadra;20;61829;8691247296
graphComp;60;cuadra;243;60802;8129427432
graphComp;61;cuadra;70;60001;6238569128
graphComp;62;cuadra;75;60291;8129046184
graphComp;63;cuadra;3692;60001;10538667888
graphComp;64;cuadra;102;60441;8128786968
graphComp;65;cuadra;413;60001;7816768080
graphComp;66;cuadra;114;60001;8380765640
graphComp;67;cuadra;32975;60552;8143830096
graphComp;68;cuadra;110;60001;8361505952
graphComp;69;cuadra;153;60001;8238610768
graphComp;70;cuadra;263;60001;8415149384
graphComp;71;cuadra;1340;61041;8276711352
graphComp;72;cuadra;193977;60001;2634167128
graphComp;73;cuadra;473;60001;7465032472
graphComp;74;cuadra;1599;60001;7844687056
graphComp;75;cuadra;37085;60001;42556984
graphComp;76;cuadra;19;60830;8134808280
graphComp;77;cuadra;0;60001;6651054864
graphComp;78;cuadra;123;61715;8688315088
graphComp;79;cuadra;71;61545;8689243888
graphComp;80;cuadra;55;60412;8690816760
graphComp;81;cuadra;2;60571;8691279728
graphComp;82;cuadra;509;60031;6854779008
graphComp;83;cuadra;18021;60001;9754830312
graphComp;84;cuadra;65105;60001;8680928976
graphComp;85;cuadra;165;60001;8413607928
graphComp;86;cuadra;145;62133;8665169312
graphComp;87;cuadra;4;61668;8633170216
graphComp;88;cuadra;2875;60001;7512881688
graphComp;89;cuadra;93;60753;8690233176
graphComp;90;cuadra;72;60589;8689530128
graphComp;91;cuadra;128;60001;6436022680
graphComp;92;cuadra;331;60001;8626119160
graphComp;93;cuadra;2771;60002;1001974760
graphComp;94;cuadra;105;60744;8128890480
graphComp;95;cuadra;17;61688;5414991008
graphComp;96;cuadra;126;62409;8688295376
graphComp;97;cuadra;388;60001;8418378088
graphComp;98;cuadra;173;60001;8269521944
graphComp;99;cuadra;72;60001;8214099464
