Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;cuadra;2;62060;7951414656
graphCompDense;1;cuadra;8590;60003;7279469360
graphCompDense;2;cuadra;192;60001;9570876072
graphCompDense;3;cuadra;1037;60019;5765117488
graphCompDense;4;cuadra;99;60001;7773094096
graphCompDense;5;cuadra;21;60001;7158301936
graphCompDense;6;cuadra;103;60001;7684262480
graphCompDense;7;cuadra;71;60001;7401379240
graphCompDense;8;cuadra;10065;60001;8452567280
graphCompDense;9;cuadra;50;60001;7018915360
graphCompDense;10;cuadra;18390;60001;7416120528
graphCompDense;11;cuadra;10336;60001;8457577304
graphCompDense;12;cuadra;2308;60001;7758949008
graphCompDense;13;cuadra;3875;60001;7947080120
graphCompDense;14;cuadra;219;60455;7021848160
graphCompDense;15;cuadra;1222;60001;7267034288
graphCompDense;16;cuadra;84;60001;7896333512
graphCompDense;17;cuadra;131;60001;7234621144
graphCompDense;18;cuadra;40885;61645;7343581120
graphCompDense;19;cuadra;201;60268;7021395632
graphCompDense;20;cuadra;95;60001;7209008064
graphCompDense;21;cuadra;1865;60033;1200538120
graphCompDense;22;cuadra;86;60001;7909779872
graphCompDense;23;cuadra;61;60001;7345709792
graphCompDense;24;cuadra;249;60001;7439248264
graphCompDense;25;cuadra;1224;60001;7933125288
graphCompDense;26;cuadra;347512;60003;5947786952
graphCompDense;27;cuadra;1365;60001;6655024784
graphCompDense;28;cuadra;14960;60002;276738632
graphCompDense;29;cuadra;3285;60001;6939492096
graphCompDense;30;cuadra;4;60679;5432951000
graphCompDense;31;cuadra;168;60001;7521692968
graphCompDense;32;cuadra;2023;60001;6160401504
graphCompDense;33;cuadra;1505;60011;2694188072
graphCompDense;34;cuadra;6275;60013;4839897272
graphCompDense;35;cuadra;172;60001;8157842312
graphCompDense;36;cuadra;1505;60006;1438667864
graphCompDense;37;cuadra;133;60003;7560863632
graphCompDense;38;cuadra;8300;60370;4951538032
graphCompDense;39;cuadra;183;60001;2733028072
graphCompDense;40;cuadra;1098020;60001;3315376128
graphCompDense;41;cuadra;14;60181;6628020424
graphCompDense;42;cuadra;1014;60001;8332875360
graphCompDense;43;cuadra;108;60001;7348118912
graphCompDense;44;cuadra;132;60001;7054315936
graphCompDense;45;cuadra;136607;60001;1388215344
graphCompDense;46;cuadra;1429;60001;2363342944
graphCompDense;47;cuadra;9680;60001;7969816352
graphCompDense;48;cuadra;504;60001;8173565936
graphCompDense;49;cuadra;31;60001;7922357104
graphCompDense;50;cuadra;64921;60001;8306885848
graphCompDense;51;cuadra;115;60001;7319459096
graphCompDense;52;cuadra;37;60001;7364554472
graphCompDense;53;cuadra;140;60001;7205069688
graphCompDense;54;cuadra;212;60001;6777396760
graphCompDense;55;cuadra;1700;60001;3201817960
graphCompDense;56;cuadra;2234;60001;296232608
graphCompDense;57;cuadra;114;60001;7458257280
graphCompDense;58;cuadra;36;60001;7683736576
graphCompDense;59;cuadra;20;60001;7360476784
graphCompDense;60;cuadra;281;60001;7382547112
graphCompDense;61;cuadra;76;60001;5909097760
graphCompDense;62;cuadra;75;60001;8486449336
graphCompDense;63;cuadra;3692;60104;9427538696
graphCompDense;64;cuadra;128;60001;7845706720
graphCompDense;65;cuadra;413;60001;6827993976
graphCompDense;66;cuadra;116;60001;7624932320
graphCompDense;67;cuadra;32975;60001;7472772240
graphCompDense;68;cuadra;110;60001;7632726936
graphCompDense;69;cuadra;170;60037;7685198840
graphCompDense;70;cuadra;263;60001;7267723560
graphCompDense;71;cuadra;1344;60001;7650703880
graphCompDense;72;cuadra;194226;60001;2296933168
graphCompDense;73;cuadra;398;60009;6271176320
graphCompDense;74;cuadra;1599;60001;6755103536
graphCompDense;75;cuadra;37149;60001;35247264
graphCompDense;76;cuadra;19;60549;7027509168
graphCompDense;77;cuadra;0;60001;5775324640
graphCompDense;78;cuadra;122;60019;7488427496
graphCompDense;79;cuadra;69;60001;7383066320
graphCompDense;80;cuadra;55;60001;7500095584
graphCompDense;81;cuadra;2;60001;7338572616
graphCompDense;82;cuadra;464;60492;5842325864
graphCompDense;83;cuadra;17348;61072;8414569192
graphCompDense;84;cuadra;54295;60001;7497596648
graphCompDense;85;cuadra;165;60001;7266160056
graphCompDense;86;cuadra;151;60001;7930830400
graphCompDense;87;cuadra;4;60001;8190593872
graphCompDense;88;cuadra;2875;61979;6619804168
graphCompDense;89;cuadra;105;60001;7890926976
graphCompDense;90;cuadra;78;60001;8211921848
graphCompDense;91;cuadra;128;61195;5479379720
graphCompDense;92;cuadra;291;60001;6737993864
graphCompDense;93;cuadra;2373;60004;857446632
graphCompDense;94;cuadra;105;60001;7457821424
graphCompDense;95;cuadra;17;60001;4793131944
graphCompDense;96;cuadra;114;60001;7086482032
graphCompDense;97;cuadra;388;60001;7270369896
graphCompDense;98;cuadra;171;60001;7025633616
graphCompDense;99;cuadra;78;60001;7855515232
