Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;penta;33;61859;7805107464
graphCompDense;1;penta;0;62447;8078606096
graphCompDense;2;penta;139348;60001;569846088
graphCompDense;3;penta;9404;60004;5763117520
graphCompDense;4;penta;146;60001;7340282168
graphCompDense;5;penta;28;60001;8259911392
graphCompDense;6;penta;77;60001;6680912840
graphCompDense;7;penta;69;60001;7469860208
graphCompDense;8;penta;10094;60237;9545673376
graphCompDense;9;penta;50;60001;7971727256
graphCompDense;10;penta;2028;60014;933099384
graphCompDense;11;penta;4629;60001;5541554600
graphCompDense;12;penta;3650486;60001;3967436112
graphCompDense;13;penta;784;60001;5131046752
graphCompDense;14;penta;116;60001;6305859584
graphCompDense;15;penta;1743;60016;1978489696
graphCompDense;16;penta;95;60001;12005431776
graphCompDense;17;penta;181;60001;7461603216
graphCompDense;18;penta;524;60001;6196524752
graphCompDense;19;penta;9929;60001;6116511680
graphCompDense;20;penta;110;60024;7636424856
graphCompDense;21;penta;4897;60022;1209254680
graphCompDense;22;penta;100;60001;7138075096
graphCompDense;23;penta;67;60011;7445738304
graphCompDense;24;penta;216;60001;3104661104
graphCompDense;25;penta;429;60024;6775151576
graphCompDense;26;penta;370764;60746;6171399624
graphCompDense;27;penta;99;60326;7021570128
graphCompDense;28;penta;96;60068;7021286464
graphCompDense;29;penta;731;60707;5797174800
graphCompDense;30;penta;48;60001;7799947520
graphCompDense;31;penta;88;60001;7595662320
graphCompDense;32;penta;2264;60001;6208435384
graphCompDense;33;penta;10474;60004;4032487320
graphCompDense;34;penta;5492;60005;1477516528
graphCompDense;35;penta;224;60001;7695981648
graphCompDense;36;penta;2433;60001;7028788440
graphCompDense;37;penta;278;60001;7366088936
graphCompDense;38;penta;2271;60007;388390528
graphCompDense;39;penta;450;60001;3011330960
graphCompDense;40;penta;6668;60002;2822778504
graphCompDense;41;penta;105;60001;7454664584
graphCompDense;42;penta;7883;60004;1564064264
graphCompDense;43;penta;11541;60001;6270139096
graphCompDense;44;penta;1748;60362;7032636616
graphCompDense;45;penta;30913;60001;8587355896
graphCompDense;46;penta;1645;60001;2693028568
graphCompDense;47;penta;1906;60023;1592785224
graphCompDense;48;penta;65;60001;7350595800
graphCompDense;49;penta;145;60001;7930966168
graphCompDense;50;penta;64921;60001;11040640664
graphCompDense;51;penta;130;60001;7631603608
graphCompDense;52;penta;112;60001;8109267912
graphCompDense;53;penta;157;60001;5868508512
graphCompDense;54;penta;306;60635;7022064624
graphCompDense;55;penta;254;60133;7021453408
graphCompDense;56;penta;109;60012;7874919296
graphCompDense;57;penta;62;60001;7466459784
graphCompDense;58;penta;38;60001;8105558808
graphCompDense;59;penta;96;60008;7268208400
graphCompDense;60;penta;243;60001;7179777680
graphCompDense;61;penta;181;60001;7289047448
graphCompDense;62;penta;10639;60001;7595765408
graphCompDense;63;penta;1762;60001;5678621600
graphCompDense;64;penta;206;60001;7702471776
graphCompDense;65;penta;7285;60001;6470387016
graphCompDense;66;penta;176;60001;7350121872
graphCompDense;67;penta;2028;60029;1716346336
graphCompDense;68;penta;96;60001;4842126232
graphCompDense;69;penta;8002;60002;5965529576
graphCompDense;70;penta;266;60001;7305641400
graphCompDense;71;penta;1364;60001;7687604520
graphCompDense;72;penta;1273;60001;5392280496
graphCompDense;73;penta;476;60001;6319994072
graphCompDense;74;penta;1614;60001;7869853216
graphCompDense;75;penta;1488;61415;3091520344
graphCompDense;76;penta;24;60001;7453851448
graphCompDense;77;penta;0;60001;8281612256
graphCompDense;78;penta;87;60001;7613778400
graphCompDense;79;penta;110;60001;7975512112
graphCompDense;80;penta;103;60001;8094203344
graphCompDense;81;penta;95;60001;8060789936
graphCompDense;82;penta;721;60001;7321577320
graphCompDense;83;penta;17355;60001;8742276224
graphCompDense;84;penta;1665;60001;6846481160
graphCompDense;85;penta;24908;60001;1414765768
graphCompDense;86;penta;120;60001;7840290496
graphCompDense;87;penta;4;61445;8587913352
graphCompDense;88;penta;2062;60010;596876112
graphCompDense;89;penta;201;60001;7670541056
graphCompDense;90;penta;156;60001;7989639336
graphCompDense;91;penta;29;60001;8450685336
graphCompDense;92;penta;1289;60001;7268273512
graphCompDense;93;penta;1994;60030;527926680
graphCompDense;94;penta;159;60001;8023135552
graphCompDense;95;penta;170;60001;7696700392
graphCompDense;96;penta;2865;60001;8391441176
graphCompDense;97;penta;189;60001;7688758352
graphCompDense;98;penta;188;60001;6752420944
graphCompDense;99;penta;64878;60001;4380992144
