Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;triple;0;62187;7805374528
graphCompDense;1;triple;3983;60001;7267868776
graphCompDense;2;triple;178;60001;9509294536
graphCompDense;3;triple;991;60021;5759076112
graphCompDense;4;triple;3;60001;7184204680
graphCompDense;5;triple;0;60001;3869160960
graphCompDense;6;triple;90;60001;8492514264
graphCompDense;7;triple;134;60452;7268539328
graphCompDense;8;triple;244;60001;7270517744
graphCompDense;9;triple;20;60001;6802209096
graphCompDense;10;triple;1443;60029;3515025640
graphCompDense;11;triple;5431;60001;4477753560
graphCompDense;12;triple;0;60001;8215574888
graphCompDense;13;triple;38;60001;8598466104
graphCompDense;14;triple;233;60007;7547856416
graphCompDense;15;triple;15;60001;7368459800
graphCompDense;16;triple;21;60001;7442075656
graphCompDense;17;triple;17;60001;7190787568
graphCompDense;18;triple;931;60001;7267883096
graphCompDense;19;triple;256;60001;7269946600
graphCompDense;20;triple;106;60012;7549493760
graphCompDense;21;triple;7467;60004;1304153088
graphCompDense;22;triple;5;60001;8167243864
graphCompDense;23;triple;127;60001;8063171712
graphCompDense;24;triple;176;62538;8646865040
graphCompDense;25;triple;1972;60001;7920504280
graphCompDense;26;triple;74313;60001;8091084456
graphCompDense;27;triple;135;60008;7503836200
graphCompDense;28;triple;75;60001;7424193536
graphCompDense;29;triple;6226;60001;7311362008
graphCompDense;30;triple;0;60001;8049734736
graphCompDense;31;triple;36;60001;7396548400
graphCompDense;32;triple;64;60005;7422701944
graphCompDense;33;triple;2941;60001;8834726280
graphCompDense;34;triple;25258;60001;1372636256
graphCompDense;35;triple;159;60001;7753365376
graphCompDense;36;triple;439737;60001;4568787528
graphCompDense;37;triple;76;60001;7221568264
graphCompDense;38;triple;66645;60001;7903527768
graphCompDense;39;triple;2211;60021;1564235280
graphCompDense;40;triple;84;60001;7759019888
graphCompDense;41;triple;53;60001;7895032536
graphCompDense;42;triple;121;60001;11921245224
graphCompDense;43;triple;11;60001;8079099080
graphCompDense;44;triple;9132;60684;529848656
graphCompDense;45;triple;193735;60001;1186911512
graphCompDense;46;triple;2249;60005;2887773968
graphCompDense;47;triple;171;60001;7270558216
graphCompDense;48;triple;428;60001;2564946064
graphCompDense;49;triple;79;60001;4495357256
graphCompDense;50;triple;83;60001;7420331184
graphCompDense;51;triple;1188;60001;4479626416
graphCompDense;52;triple;0;60307;8245312376
graphCompDense;53;triple;18;60001;6119087360
graphCompDense;54;triple;216;60001;7243985424
graphCompDense;55;triple;1702;60001;5812593312
graphCompDense;56;triple;0;60001;7651783152
graphCompDense;57;triple;255985;60001;7108918144
graphCompDense;58;triple;0;60001;7719255912
graphCompDense;59;triple;37;60001;7926023296
graphCompDense;60;triple;242;60276;7022073104
graphCompDense;61;triple;84;60001;8131643608
graphCompDense;62;triple;4;60001;5969090440
graphCompDense;63;triple;100;60001;6934047384
graphCompDense;64;triple;93;60001;7370823448
graphCompDense;65;triple;1136;60008;4632163760
graphCompDense;66;triple;1421;60001;8418654880
graphCompDense;67;triple;81;60001;8130265016
graphCompDense;68;triple;57;60001;7650796592
graphCompDense;69;triple;124;60001;7395671648
graphCompDense;70;triple;89;60001;6825300840
graphCompDense;71;triple;17;60001;7731860584
graphCompDense;72;triple;0;60001;7423557768
graphCompDense;73;triple;168;60023;6400359952
graphCompDense;74;triple;0;60001;7598634064
graphCompDense;75;triple;129;60001;12320334680
graphCompDense;76;triple;9;60644;7044372752
graphCompDense;77;triple;0;60001;5216274032
graphCompDense;78;triple;287;60001;7299402152
graphCompDense;79;triple;0;60001;3649114216
graphCompDense;80;triple;0;60001;7494197120
graphCompDense;81;triple;0;60001;7424139872
graphCompDense;82;triple;488;60006;5837452792
graphCompDense;83;triple;2;60001;7450453304
graphCompDense;84;triple;23068;60001;7331019152
graphCompDense;85;triple;54;60001;5861231616
graphCompDense;86;triple;3;60001;6242197032
graphCompDense;87;triple;1161527;60001;1240301160
graphCompDense;88;triple;5679;60001;6929419808
graphCompDense;89;triple;55;60141;7021786696
graphCompDense;90;triple;154;60001;7277218192
graphCompDense;91;triple;132;60001;7239348928
graphCompDense;92;triple;3570;60001;28865640
graphCompDense;93;triple;2240;60016;524419536
graphCompDense;94;triple;52;60001;7811266896
graphCompDense;95;triple;25;60371;6964774536
graphCompDense;96;triple;95;60019;7664017744
graphCompDense;97;triple;87;60001;8097689192
graphCompDense;98;triple;1817;60001;6065283840
graphCompDense;99;triple;10;60001;7268744552
