Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;cuadra;2;60001;7767663904
graphComp;1;cuadra;9122;60001;7280627848
graphComp;2;cuadra;192;60001;9570876072
graphComp;3;cuadra;951;60018;5731346728
graphComp;4;cuadra;99;60613;7668719368
graphComp;5;cuadra;23;61141;7808818816
graphComp;6;cuadra;103;60001;7858764104
graphComp;7;cuadra;77;61657;7980606816
graphComp;8;cuadra;10065;60001;8452567280
graphComp;9;cuadra;50;60001;7018915360
graphComp;10;cuadra;18390;60001;7416120528
graphComp;11;cuadra;10415;60001;8502810784
graphComp;12;cuadra;2308;60001;7203208656
graphComp;13;cuadra;3887;60001;7947142624
graphComp;14;cuadra;223;60001;7429218224
graphComp;15;cuadra;1260;60001;7279476032
graphComp;16;cuadra;98;60001;8402214968
graphComp;17;cuadra;145;60001;8008546904
graphComp;18;cuadra;40885;60001;7343581120
graphComp;19;cuadra;203;60001;7468260248
graphComp;20;cuadra;95;60001;7546895056
graphComp;21;cuadra;2069;60008;1201646544
graphComp;22;cuadra;86;60001;8016197696
graphComp;23;cuadra;94;60003;7866598184
graphComp;24;cuadra;288;60012;8133552984
graphComp;25;cuadra;1224;60001;7933125288
graphComp;26;cuadra;349672;60002;5948291272
graphComp;27;cuadra;1365;60451;7022300080
graphComp;28;cuadra;16696;60009;294061864
graphComp;29;cuadra;3421;60001;6943544928
graphComp;30;cuadra;4;60001;5835268424
graphComp;31;cuadra;168;60001;7502587288
graphComp;32;cuadra;2023;60391;6160401504
graphComp;33;cuadra;1695;60009;2694379632
graphComp;34;cuadra;6974;60236;4944416432
graphComp;35;cuadra;172;60001;8157842312
graphComp;36;cuadra;1637;60028;1662807976
graphComp;37;cuadra;132;60001;7513749984
graphComp;38;cuadra;9188;60011;5498900504
graphComp;39;cuadra;183;60001;2733028072
graphComp;40;cuadra;1098020;60001;3315376128
graphComp;41;cuadra;14;60001;6628020424
graphComp;42;cuadra;1014;60022;8332879672
graphComp;43;cuadra;108;60001;8265098728
graphComp;44;cuadra;152;60001;7901783872
graphComp;45;cuadra;159422;60001;1390952928
graphComp;46;cuadra;1605;60001;2627508552
graphComp;47;cuadra;9680;60001;7969816352
graphComp;48;cuadra;504;60001;8221635152
graphComp;49;cuadra;31;60001;7922357104
graphComp;50;cuadra;64921;60001;8306885848
graphComp;51;cuadra;115;60001;7341722888
graphComp;52;cuadra;37;60001;8130406464
graphComp;53;cuadra;140;60001;7910408120
graphComp;54;cuadra;216;60001;7356659312
graphComp;55;cuadra;1700;60001;3413354336
graphComp;56;cuadra;2242;60001;296233152
graphComp;57;cuadra;112;60001;7129478992
graphComp;58;cuadra;34;60001;7550679696
graphComp;59;cuadra;22;60001;7845330136
graphComp;60;cuadra;243;60131;7022097952
graphComp;61;cuadra;76;60001;6088365152
graphComp;62;cuadra;75;60001;8114206648
graphComp;63;cuadra;3692;60001;9959600368
graphComp;64;cuadra;132;60001;8010260312
graphComp;65;cuadra;413;60001;6827993976
graphComp;66;cuadra;116;60001;7956984528
graphComp;67;cuadra;32975;60001;7839661320
graphComp;68;cuadra;110;60001;8362892344
graphComp;69;cuadra;198;60010;7722553880
graphComp;70;cuadra;263;60001;7267723560
graphComp;71;cuadra;1340;60001;7174281408
graphComp;72;cuadra;194309;60001;2297217608
graphComp;73;cuadra;362;60003;6206509040
graphComp;74;cuadra;1599;60001;6755103536
graphComp;75;cuadra;37149;60001;35247152
graphComp;76;cuadra;19;60174;7027509168
graphComp;77;cuadra;0;60001;5762541192
graphComp;78;cuadra;127;60001;7567094176
graphComp;79;cuadra;75;60001;8010219448
graphComp;80;cuadra;57;60001;7675091240
graphComp;81;cuadra;2;60001;8308439424
graphComp;82;cuadra;464;60293;5842325864
graphComp;83;cuadra;17348;60526;8414569192
graphComp;84;cuadra;52879;60001;7497208408
graphComp;85;cuadra;165;60001;7266160056
graphComp;86;cuadra;151;60001;7992136112
graphComp;87;cuadra;4;60001;8159749752
graphComp;88;cuadra;2875;60628;6616323736
graphComp;89;cuadra;93;60001;7564769128
graphComp;90;cuadra;74;60001;7568151320
graphComp;91;cuadra;128;60803;5479378648
graphComp;92;cuadra;295;60001;6758663216
graphComp;93;cuadra;2635;60014;863402096
graphComp;94;cuadra;105;60001;7453440696
graphComp;95;cuadra;17;60001;5051711752
graphComp;96;cuadra;148;60001;7830396640
graphComp;97;cuadra;388;60001;7270369896
graphComp;98;cuadra;207;60001;7588325272
graphComp;99;cuadra;92;60001;8456493592
