Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;penta;33;60001;7436611080
graphComp;1;penta;0;60001;8078414744
graphComp;2;penta;139348;60001;569754856
graphComp;3;penta;8664;60002;5719637376
graphComp;4;penta;146;60001;6976450104
graphComp;5;penta;26;60672;7637810664
graphComp;6;penta;77;60001;6680912840
graphComp;7;penta;73;61155;7811450032
graphComp;8;penta;10094;60001;9545673376
graphComp;9;penta;50;60001;7971727256
graphComp;10;penta;2008;60006;932904024
graphComp;11;penta;4605;60867;5322630424
graphComp;12;penta;3729804;60001;3999850752
graphComp;13;penta;784;60001;5165349432
graphComp;14;penta;116;60001;6305859584
graphComp;15;penta;1685;60016;1920898648
graphComp;16;penta;95;60001;11806900656
graphComp;17;penta;185;60001;8162475784
graphComp;18;penta;562;60013;6226262328
graphComp;19;penta;9929;60001;6397329496
graphComp;20;penta;127;60001;8468901184
graphComp;21;penta;4873;60002;1209184264
graphComp;22;penta;106;60001;7549650648
graphComp;23;penta;88;60001;7756277512
graphComp;24;penta;216;60001;3069344008
graphComp;25;penta;427;60014;6775105776
graphComp;26;penta;336710;60364;6167301520
graphComp;27;penta;105;60001;7490245216
graphComp;28;penta;100;60001;7564330208
graphComp;29;penta;636;60028;5784954288
graphComp;30;penta;50;60001;8053341608
graphComp;31;penta;93;60015;7898384592
graphComp;32;penta;2264;60001;6208435384
graphComp;33;penta;10284;60001;4022751056
graphComp;34;penta;5392;60003;1470587872
graphComp;35;penta;220;60001;7349503648
graphComp;36;penta;2433;60001;7028788440
graphComp;37;penta;270;60057;7021476960
graphComp;38;penta;2187;60002;366169712
graphComp;39;penta;450;60001;3011330960
graphComp;40;penta;6217;60007;2822466184
graphComp;41;penta;107;60001;7705721416
graphComp;42;penta;7743;60012;1552547824
graphComp;43;penta;11541;60001;6138328672
graphComp;44;penta;1748;60595;7032636616
graphComp;45;penta;30900;60544;8584909504
graphComp;46;penta;1613;60001;2644435552
graphComp;47;penta;1888;60006;1589889200
graphComp;48;penta;67;60001;7689777648
graphComp;49;penta;145;60085;7930966408
graphComp;50;penta;64921;60001;11040640664
graphComp;51;penta;138;60001;8107517576
graphComp;52;penta;112;60001;8644145480
graphComp;53;penta;157;60001;5868508512
graphComp;54;penta;306;60001;7032189488
graphComp;55;penta;254;60001;7087765720
graphComp;56;penta;98;60001;7790057976
graphComp;57;penta;112;60001;8121547632
graphComp;58;penta;38;60001;8134392392
graphComp;59;penta;96;60001;7268208400
graphComp;60;penta;275;60001;7476327688
graphComp;61;penta;181;60259;7289047448
graphComp;62;penta;10639;60001;7507241608
graphComp;63;penta;1764;61065;5715680600
graphComp;64;penta;228;60001;8489694488
graphComp;65;penta;7380;60001;6514656368
graphComp;66;penta;182;60001;7594958664
graphComp;67;penta;1918;60008;1654047792
graphComp;68;penta;96;60001;4916750408
graphComp;69;penta;7878;60001;5949379280
graphComp;70;penta;266;60001;7305641400
graphComp;71;penta;1364;60001;7600318528
graphComp;72;penta;1251;60001;5320845024
graphComp;73;penta;529;60028;6378715224
graphComp;74;penta;1614;60001;7869853216
graphComp;75;penta;1488;60961;3091520344
graphComp;76;penta;24;60001;7837632776
graphComp;77;penta;0;60001;8253029520
graphComp;78;penta;95;60001;7896275992
graphComp;79;penta;110;60001;8017983168
graphComp;80;penta;103;60001;8215194960
graphComp;81;penta;95;60001;8164721792
graphComp;82;penta;721;60001;7321577320
graphComp;83;penta;15631;60001;8738789176
graphComp;84;penta;1617;60001;6845755424
graphComp;85;penta;24137;60001;1414376040
graphComp;86;penta;117;60004;7671832256
graphComp;87;penta;4;61189;8587913352
graphComp;88;penta;1910;60031;585180560
graphComp;89;penta;204;60028;7719534264
graphComp;90;penta;162;60001;8343509336
graphComp;91;penta;29;60011;8324684408
graphComp;92;penta;1289;60001;7268273512
graphComp;93;penta;1936;60008;527751416
graphComp;94;penta;155;60001;7798317040
graphComp;95;penta;167;60019;7624158536
graphComp;96;penta;2865;60001;8391451944
graphComp;97;penta;197;60001;7932496536
graphComp;98;penta;215;60014;7478015584
graphComp;99;penta;64878;60001;4802111560
