Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;triple;0;60225;7021269240
graphComp;1;triple;3983;60001;7267868776
graphComp;2;triple;178;60001;9509294536
graphComp;3;triple;963;60017;5758613936
graphComp;4;triple;3;61380;7421762560
graphComp;5;triple;0;60001;3869160960
graphComp;6;triple;90;61595;7836763384
graphComp;7;triple;134;60931;7268539328
graphComp;8;triple;244;60001;7270517744
graphComp;9;triple;20;60001;6802209096
graphComp;10;triple;1439;60136;2882553144
graphComp;11;triple;5431;60001;4098239360
graphComp;12;triple;0;60001;8194550824
graphComp;13;triple;38;60001;8571937456
graphComp;14;triple;222;60001;6866983248
graphComp;15;triple;15;60001;7368459800
graphComp;16;triple;21;60001;7113523736
graphComp;17;triple;29;60001;7810771352
graphComp;18;triple;931;60001;7267883096
graphComp;19;triple;256;60001;7269946600
graphComp;20;triple;83;60157;7021356760
graphComp;21;triple;7307;60004;1302633776
graphComp;22;triple;5;60001;7233623936
graphComp;23;triple;111;60489;7022472760
graphComp;24;triple;176;60001;7458164472
graphComp;25;triple;1972;60001;7902210360
graphComp;26;triple;30539;60001;8085285720
graphComp;27;triple;136;60001;7512785688
graphComp;28;triple;75;60001;7467487960
graphComp;29;triple;6216;60001;7311315504
graphComp;30;triple;0;60001;7376396928
graphComp;31;triple;36;60001;7367537784
graphComp;32;triple;67;60001;7445711704
graphComp;33;triple;2941;60001;8834726280
graphComp;34;triple;25258;60001;1372625336
graphComp;35;triple;159;60001;7753365376
graphComp;36;triple;440366;60001;4672817776
graphComp;37;triple;78;63801;8630363392
graphComp;38;triple;66645;60001;7903527768
graphComp;39;triple;2161;60031;1527981224
graphComp;40;triple;84;60001;7634114568
graphComp;41;triple;53;60001;7886991280
graphComp;42;triple;119;60001;11529298240
graphComp;43;triple;11;60001;7255254856
graphComp;44;triple;9132;60001;529849136
graphComp;45;triple;178425;60001;1185074288
graphComp;46;triple;2155;60001;2706907712
graphComp;47;triple;171;60001;7270558216
graphComp;48;triple;428;60001;2564945104
graphComp;49;triple;79;60892;5247675736
graphComp;50;triple;123;60001;7765297384
graphComp;51;triple;1188;60001;4995589016
graphComp;52;triple;0;60001;8245312376
graphComp;53;triple;18;60603;6119087360
graphComp;54;triple;216;60001;7396259928
graphComp;55;triple;1702;60001;5445907128
graphComp;56;triple;0;60001;7454047480
graphComp;57;triple;255985;60001;7108918144
graphComp;58;triple;0;60001;8253945752
graphComp;59;triple;35;60001;7594898216
graphComp;60;triple;242;60001;7039081576
graphComp;61;triple;84;60001;7809951008
graphComp;62;triple;4;60001;5853966216
graphComp;63;triple;100;60001;6934047384
graphComp;64;triple;97;60001;7644285104
graphComp;65;triple;1114;60008;4611901392
graphComp;66;triple;1421;60001;8418654992
graphComp;67;triple;81;60001;7748680056
graphComp;68;triple;57;60001;7896045672
graphComp;69;triple;187;60007;7762974336
graphComp;70;triple;89;60001;6825300840
graphComp;71;triple;17;60001;7548526072
graphComp;72;triple;0;60001;7751510440
graphComp;73;triple;199;60001;6448439288
graphComp;74;triple;0;60001;7414518464
graphComp;75;triple;129;62673;12374655560
graphComp;76;triple;9;60001;7148556864
graphComp;77;triple;0;60001;5229381168
graphComp;78;triple;287;60001;7299402152
graphComp;79;triple;0;60001;3926161888
graphComp;80;triple;0;60001;7545558656
graphComp;81;triple;0;60001;7678505488
graphComp;82;triple;534;60029;6035600736
graphComp;83;triple;2;60001;8045362920
graphComp;84;triple;23500;60002;7331061712
graphComp;85;triple;54;60001;5861231616
graphComp;86;triple;3;60001;6507546760
graphComp;87;triple;1166952;60001;1241520112
graphComp;88;triple;5797;60001;6929440408
graphComp;89;triple;55;60001;7669514864
graphComp;90;triple;154;60826;7277218192
graphComp;91;triple;132;60001;7599549328
graphComp;92;triple;3586;60001;28882032
graphComp;93;triple;1980;60022;523463736
graphComp;94;triple;45;60016;7462928496
graphComp;95;triple;27;60001;7075186296
graphComp;96;triple;110;60001;7964341352
graphComp;97;triple;87;60001;8015480328
graphComp;98;triple;1817;60001;6212845016
graphComp;99;triple;10;60001;7268744552
