Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;cuadra;2;60001;5531801416
graphNativeFullDense;1;cuadra;2283;60001;7268612272
graphNativeFullDense;2;cuadra;199;60001;9570876072
graphNativeFullDense;3;cuadra;69;60408;165124784
graphNativeFullDense;4;cuadra;104;62013;6194305296
graphNativeFullDense;5;cuadra;11;60428;3514829648
graphNativeFullDense;6;cuadra;92;60686;1529003792
graphNativeFullDense;7;cuadra;56;60001;4270230496
graphNativeFullDense;8;cuadra;2133;60001;4292400264
graphNativeFullDense;9;cuadra;51;60137;7018915360
graphNativeFullDense;10;cuadra;2232;60053;659331744
graphNativeFullDense;11;cuadra;7401;60007;4341176552
graphNativeFullDense;12;cuadra;2367;60001;5537084120
graphNativeFullDense;13;cuadra;70;60001;7760759584
graphNativeFullDense;14;cuadra;116;60001;2321150624
graphNativeFullDense;15;cuadra;842;60008;6919234528
graphNativeFullDense;16;cuadra;62;60771;4306755488
graphNativeFullDense;17;cuadra;127;60001;3843943944
graphNativeFullDense;18;cuadra;40861;60147;977091800
graphNativeFullDense;19;cuadra;85;61129;727520696
graphNativeFullDense;20;cuadra;79;60296;3254180072
graphNativeFullDense;21;cuadra;463;61237;1184859592
graphNativeFullDense;22;cuadra;84;60001;4561349464
graphNativeFullDense;23;cuadra;9;60396;5215335888
graphNativeFullDense;24;cuadra;200;61059;3209958040
graphNativeFullDense;25;cuadra;126;60001;2720816696
graphNativeFullDense;26;cuadra;6073;60009;5861523664
graphNativeFullDense;27;cuadra;1343;60001;752739536
graphNativeFullDense;28;cuadra;222;60152;96816640
graphNativeFullDense;29;cuadra;1266;60001;6353317424
graphNativeFullDense;30;cuadra;4;60001;3135853776
graphNativeFullDense;31;cuadra;133;60001;5346844312
graphNativeFullDense;32;cuadra;2052;60101;6160401688
graphNativeFullDense;33;cuadra;137;60780;78474176
graphNativeFullDense;34;cuadra;140;60504;120880768
graphNativeFullDense;35;cuadra;175;60001;8157842312
graphNativeFullDense;36;cuadra;21;61094;858936208
graphNativeFullDense;37;cuadra;92;61816;2860137456
graphNativeFullDense;38;cuadra;146;60447;101103008
graphNativeFullDense;39;cuadra;186;60001;2733029240
graphNativeFullDense;40;cuadra;1043549;60001;3250627296
graphNativeFullDense;41;cuadra;14;60001;6628020424
graphNativeFullDense;42;cuadra;772;60020;7233314568
graphNativeFullDense;43;cuadra;90;60240;4463476232
graphNativeFullDense;44;cuadra;114;60269;3514906600
graphNativeFullDense;45;cuadra;3337;60011;939464080
graphNativeFullDense;46;cuadra;31;60549;126692560
graphNativeFullDense;47;cuadra;2367;60032;6653290952
graphNativeFullDense;48;cuadra;97;60364;6371122920
graphNativeFullDense;49;cuadra;27;60248;7380424344
graphNativeFullDense;50;cuadra;2421;60001;3437995056
graphNativeFullDense;51;cuadra;103;60245;3518431472
graphNativeFullDense;52;cuadra;40;62988;6194124136
graphNativeFullDense;53;cuadra;141;60001;6104963200
graphNativeFullDense;54;cuadra;71;60982;1843854600
graphNativeFullDense;55;cuadra;1703;60001;903088320
graphNativeFullDense;56;cuadra;2334;60001;296230656
graphNativeFullDense;57;cuadra;92;60001;5176009040
graphNativeFullDense;58;cuadra;12;60258;3675469568
graphNativeFullDense;59;cuadra;20;60001;3739959936
graphNativeFullDense;60;cuadra;100;60001;3332367400
graphNativeFullDense;61;cuadra;69;60001;2828979008
graphNativeFullDense;62;cuadra;76;60001;4827083440
graphNativeFullDense;63;cuadra;3349;60347;5007352808
graphNativeFullDense;64;cuadra;89;60756;3222641336
graphNativeFullDense;65;cuadra;307;60001;6611648128
graphNativeFullDense;66;cuadra;109;60001;4720046432
graphNativeFullDense;67;cuadra;33968;60001;3763638328
graphNativeFullDense;68;cuadra;108;60001;3603156192
graphNativeFullDense;69;cuadra;102;60126;1975130696
graphNativeFullDense;70;cuadra;98;60371;3923461336
graphNativeFullDense;71;cuadra;1334;60260;3177417680
graphNativeFullDense;72;cuadra;185424;60001;2252579968
graphNativeFullDense;73;cuadra;111;60093;2595368400
graphNativeFullDense;74;cuadra;128;60239;4643360720
graphNativeFullDense;75;cuadra;37368;60001;35130752
graphNativeFullDense;76;cuadra;19;62476;4513606232
graphNativeFullDense;77;cuadra;0;60001;5652350824
graphNativeFullDense;78;cuadra;74;62218;2860144168
graphNativeFullDense;79;cuadra;74;60001;5566183312
graphNativeFullDense;80;cuadra;49;60001;5376474920
graphNativeFullDense;81;cuadra;2;60001;6034363368
graphNativeFullDense;82;cuadra;17;60765;3235974080
graphNativeFullDense;83;cuadra;2351;60501;1340943600
graphNativeFullDense;84;cuadra;201;60086;464289096
graphNativeFullDense;85;cuadra;90;60625;4564699072
graphNativeFullDense;86;cuadra;128;60001;5727539368
graphNativeFullDense;87;cuadra;2;60001;5360896520
graphNativeFullDense;88;cuadra;615;60001;6281148904
graphNativeFullDense;89;cuadra;84;60471;5389030312
graphNativeFullDense;90;cuadra;66;60001;4924628616
graphNativeFullDense;91;cuadra;130;60285;1935035384
graphNativeFullDense;92;cuadra;96;61191;3166369408
graphNativeFullDense;93;cuadra;887;60681;819967104
graphNativeFullDense;94;cuadra;104;60378;2860169312
graphNativeFullDense;95;cuadra;14;60001;2188118736
graphNativeFullDense;96;cuadra;85;60001;3865151904
graphNativeFullDense;97;cuadra;129;60200;1761641816
graphNativeFullDense;98;cuadra;44;60480;3194086112
graphNativeFullDense;99;cuadra;70;61336;5949566688
