Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;double;105;60372;7525474664
graphNativeFullDense;1;double;59;60338;7263901872
graphNativeFullDense;2;double;149;60001;3726477480
graphNativeFullDense;3;double;15955;60001;7351749744
graphNativeFullDense;4;double;0;62505;6194080992
graphNativeFullDense;5;double;0;60001;6259114320
graphNativeFullDense;6;double;96;60001;5702082720
graphNativeFullDense;7;double;37;60001;4745806712
graphNativeFullDense;8;double;8;60457;4936244720
graphNativeFullDense;9;double;0;62051;6204142528
graphNativeFullDense;10;double;134;60519;545477224
graphNativeFullDense;11;double;91;61462;6194198048
graphNativeFullDense;12;double;0;60004;3004498976
graphNativeFullDense;13;double;35;60001;7769464032
graphNativeFullDense;14;double;160;60729;2751252336
graphNativeFullDense;15;double;0;60001;6274934848
graphNativeFullDense;16;double;0;60001;6602532232
graphNativeFullDense;17;double;157;60001;7356543352
graphNativeFullDense;18;double;52;60001;4588642952
graphNativeFullDense;19;double;0;60146;6194110736
graphNativeFullDense;20;double;0;60172;6194136760
graphNativeFullDense;21;double;4750;60001;5492487832
graphNativeFullDense;22;double;20768;60001;1717603448
graphNativeFullDense;23;double;0;60900;6194108728
graphNativeFullDense;24;double;129;60627;3149314736
graphNativeFullDense;25;double;1913;60001;2405321928
graphNativeFullDense;26;double;0;60001;6465990864
graphNativeFullDense;27;double;49;60001;5919052448
graphNativeFullDense;28;double;26;61810;6194238696
graphNativeFullDense;29;double;42;61114;6194646808
graphNativeFullDense;30;double;47;60001;6478481488
graphNativeFullDense;31;double;0;60001;6116185304
graphNativeFullDense;32;double;30;60001;2332884384
graphNativeFullDense;33;double;2079;60024;3963610000
graphNativeFullDense;34;double;47;60001;2281871400
graphNativeFullDense;35;double;162;60001;7267362792
graphNativeFullDense;36;double;833;60001;3176227032
graphNativeFullDense;37;double;69;60001;5793397800
graphNativeFullDense;38;double;163;60391;1413137384
graphNativeFullDense;39;double;1334;60476;1879492128
graphNativeFullDense;40;double;3;60831;6194083384
graphNativeFullDense;41;double;32;60001;3052587504
graphNativeFullDense;42;double;61;60001;5664801016
graphNativeFullDense;43;double;1470;60018;293069880
graphNativeFullDense;44;double;404;60001;5378212056
graphNativeFullDense;45;double;16;60309;2126577832
graphNativeFullDense;46;double;1327;60001;5129741832
graphNativeFullDense;47;double;19;61242;1113000224
graphNativeFullDense;48;double;30;60290;3573116304
graphNativeFullDense;49;double;87;60001;4781782760
graphNativeFullDense;50;double;99;60569;4046857000
graphNativeFullDense;51;double;1187;60056;1809680376
graphNativeFullDense;52;double;0;60001;3784125952
graphNativeFullDense;53;double;0;60340;6194080744
graphNativeFullDense;54;double;1546;60005;481665360
graphNativeFullDense;55;double;23;60001;4806160232
graphNativeFullDense;56;double;0;60212;6194292744
graphNativeFullDense;57;double;232637;60001;794144520
graphNativeFullDense;58;double;0;60001;5636668672
graphNativeFullDense;59;double;0;60386;4513313696
graphNativeFullDense;60;double;1733;60001;3538116800
graphNativeFullDense;61;double;7;61163;6194108744
graphNativeFullDense;62;double;4;60001;5517284920
graphNativeFullDense;63;double;93;60001;4383573912
graphNativeFullDense;64;double;0;60001;2332335664
graphNativeFullDense;65;double;35935;60001;76458624
graphNativeFullDense;66;double;1456;60001;7868095680
graphNativeFullDense;67;double;0;60270;6194193320
graphNativeFullDense;68;double;58;60001;5612240752
graphNativeFullDense;69;double;1267;60318;4630473232
graphNativeFullDense;70;double;84;60001;6083121328
graphNativeFullDense;71;double;66;60001;7368473328
graphNativeFullDense;72;double;4432;60001;386426872
graphNativeFullDense;73;double;15;60001;2508532848
graphNativeFullDense;74;double;0;61397;6194184176
graphNativeFullDense;75;double;0;60001;4872587720
graphNativeFullDense;76;double;5;60778;6194448656
graphNativeFullDense;77;double;0;60001;2457445824
graphNativeFullDense;78;double;0;60001;4799181232
graphNativeFullDense;79;double;0;62158;6195820240
graphNativeFullDense;80;double;0;60001;4522581120
graphNativeFullDense;81;double;0;60001;6693832472
graphNativeFullDense;82;double;51;60374;2929444912
graphNativeFullDense;83;double;2;62896;6194082056
graphNativeFullDense;84;double;192;60214;455330600
graphNativeFullDense;85;double;41;60551;6194176832
graphNativeFullDense;86;double;0;61606;6194239000
graphNativeFullDense;87;double;30;60001;5505338328
graphNativeFullDense;88;double;99;61216;3721439880
graphNativeFullDense;89;double;0;61672;6196390528
graphNativeFullDense;90;double;70;60001;4741017784
graphNativeFullDense;91;double;133;60610;5161950688
graphNativeFullDense;92;double;5;60852;5713744008
graphNativeFullDense;93;double;52;60742;480933744
graphNativeFullDense;94;double;0;60001;6561218440
graphNativeFullDense;95;double;8;61182;4487505112
graphNativeFullDense;96;double;0;60223;6194182456
graphNativeFullDense;97;double;0;62505;6194016632
graphNativeFullDense;98;double;81;60122;4508009960
graphNativeFullDense;99;double;0;60475;4533179784
