Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;penta;35;60001;5381014832
graphNativeFullDense;1;penta;0;60638;6215810880
graphNativeFullDense;2;penta;140706;60001;568117320
graphNativeFullDense;3;penta;166;60520;63089448
graphNativeFullDense;4;penta;152;60001;3506286440
graphNativeFullDense;5;penta;14;60655;3514829024
graphNativeFullDense;6;penta;77;60001;6680912840
graphNativeFullDense;7;penta;57;60445;3247603008
graphNativeFullDense;8;penta;2127;60595;4012078896
graphNativeFullDense;9;penta;30;60001;7524954712
graphNativeFullDense;10;penta;100;60213;175896440
graphNativeFullDense;11;penta;4147;61204;1383015152
graphNativeFullDense;12;penta;3153728;60001;3806513040
graphNativeFullDense;13;penta;784;60001;5093160024
graphNativeFullDense;14;penta;119;60001;6305859584
graphNativeFullDense;15;penta;29;60255;450156552
graphNativeFullDense;16;penta;75;60080;6703276480
graphNativeFullDense;17;penta;162;60001;4336381448
graphNativeFullDense;18;penta;161;60374;2450940944
graphNativeFullDense;19;penta;10273;60001;470333344
graphNativeFullDense;20;penta;71;60001;4368147760
graphNativeFullDense;21;penta;3268;60001;1178964984
graphNativeFullDense;22;penta;77;60001;4041397640
graphNativeFullDense;23;penta;9;60720;5215327192
graphNativeFullDense;24;penta;218;60001;2475555464
graphNativeFullDense;25;penta;130;60001;2775036008
graphNativeFullDense;26;penta;152;60390;3954247424
graphNativeFullDense;27;penta;64;60902;4583594816
graphNativeFullDense;28;penta;60;60971;3401543912
graphNativeFullDense;29;penta;238;60001;1143415680
graphNativeFullDense;30;penta;46;60001;5881559128
graphNativeFullDense;31;penta;35;60469;4424771936
graphNativeFullDense;32;penta;2308;60652;6208435568
graphNativeFullDense;33;penta;2337;60534;1935429488
graphNativeFullDense;34;penta;1994;60107;668777416
graphNativeFullDense;35;penta;204;60832;3515324872
graphNativeFullDense;36;penta;201;60061;1227215224
graphNativeFullDense;37;penta;199;60477;2685556504
graphNativeFullDense;38;penta;112;60394;47502520
graphNativeFullDense;39;penta;453;60001;3011332128
graphNativeFullDense;40;penta;135;60154;2815883176
graphNativeFullDense;41;penta;74;60865;2582849368
graphNativeFullDense;42;penta;294;60051;858253832
graphNativeFullDense;43;penta;1691;60040;246983528
graphNativeFullDense;44;penta;1432;60123;885558512
graphNativeFullDense;45;penta;2629;60357;2756412016
graphNativeFullDense;46;penta;31;60104;131182488
graphNativeFullDense;47;penta;89;61092;36848920
graphNativeFullDense;48;penta;52;60001;3327774200
graphNativeFullDense;49;penta;140;60001;7462412072
graphNativeFullDense;50;penta;2380;60394;5304138768
graphNativeFullDense;51;penta;105;60853;2844957016
graphNativeFullDense;52;penta;99;60001;3576147264
graphNativeFullDense;53;penta;158;60001;5868508512
graphNativeFullDense;54;penta;128;61242;1287558864
graphNativeFullDense;55;penta;111;61000;4277196992
graphNativeFullDense;56;penta;54;60001;5211189144
graphNativeFullDense;57;penta;13;60001;4826513008
graphNativeFullDense;58;penta;11;60001;3233796872
graphNativeFullDense;59;penta;97;60001;7268208400
graphNativeFullDense;60;penta;97;61058;3565219496
graphNativeFullDense;61;penta;90;61420;6194064832
graphNativeFullDense;62;penta;10665;60001;4586080368
graphNativeFullDense;63;penta;1128;60446;566645576
graphNativeFullDense;64;penta;180;61399;3514965176
graphNativeFullDense;65;penta;2044;60068;896098360
graphNativeFullDense;66;penta;150;60001;3012672656
graphNativeFullDense;67;penta;211;60042;48323048
graphNativeFullDense;68;penta;98;60001;4493882192
graphNativeFullDense;69;penta;246;60204;308196424
graphNativeFullDense;70;penta;106;60750;4512747400
graphNativeFullDense;71;penta;1357;60001;3653986256
graphNativeFullDense;72;penta;454;61144;212107456
graphNativeFullDense;73;penta;118;60822;2628939224
graphNativeFullDense;74;penta;101;60063;5672951072
graphNativeFullDense;75;penta;131;61245;218418088
graphNativeFullDense;76;penta;24;60001;4489638768
graphNativeFullDense;77;penta;0;61357;6224044480
graphNativeFullDense;78;penta;17;61092;2874912448
graphNativeFullDense;79;penta;89;60325;5500771840
graphNativeFullDense;80;penta;68;61100;5757907224
graphNativeFullDense;81;penta;95;60001;5123493968
graphNativeFullDense;82;penta;132;60026;1640664800
graphNativeFullDense;83;penta;2346;60582;1704192992
graphNativeFullDense;84;penta;202;60419;457995824
graphNativeFullDense;85;penta;19600;60001;1393120184
graphNativeFullDense;86;penta;57;60001;5582462816
graphNativeFullDense;87;penta;2;60001;4686460416
graphNativeFullDense;88;penta;24;61056;469014408
graphNativeFullDense;89;penta;124;60001;5080249752
graphNativeFullDense;90;penta;108;60901;5428762904
graphNativeFullDense;91;penta;25;60001;7348223616
graphNativeFullDense;92;penta;137;60516;466551032
graphNativeFullDense;93;penta;50;61120;484322848
graphNativeFullDense;94;penta;105;60227;2860307544
graphNativeFullDense;95;penta;96;60563;3744801120
graphNativeFullDense;96;penta;2854;60046;6121540600
graphNativeFullDense;97;penta;122;60840;1632503496
graphNativeFullDense;98;penta;68;60899;3177542016
graphNativeFullDense;99;penta;67761;60001;679915024
