Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;0;triple;0;60001;5170353392
graphNativeFullDense;1;triple;4031;60001;7267868776
graphNativeFullDense;2;triple;77;60001;9352411248
graphNativeFullDense;3;triple;35;60909;159694256
graphNativeFullDense;4;triple;3;60001;5167511536
graphNativeFullDense;5;triple;0;60001;3869155760
graphNativeFullDense;6;triple;96;60001;6127124952
graphNativeFullDense;7;triple;135;60001;7268539328
graphNativeFullDense;8;triple;100;60424;5718038264
graphNativeFullDense;9;triple;20;60001;6802209096
graphNativeFullDense;10;triple;33;60571;147932072
graphNativeFullDense;11;triple;5453;60001;1396352632
graphNativeFullDense;12;triple;0;62311;6194080568
graphNativeFullDense;13;triple;38;60001;7427172528
graphNativeFullDense;14;triple;138;60733;2281170440
graphNativeFullDense;15;triple;15;60001;7368446352
graphNativeFullDense;16;triple;8;60256;4317150152
graphNativeFullDense;17;triple;12;60866;3717561536
graphNativeFullDense;18;triple;125;60577;1018826328
graphNativeFullDense;19;triple;89;60549;5857065512
graphNativeFullDense;20;triple;70;60001;3714235528
graphNativeFullDense;21;triple;5827;60001;1272378072
graphNativeFullDense;22;triple;3;60001;4162414368
graphNativeFullDense;23;triple;94;60001;4763022288
graphNativeFullDense;24;triple;152;60148;3169799504
graphNativeFullDense;25;triple;627;60001;7441588976
graphNativeFullDense;26;triple;9992;60001;7568380912
graphNativeFullDense;27;triple;100;60209;4583695720
graphNativeFullDense;28;triple;65;60001;5381438632
graphNativeFullDense;29;triple;3420;60391;3519764048
graphNativeFullDense;30;triple;0;62530;5606496400
graphNativeFullDense;31;triple;4;60866;5240125600
graphNativeFullDense;32;triple;6;61218;5681008680
graphNativeFullDense;33;triple;101;60289;7866351920
graphNativeFullDense;34;triple;18670;60001;1354767192
graphNativeFullDense;35;triple;162;60001;7753365376
graphNativeFullDense;36;triple;423507;60001;3215116416
graphNativeFullDense;37;triple;69;60001;5516486704
graphNativeFullDense;38;triple;2006;60220;329189480
graphNativeFullDense;39;triple;97;60554;137172816
graphNativeFullDense;40;triple;85;60001;5629586040
graphNativeFullDense;41;triple;16;61151;2592806648
graphNativeFullDense;42;triple;76;60001;5956315424
graphNativeFullDense;43;triple;6;60639;4486019296
graphNativeFullDense;44;triple;7995;60001;235567416
graphNativeFullDense;45;triple;3478;60016;714300880
graphNativeFullDense;46;triple;582;61243;202718192
graphNativeFullDense;47;triple;73;61936;7021280768
graphNativeFullDense;48;triple;428;60001;2564939312
graphNativeFullDense;49;triple;81;60001;4495090328
graphNativeFullDense;50;triple;11;60001;3925070720
graphNativeFullDense;51;triple;1191;60001;1881812768
graphNativeFullDense;52;triple;0;60001;8245312376
graphNativeFullDense;53;triple;18;60001;6119087360
graphNativeFullDense;54;triple;70;60001;1550980752
graphNativeFullDense;55;triple;1707;61745;1812909504
graphNativeFullDense;56;triple;0;60001;5619395968
graphNativeFullDense;57;triple;256090;60001;7108902240
graphNativeFullDense;58;triple;0;60001;6127942496
graphNativeFullDense;59;triple;30;60791;3702410304
graphNativeFullDense;60;triple;111;60010;3173541536
graphNativeFullDense;61;triple;77;60001;3821659224
graphNativeFullDense;62;triple;4;60001;2437406640
graphNativeFullDense;63;triple;103;60162;6934047384
graphNativeFullDense;64;triple;69;60001;4810020840
graphNativeFullDense;65;triple;118;60001;1387412768
graphNativeFullDense;66;triple;1456;60001;8418634376
graphNativeFullDense;67;triple;83;60001;4301688872
graphNativeFullDense;68;triple;56;60244;3655789488
graphNativeFullDense;69;triple;80;60001;1920694328
graphNativeFullDense;70;triple;6;60001;6771612640
graphNativeFullDense;71;triple;5;60001;5091867144
graphNativeFullDense;72;triple;0;61753;5606495144
graphNativeFullDense;73;triple;10;60214;2312204232
graphNativeFullDense;74;triple;0;62060;5297894784
graphNativeFullDense;75;triple;129;60001;8370364440
graphNativeFullDense;76;triple;9;62168;4530467936
graphNativeFullDense;77;triple;0;60001;5188368488
graphNativeFullDense;78;triple;96;60029;3647237432
graphNativeFullDense;79;triple;0;60001;2375117408
graphNativeFullDense;80;triple;0;62168;6194846664
graphNativeFullDense;81;triple;0;60001;6082763472
graphNativeFullDense;82;triple;103;61133;3092591704
graphNativeFullDense;83;triple;2;60001;4929910824
graphNativeFullDense;84;triple;180;60166;893209944
graphNativeFullDense;85;triple;54;60001;5861231616
graphNativeFullDense;86;triple;3;62026;3828955904
graphNativeFullDense;87;triple;1143390;60001;1236069344
graphNativeFullDense;88;triple;650;60001;6760526600
graphNativeFullDense;89;triple;57;60001;5813823632
graphNativeFullDense;90;triple;103;60217;3808426544
graphNativeFullDense;91;triple;130;60903;5121021296
graphNativeFullDense;92;triple;3575;60001;28785072
graphNativeFullDense;93;triple;77;60618;480062064
graphNativeFullDense;94;triple;14;60136;3514829416
graphNativeFullDense;95;triple;17;60001;3233654544
graphNativeFullDense;96;triple;44;62062;3514867584
graphNativeFullDense;97;triple;86;60001;6006662272
graphNativeFullDense;98;triple;1834;60001;2035275152
graphNativeFullDense;99;triple;10;60001;7268744552
