Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;cuadra;2;60001;4261455352
graphNativeFull;1;cuadra;2270;60001;7268612272
graphNativeFull;2;cuadra;194;60001;9570876072
graphNativeFull;3;cuadra;69;60845;165124784
graphNativeFull;4;cuadra;99;60001;5787501256
graphNativeFull;5;cuadra;11;60596;3514829648
graphNativeFull;6;cuadra;92;60674;1529003792
graphNativeFull;7;cuadra;53;60001;3589809976
graphNativeFull;8;cuadra;2065;60091;3842078400
graphNativeFull;9;cuadra;51;61331;7018915360
graphNativeFull;10;cuadra;2161;60623;659328048
graphNativeFull;11;cuadra;6810;60001;4180913472
graphNativeFull;12;cuadra;2304;60623;5536452712
graphNativeFull;13;cuadra;71;60612;7919854568
graphNativeFull;14;cuadra;114;61136;2350669480
graphNativeFull;15;cuadra;843;60001;6919242016
graphNativeFull;16;cuadra;59;60846;4306755488
graphNativeFull;17;cuadra;125;60001;4061989816
graphNativeFull;18;cuadra;40041;60406;926931848
graphNativeFull;19;cuadra;80;60047;606597248
graphNativeFull;20;cuadra;79;60001;3823678432
graphNativeFull;21;cuadra;461;60939;1184859592
graphNativeFull;22;cuadra;82;60001;4398739392
graphNativeFull;23;cuadra;8;60273;5215335888
graphNativeFull;24;cuadra;198;60038;3209958040
graphNativeFull;25;cuadra;122;60134;2566368568
graphNativeFull;26;cuadra;5956;60009;5861510704
graphNativeFull;27;cuadra;1342;60001;752739536
graphNativeFull;28;cuadra;224;60380;96819144
graphNativeFull;29;cuadra;1246;60001;6711594888
graphNativeFull;30;cuadra;4;60001;3135853776
graphNativeFull;31;cuadra;132;60001;5574996736
graphNativeFull;32;cuadra;2025;60001;6160401688
graphNativeFull;33;cuadra;131;60017;78469112
graphNativeFull;34;cuadra;132;60578;114747968
graphNativeFull;35;cuadra;172;60001;8157842312
graphNativeFull;36;cuadra;19;61191;857766952
graphNativeFull;37;cuadra;91;60150;2799481216
graphNativeFull;38;cuadra;142;60418;101099848
graphNativeFull;39;cuadra;184;60001;2733029240
graphNativeFull;40;cuadra;1031713;60001;3253146424
graphNativeFull;41;cuadra;14;60001;6628020424
graphNativeFull;42;cuadra;737;60001;7207346912
graphNativeFull;43;cuadra;92;60678;4463478080
graphNativeFull;44;cuadra;110;60306;3514906600
graphNativeFull;45;cuadra;3327;60024;939461824
graphNativeFull;46;cuadra;31;60997;126692560
graphNativeFull;47;cuadra;2265;60208;6587184760
graphNativeFull;48;cuadra;95;60131;6159286048
graphNativeFull;49;cuadra;28;60130;7380424440
graphNativeFull;50;cuadra;2341;60376;3263678600
graphNativeFull;51;cuadra;101;60001;3719600000
graphNativeFull;52;cuadra;37;60001;5578294504
graphNativeFull;53;cuadra;140;60001;6083938600
graphNativeFull;54;cuadra;73;61286;1843976216
graphNativeFull;55;cuadra;1691;60001;903088320
graphNativeFull;56;cuadra;2326;60001;296230112
graphNativeFull;57;cuadra;90;60001;4928839072
graphNativeFull;58;cuadra;10;60001;3514828520
graphNativeFull;59;cuadra;18;60302;3699328992
graphNativeFull;60;cuadra;98;60223;3332100472
graphNativeFull;61;cuadra;68;60001;2828979008
graphNativeFull;62;cuadra;75;60001;5539903600
graphNativeFull;63;cuadra;3271;60322;5007352808
graphNativeFull;64;cuadra;86;60598;3222641336
graphNativeFull;65;cuadra;300;60089;6611648128
graphNativeFull;66;cuadra;104;60037;3515003232
graphNativeFull;67;cuadra;32969;60823;3524131008
graphNativeFull;68;cuadra;102;60468;3217050944
graphNativeFull;69;cuadra;102;60262;1975130696
graphNativeFull;70;cuadra;101;60001;4477300688
graphNativeFull;71;cuadra;1337;61011;3515966000
graphNativeFull;72;cuadra;183846;60001;2255753432
graphNativeFull;73;cuadra;110;60467;2595368400
graphNativeFull;74;cuadra;122;60040;4643357464
graphNativeFull;75;cuadra;36838;60001;35117016
graphNativeFull;76;cuadra;19;61252;4513606232
graphNativeFull;77;cuadra;0;60001;5717158616
graphNativeFull;78;cuadra;71;60116;2877416048
graphNativeFull;79;cuadra;69;60001;5590681440
graphNativeFull;80;cuadra;52;61059;5756037416
graphNativeFull;81;cuadra;2;62679;6194081184
graphNativeFull;82;cuadra;13;60001;3035966032
graphNativeFull;83;cuadra;2265;60560;1340942664
graphNativeFull;84;cuadra;191;60033;455488472
graphNativeFull;85;cuadra;91;60001;4968198760
graphNativeFull;86;cuadra;127;60001;5708769264
graphNativeFull;87;cuadra;2;60001;5254430304
graphNativeFull;88;cuadra;615;60001;6280915560
graphNativeFull;89;cuadra;83;60001;5394134104
graphNativeFull;90;cuadra;65;60981;5981348824
graphNativeFull;91;cuadra;128;60001;2223531600
graphNativeFull;92;cuadra;96;60300;3166369408
graphNativeFull;93;cuadra;884;60724;819992536
graphNativeFull;94;cuadra;105;60307;3514883184
graphNativeFull;95;cuadra;14;60001;2188118736
graphNativeFull;96;cuadra;82;60219;3514898456
graphNativeFull;97;cuadra;127;60377;1691855280
graphNativeFull;98;cuadra;44;60913;3194086112
graphNativeFull;99;cuadra;69;61426;5949566688
