Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;double;112;60341;7525475400
graphNativeFull;1;double;52;60255;7263899680
graphNativeFull;2;double;144;60001;2884735584
graphNativeFull;3;double;15616;60001;7351749744
graphNativeFull;4;double;0;60364;5606495280
graphNativeFull;5;double;0;60001;6259114256
graphNativeFull;6;double;92;62261;6194208920
graphNativeFull;7;double;36;60001;5024314336
graphNativeFull;8;double;8;60578;4936244720
graphNativeFull;9;double;0;61983;6204142528
graphNativeFull;10;double;128;60418;545470072
graphNativeFull;11;double;89;60001;5439819928
graphNativeFull;12;double;0;60001;3004498976
graphNativeFull;13;double;35;60001;7105869208
graphNativeFull;14;double;155;60677;2620443792
graphNativeFull;15;double;0;60001;6279309144
graphNativeFull;16;double;0;60947;6194117920
graphNativeFull;17;double;156;60001;7356543352
graphNativeFull;18;double;52;60001;4471146856
graphNativeFull;19;double;0;60904;6194110736
graphNativeFull;20;double;0;60546;6194136760
graphNativeFull;21;double;4713;60001;5436237584
graphNativeFull;22;double;20751;60001;1711123336
graphNativeFull;23;double;0;60275;6194108728
graphNativeFull;24;double;128;60822;3149314736
graphNativeFull;25;double;1886;60001;2405321448
graphNativeFull;26;double;0;60731;6194080744
graphNativeFull;27;double;48;60001;4152740296
graphNativeFull;28;double;26;60001;5635587720
graphNativeFull;29;double;41;60001;6133641048
graphNativeFull;30;double;48;60001;6538449280
graphNativeFull;31;double;0;60001;6116185304
graphNativeFull;32;double;30;60001;2332884384
graphNativeFull;33;double;2008;60405;3963610000
graphNativeFull;34;double;48;60405;2560464464
graphNativeFull;35;double;159;60001;7267362792
graphNativeFull;36;double;833;60001;2838410024
graphNativeFull;37;double;68;60001;6090404504
graphNativeFull;38;double;163;60752;1413137384
graphNativeFull;39;double;1298;60212;1862464512
graphNativeFull;40;double;3;61752;6194083384
graphNativeFull;41;double;32;60001;2925499680
graphNativeFull;42;double;60;61522;6194146520
graphNativeFull;43;double;1462;60056;292701424
graphNativeFull;44;double;399;60001;5420077744
graphNativeFull;45;double;16;60635;2126577832
graphNativeFull;46;double;1318;60001;5129724424
graphNativeFull;47;double;19;60863;1113000224
graphNativeFull;48;double;30;60001;4399223448
graphNativeFull;49;double;84;61098;4316823192
graphNativeFull;50;double;101;60087;4130598848
graphNativeFull;51;double;1186;60001;2525323304
graphNativeFull;52;double;0;60001;4122047152
graphNativeFull;53;double;0;60001;6283941144
graphNativeFull;54;double;1490;60021;481630712
graphNativeFull;55;double;23;60001;4416820600
graphNativeFull;56;double;0;61537;6194292744
graphNativeFull;57;double;233877;60001;794326016
graphNativeFull;58;double;0;60001;5636668816
graphNativeFull;59;double;0;61064;5436188072
graphNativeFull;60;double;1720;60001;3520063784
graphNativeFull;61;double;7;60886;6194108744
graphNativeFull;62;double;4;60001;6173746656
graphNativeFull;63;double;92;60001;4797708152
graphNativeFull;64;double;0;60001;2332335664
graphNativeFull;65;double;35521;60001;76066576
graphNativeFull;66;double;1456;60001;7868095920
graphNativeFull;67;double;0;60817;6194193320
graphNativeFull;68;double;57;60001;5545231104
graphNativeFull;69;double;1260;60237;4552097904
graphNativeFull;70;double;77;60001;5543113072
graphNativeFull;71;double;66;60001;7368473328
graphNativeFull;72;double;4432;60001;386427352
graphNativeFull;73;double;14;60181;2503609688
graphNativeFull;74;double;0;60001;6057017112
graphNativeFull;75;double;0;60001;4872587720
graphNativeFull;76;double;5;61672;6194448656
graphNativeFull;77;double;0;60001;2457445824
graphNativeFull;78;double;0;62048;6195168624
graphNativeFull;79;double;0;60001;6128188936
graphNativeFull;80;double;0;60001;4554878096
graphNativeFull;81;double;0;60001;6693832472
graphNativeFull;82;double;51;60127;2929444912
graphNativeFull;83;double;2;60001;5963900072
graphNativeFull;84;double;186;60401;451293472
graphNativeFull;85;double;41;61317;6194176832
graphNativeFull;86;double;0;61959;6194239000
graphNativeFull;87;double;30;60001;5878558568
graphNativeFull;88;double;99;60241;3721439880
graphNativeFull;89;double;0;60907;6196390528
graphNativeFull;90;double;69;60001;4379435376
graphNativeFull;91;double;131;60236;5161950688
graphNativeFull;92;double;5;60626;5713744008
graphNativeFull;93;double;50;60592;480931120
graphNativeFull;94;double;0;60616;6194163368
graphNativeFull;95;double;7;60001;4227586904
graphNativeFull;96;double;0;61193;6194182456
graphNativeFull;97;double;0;60001;6603437296
graphNativeFull;98;double;80;60001;4873012472
graphNativeFull;99;double;0;60001;5052402048
