Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;0;triple;0;60001;5540784600
graphNativeFull;1;triple;3983;60001;7267868776
graphNativeFull;2;triple;77;60001;9454895800
graphNativeFull;3;triple;33;60575;157453000
graphNativeFull;4;triple;3;60001;4862414976
graphNativeFull;5;triple;0;60001;3869155760
graphNativeFull;6;triple;92;62392;6196378864
graphNativeFull;7;triple;134;60001;7268539328
graphNativeFull;8;triple;96;60002;5661116104
graphNativeFull;9;triple;20;60001;6802209096
graphNativeFull;10;triple;34;60228;227547040
graphNativeFull;11;triple;5432;60001;1139267600
graphNativeFull;12;triple;0;61014;5606495392
graphNativeFull;13;triple;38;60001;7427172528
graphNativeFull;14;triple;134;60001;2354261232
graphNativeFull;15;triple;15;60001;7205936488
graphNativeFull;16;triple;10;60860;4342903664
graphNativeFull;17;triple;12;60976;3717561536
graphNativeFull;18;triple;115;60043;922850688
graphNativeFull;19;triple;83;62409;5606340064
graphNativeFull;20;triple;69;60001;4258776064
graphNativeFull;21;triple;5805;60001;1272378072
graphNativeFull;22;triple;3;60001;4439844328
graphNativeFull;23;triple;93;60001;5207410264
graphNativeFull;24;triple;151;60394;3169799504
graphNativeFull;25;triple;1740;60001;7477219048
graphNativeFull;26;triple;10061;60001;7626068944
graphNativeFull;27;triple;100;60001;4707343880
graphNativeFull;28;triple;63;60001;5377077736
graphNativeFull;29;triple;3366;60424;3519763904
graphNativeFull;30;triple;0;62238;6194082184
graphNativeFull;31;triple;4;61245;5240125600
graphNativeFull;32;triple;5;60001;5407939672
graphNativeFull;33;triple;126;60015;7866381120
graphNativeFull;34;triple;18351;60001;1354764576
graphNativeFull;35;triple;159;60001;7753365376
graphNativeFull;36;triple;419000;60001;3239846600
graphNativeFull;37;triple;68;60001;5920905800
graphNativeFull;38;triple;1910;60002;297807488
graphNativeFull;39;triple;93;60649;137170968
graphNativeFull;40;triple;84;60001;5617447352
graphNativeFull;41;triple;16;60539;2592806648
graphNativeFull;42;triple;75;60040;5768299264
graphNativeFull;43;triple;4;60851;4486013992
graphNativeFull;44;triple;7878;60001;213411296
graphNativeFull;45;triple;3374;60023;714276880
graphNativeFull;46;triple;580;60306;202710984
graphNativeFull;47;triple;73;61773;7021280768
graphNativeFull;48;triple;428;60001;2564941408
graphNativeFull;49;triple;79;60001;4495090328
graphNativeFull;50;triple;11;60001;4357588920
graphNativeFull;51;triple;1190;60001;1881812312
graphNativeFull;52;triple;0;60001;8245312376
graphNativeFull;53;triple;18;60001;6119087360
graphNativeFull;54;triple;71;60448;1676791512
graphNativeFull;55;triple;1695;61137;1763765528
graphNativeFull;56;triple;0;60001;5664480336
graphNativeFull;57;triple;255984;60001;7108902240
graphNativeFull;58;triple;0;61785;6194145488
graphNativeFull;59;triple;30;60924;3702410304
graphNativeFull;60;triple;114;60001;3352762128
graphNativeFull;61;triple;77;61060;3845219992
graphNativeFull;62;triple;4;60001;2889974488
graphNativeFull;63;triple;100;60001;6934047384
graphNativeFull;64;triple;67;60001;4312195360
graphNativeFull;65;triple;118;60856;1590061856
graphNativeFull;66;triple;1456;60001;8418633896
graphNativeFull;67;triple;81;60001;4892107512
graphNativeFull;68;triple;57;60001;4957693272
graphNativeFull;69;triple;80;60001;2148141064
graphNativeFull;70;triple;89;60001;6825300840
graphNativeFull;71;triple;5;60001;5097231968
graphNativeFull;72;triple;0;62736;6194080208
graphNativeFull;73;triple;10;60599;2312204232
graphNativeFull;74;triple;0;60944;5297894784
graphNativeFull;75;triple;129;60001;8370364568
graphNativeFull;76;triple;9;61773;4530467936
graphNativeFull;77;triple;0;60001;5180959816
graphNativeFull;78;triple;96;60001;3852875240
graphNativeFull;79;triple;0;60001;2375117408
graphNativeFull;80;triple;0;60001;6179694696
graphNativeFull;81;triple;0;61113;6194098088
graphNativeFull;82;triple;103;61051;3092591944
graphNativeFull;83;triple;2;60001;5307065080
graphNativeFull;84;triple;174;60135;888342264
graphNativeFull;85;triple;54;60001;5861231616
graphNativeFull;86;triple;3;61067;3828955904
graphNativeFull;87;triple;1144481;60001;1236336144
graphNativeFull;88;triple;650;60001;6760105904
graphNativeFull;89;triple;55;60001;5446925488
graphNativeFull;90;triple;102;60809;3515219808
graphNativeFull;91;triple;128;60001;4249107264
graphNativeFull;92;triple;3530;60001;28743376
graphNativeFull;93;triple;74;60784;480062064
graphNativeFull;94;triple;14;60001;3535574224
graphNativeFull;95;triple;17;60313;3284933832
graphNativeFull;96;triple;44;60211;3514867584
graphNativeFull;97;triple;85;60001;5955263264
graphNativeFull;98;triple;1817;60001;2699773688
graphNativeFull;99;triple;10;60001;7268744552
