Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;cuadra;2;60001;7830422136
graphComp;-1;1;cuadra;8924;60002;7280473408
graphComp;-1;2;cuadra;192;60001;9570876072
graphComp;-1;3;cuadra;982;60001;5742138560
graphComp;-1;4;cuadra;99;60001;7749560008
graphComp;-1;5;cuadra;23;60326;7841393144
graphComp;-1;6;cuadra;103;60239;7930228072
graphComp;-1;7;cuadra;79;60878;8029464456
graphComp;-1;8;cuadra;10065;60001;8452567280
graphComp;-1;9;cuadra;50;60001;7018915360
graphComp;-1;10;cuadra;18390;60001;7416120528
graphComp;-1;11;cuadra;10336;60001;8457577304
graphComp;-1;12;cuadra;2308;60001;8014620872
graphComp;-1;13;cuadra;3913;60662;7947342568
graphComp;-1;14;cuadra;219;60001;7038304008
graphComp;-1;15;cuadra;1222;60001;7266938392
graphComp;-1;16;cuadra;86;60001;8118309544
graphComp;-1;17;cuadra;131;60001;7185583464
graphComp;-1;18;cuadra;40885;60001;7343581360
graphComp;-1;19;cuadra;203;60001;7437578848
graphComp;-1;20;cuadra;98;60010;7845132728
graphComp;-1;21;cuadra;2089;60016;1201707904
graphComp;-1;22;cuadra;86;61540;8557970504
graphComp;-1;23;cuadra;89;60001;7824981912
graphComp;-1;24;cuadra;275;60001;7743571816
graphComp;-1;25;cuadra;1224;60001;7933125288
graphComp;-1;26;cuadra;350033;60001;5948377472
graphComp;-1;27;cuadra;1375;60001;7385352992
graphComp;-1;28;cuadra;17138;60003;299786112
graphComp;-1;29;cuadra;3385;60001;6942666696
graphComp;-1;30;cuadra;4;60883;5432951000
graphComp;-1;31;cuadra;166;60192;7021466568
graphComp;-1;32;cuadra;2023;60001;6160401504
graphComp;-1;33;cuadra;1695;60006;2694379632
graphComp;-1;34;cuadra;6974;63136;4944416432
graphComp;-1;35;cuadra;172;60001;8157842312
graphComp;-1;36;cuadra;1636;60001;1657527360
graphComp;-1;37;cuadra;122;60001;7112535968
graphComp;-1;38;cuadra;9288;60001;5566133448
graphComp;-1;39;cuadra;183;60001;2733028072
graphComp;-1;40;cuadra;1098020;60001;3315376608
graphComp;-1;41;cuadra;14;60001;6628020424
graphComp;-1;42;cuadra;1014;60001;8332879136
graphComp;-1;43;cuadra;108;60001;7154034896
graphComp;-1;44;cuadra;132;60208;7021405512
graphComp;-1;45;cuadra;159075;60001;1390913520
graphComp;-1;46;cuadra;1572;60021;2570912376
graphComp;-1;47;cuadra;9680;60001;7969816352
graphComp;-1;48;cuadra;504;60001;8242892856
graphComp;-1;49;cuadra;31;60001;7922357104
graphComp;-1;50;cuadra;64921;60001;8306885848
graphComp;-1;51;cuadra;115;60001;7057076616
graphComp;-1;52;cuadra;37;60001;7231591200
graphComp;-1;53;cuadra;140;60001;7303317240
graphComp;-1;54;cuadra;214;60001;7102773752
graphComp;-1;55;cuadra;1702;60273;3691999672
graphComp;-1;56;cuadra;2248;60001;296233368
graphComp;-1;57;cuadra;130;60001;8112526392
graphComp;-1;58;cuadra;38;60001;7889384472
graphComp;-1;59;cuadra;20;60001;7550186504
graphComp;-1;60;cuadra;271;60001;7183464456
graphComp;-1;61;cuadra;76;60001;5950838872
graphComp;-1;62;cuadra;75;60001;8444463528
graphComp;-1;63;cuadra;3692;60001;9797156336
graphComp;-1;64;cuadra;138;60001;8137599984
graphComp;-1;65;cuadra;413;60001;6827993976
graphComp;-1;66;cuadra;116;60001;7772306056
graphComp;-1;67;cuadra;32975;60030;7032250920
graphComp;-1;68;cuadra;110;60001;7561125464
graphComp;-1;69;cuadra;183;60001;7700551456
graphComp;-1;70;cuadra;263;60001;7267723560
graphComp;-1;71;cuadra;1350;60001;8097114344
graphComp;-1;72;cuadra;195416;60001;2301365624
graphComp;-1;73;cuadra;314;60013;6135203392
graphComp;-1;74;cuadra;1599;60001;6755103536
graphComp;-1;75;cuadra;37172;60001;35253664
graphComp;-1;76;cuadra;19;60001;6683679472
graphComp;-1;77;cuadra;0;60001;5775162784
graphComp;-1;78;cuadra;109;60701;7021372464
graphComp;-1;79;cuadra;71;60001;7816698464
graphComp;-1;80;cuadra;66;60002;7995797496
graphComp;-1;81;cuadra;2;60001;7536911912
graphComp;-1;82;cuadra;464;61627;5842325864
graphComp;-1;83;cuadra;17348;60130;8414569192
graphComp;-1;84;cuadra;52702;60001;7497159128
graphComp;-1;85;cuadra;165;60001;7266160056
graphComp;-1;86;cuadra;135;60001;6696891528
graphComp;-1;87;cuadra;4;60001;7438339848
graphComp;-1;88;cuadra;2875;60001;6549810280
graphComp;-1;89;cuadra;91;60461;7021410008
graphComp;-1;90;cuadra;72;60001;7373320624
graphComp;-1;91;cuadra;128;61526;5479378112
graphComp;-1;92;cuadra;240;60005;6392443064
graphComp;-1;93;cuadra;2587;60004;863277880
graphComp;-1;94;cuadra;143;60001;7676199224
graphComp;-1;95;cuadra;17;60001;5341042776
graphComp;-1;96;cuadra;134;60001;7649341944
graphComp;-1;97;cuadra;388;60001;7270369896
graphComp;-1;98;cuadra;171;60209;7022727960
graphComp;-1;99;cuadra;78;60001;7953008280
