Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;double;3219;60001;7538631800
graphComp;-1;1;double;6851;60001;7276380312
graphComp;-1;2;double;143;60989;6842682984
graphComp;-1;3;double;15616;60001;7351749920
graphComp;-1;4;double;0;61084;7573701688
graphComp;-1;5;double;0;60001;6394360872
graphComp;-1;6;double;90;62447;7938050880
graphComp;-1;7;double;54;61510;8020234896
graphComp;-1;8;double;99;60001;7843050576
graphComp;-1;9;double;0;60643;8181074912
graphComp;-1;10;double;1578;60001;7276033160
graphComp;-1;11;double;89;60001;7845933168
graphComp;-1;12;double;0;60001;3004498848
graphComp;-1;13;double;38;60001;8558904976
graphComp;-1;14;double;253;60016;7719282040
graphComp;-1;15;double;0;60001;8416290136
graphComp;-1;16;double;0;60001;7949811600
graphComp;-1;17;double;156;60001;7356543352
graphComp;-1;18;double;427;60012;6286766816
graphComp;-1;19;double;0;60001;7667538144
graphComp;-1;20;double;0;60001;8027413672
graphComp;-1;21;double;5342;60001;5891292536
graphComp;-1;22;double;29491;60926;4659029128
graphComp;-1;23;double;0;60001;8179938496
graphComp;-1;24;double;151;60001;7565131160
graphComp;-1;25;double;1887;60001;2405693400
graphComp;-1;26;double;0;60001;8393959928
graphComp;-1;27;double;47;60001;7743704304
graphComp;-1;28;double;25;60001;7991548160
graphComp;-1;29;double;88;60001;7809268936
graphComp;-1;30;double;213;60001;8182562208
graphComp;-1;31;double;0;60001;6116185304
graphComp;-1;32;double;30;60001;4134900696
graphComp;-1;33;double;10329;60001;8412238368
graphComp;-1;34;double;71;60001;8008689088
graphComp;-1;35;double;159;60001;7267362792
graphComp;-1;36;double;830;60001;6585392320
graphComp;-1;37;double;78;60001;7561201792
graphComp;-1;38;double;740;61234;5840648864
graphComp;-1;39;double;28041;60001;7339657600
graphComp;-1;40;double;3;60441;7021268624
graphComp;-1;41;double;56;60095;7021406128
graphComp;-1;42;double;60;60001;7799104840
graphComp;-1;43;double;5623;60001;8897704016
graphComp;-1;44;double;405;60001;7126011560
graphComp;-1;45;double;152;60022;6185498264
graphComp;-1;46;double;1417;60001;5164620328
graphComp;-1;47;double;67;60001;7767211496
graphComp;-1;48;double;30;60002;7487581112
graphComp;-1;49;double;195;60001;7948662864
graphComp;-1;50;double;380;60001;8419937088
graphComp;-1;51;double;1184;60260;7069509048
graphComp;-1;52;double;0;60795;7037023344
graphComp;-1;53;double;0;60001;7649506848
graphComp;-1;54;double;3702;60001;9727442424
graphComp;-1;55;double;101;60001;8354639960
graphComp;-1;56;double;0;60001;8257089760
graphComp;-1;57;double;255863;60001;801133816
graphComp;-1;58;double;0;60001;5636672480
graphComp;-1;59;double;0;60001;7267033208
graphComp;-1;60;double;1720;60284;7024224144
graphComp;-1;61;double;7;60001;7641019720
graphComp;-1;62;double;4;60001;8052799136
graphComp;-1;63;double;96;60001;7921410112
graphComp;-1;64;double;0;60001;4505939720
graphComp;-1;65;double;35524;60001;78181296
graphComp;-1;66;double;1421;60001;7868115448
graphComp;-1;67;double;0;60001;7774900824
graphComp;-1;68;double;57;60595;7021294088
graphComp;-1;69;double;19262;60001;7571049168
graphComp;-1;70;double;77;60001;7086117072
graphComp;-1;71;double;66;60001;7368484192
graphComp;-1;72;double;4436;60001;386427944
graphComp;-1;73;double;364;60009;6281705376
graphComp;-1;74;double;0;60001;8094804728
graphComp;-1;75;double;0;60001;4872587720
graphComp;-1;76;double;5;60001;7501724208
graphComp;-1;77;double;0;60001;2457526144
graphComp;-1;78;double;0;61427;8650489120
graphComp;-1;79;double;0;61901;8646282184
graphComp;-1;80;double;0;60001;4531004640
graphComp;-1;81;double;0;60001;8230564512
graphComp;-1;82;double;456;60990;5831838248
graphComp;-1;83;double;2;60001;8280553936
graphComp;-1;84;double;30312;60001;6752480736
graphComp;-1;85;double;41;60001;8086596504
graphComp;-1;86;double;0;60001;8021171712
graphComp;-1;87;double;30;60001;8243777200
graphComp;-1;88;double;99;60347;7079166216
graphComp;-1;89;double;0;60001;7805280600
graphComp;-1;90;double;69;60001;7403193704
graphComp;-1;91;double;134;60001;8471736936
graphComp;-1;92;double;30;60001;7944896696
graphComp;-1;93;double;1946;60031;524591784
graphComp;-1;94;double;0;60001;8262078720
graphComp;-1;95;double;57;60001;7705355304
graphComp;-1;96;double;0;60001;7694904600
graphComp;-1;97;double;0;62214;8656792952
graphComp;-1;98;double;80;60001;8195841384
graphComp;-1;99;double;0;60001;7621601184
