Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;penta;33;60550;7021329256
graphComp;-1;1;penta;0;60105;7021264088
graphComp;-1;2;penta;139348;60001;569509560
graphComp;-1;3;penta;8774;60001;5722283944
graphComp;-1;4;penta;146;60001;6976949232
graphComp;-1;5;penta;24;61686;7434221544
graphComp;-1;6;penta;77;60001;6680912840
graphComp;-1;7;penta;69;61329;7624149352
graphComp;-1;8;penta;10094;60001;9545673376
graphComp;-1;9;penta;50;60001;7971727256
graphComp;-1;10;penta;1994;60012;930298024
graphComp;-1;11;penta;4599;60837;5240803296
graphComp;-1;12;penta;3755174;60001;4007839048
graphComp;-1;13;penta;784;60001;5147797656
graphComp;-1;14;penta;116;60001;6305859584
graphComp;-1;15;penta;1667;60006;1912636728
graphComp;-1;16;penta;95;60314;11941001272
graphComp;-1;17;penta;171;60001;7342323848
graphComp;-1;18;penta;560;60009;6226177400
graphComp;-1;19;penta;9929;60001;6358161808
graphComp;-1;20;penta;125;60001;8197156968
graphComp;-1;21;penta;4881;60009;1209229712
graphComp;-1;22;penta;114;60001;8053882608
graphComp;-1;23;penta;88;60001;7815671672
graphComp;-1;24;penta;216;60481;3854066728
graphComp;-1;25;penta;495;60008;6776626336
graphComp;-1;26;penta;346503;60001;6168482320
graphComp;-1;27;penta;119;60001;7608115736
graphComp;-1;28;penta;113;60022;7966730160
graphComp;-1;29;penta;704;60013;5792788160
graphComp;-1;30;penta;50;60001;8356717320
graphComp;-1;31;penta;92;60001;7818065680
graphComp;-1;32;penta;2264;60001;6208435384
graphComp;-1;33;penta;10010;60003;4018416112
graphComp;-1;34;penta;5355;60001;1467385840
graphComp;-1;35;penta;226;60001;8100866920
graphComp;-1;36;penta;2433;60001;7028788440
graphComp;-1;37;penta;334;60001;8289450840
graphComp;-1;38;penta;2187;60019;366169568
graphComp;-1;39;penta;450;60001;3011330960
graphComp;-1;40;penta;6239;60011;2822470360
graphComp;-1;41;penta;107;60001;7686531472
graphComp;-1;42;penta;7591;60011;1535219944
graphComp;-1;43;penta;11541;60001;6064567584
graphComp;-1;44;penta;1748;60059;7032636616
graphComp;-1;45;penta;30903;60001;8586205360
graphComp;-1;46;penta;1602;60014;2631907008
graphComp;-1;47;penta;1845;60001;1508484480
graphComp;-1;48;penta;65;60001;7427829560
graphComp;-1;49;penta;145;60001;7930966408
graphComp;-1;50;penta;64921;60001;11040640664
graphComp;-1;51;penta;134;60001;7997955360
graphComp;-1;52;penta;106;60513;7022748752
graphComp;-1;53;penta;157;60001;5868508512
graphComp;-1;54;penta;302;60001;6312491096
graphComp;-1;55;penta;252;60001;6648695528
graphComp;-1;56;penta;72;60001;6750135592
graphComp;-1;57;penta;58;60001;7399953496
graphComp;-1;58;penta;32;60001;7328835128
graphComp;-1;59;penta;96;60060;7268208400
graphComp;-1;60;penta;243;60001;7254688968
graphComp;-1;61;penta;181;60060;7289047448
graphComp;-1;62;penta;10639;61753;7688564392
graphComp;-1;63;penta;1724;60001;5493310696
graphComp;-1;64;penta;228;60001;8417575864
graphComp;-1;65;penta;7125;60002;6348710744
graphComp;-1;66;penta;202;60001;7933992248
graphComp;-1;67;penta;1942;60005;1663348128
graphComp;-1;68;penta;96;60001;5078190616
graphComp;-1;69;penta;7799;60001;5917166960
graphComp;-1;70;penta;266;60001;7305641400
graphComp;-1;71;penta;1360;60001;7390837992
graphComp;-1;72;penta;1254;60004;5330293576
graphComp;-1;73;penta;525;60001;6378664360
graphComp;-1;74;penta;1614;60001;7869853216
graphComp;-1;75;penta;1488;61729;3091353648
graphComp;-1;76;penta;24;60001;7325468624
graphComp;-1;77;penta;0;60001;8142553152
graphComp;-1;78;penta;79;60001;7477751736
graphComp;-1;79;penta;110;60001;8100017904
graphComp;-1;80;penta;101;60001;8049298016
graphComp;-1;81;penta;95;61986;8656405992
graphComp;-1;82;penta;721;60001;7321577320
graphComp;-1;83;penta;18738;60001;8745089088
graphComp;-1;84;penta;1673;60001;6846827680
graphComp;-1;85;penta;24980;60001;1414777352
graphComp;-1;86;penta;82;60001;7292687016
graphComp;-1;87;penta;4;60001;7633920720
graphComp;-1;88;penta;1886;60018;583853024
graphComp;-1;89;penta;235;60001;8092016832
graphComp;-1;90;penta;164;60001;8368195576
graphComp;-1;91;penta;29;60001;8362795192
graphComp;-1;92;penta;1289;60001;7268273512
graphComp;-1;93;penta;1940;60010;527753504
graphComp;-1;94;penta;161;60001;8344111752
graphComp;-1;95;penta;189;60009;7974927448
graphComp;-1;96;penta;2865;60001;8391440416
graphComp;-1;97;penta;163;60001;6764401120
graphComp;-1;98;penta;194;60562;7021403984
graphComp;-1;99;penta;64878;60001;4581402168
