Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;triple;0;60001;7841179920
graphComp;-1;1;triple;3983;60001;7267868776
graphComp;-1;2;triple;178;60001;9509294536
graphComp;-1;3;triple;905;60015;5725277960
graphComp;-1;4;triple;3;61360;7617209600
graphComp;-1;5;triple;0;60001;3869160960
graphComp;-1;6;triple;90;61077;7975203960
graphComp;-1;7;triple;134;60995;7268539328
graphComp;-1;8;triple;244;60417;7270517744
graphComp;-1;9;triple;20;60001;6802209096
graphComp;-1;10;triple;1439;60619;2882707512
graphComp;-1;11;triple;5431;60001;4745250128
graphComp;-1;12;triple;0;62572;8314771336
graphComp;-1;13;triple;38;60001;8174654264
graphComp;-1;14;triple;222;60156;7023749344
graphComp;-1;15;triple;15;60256;7368459800
graphComp;-1;16;triple;33;60001;8035410920
graphComp;-1;17;triple;29;60001;7906466648
graphComp;-1;18;triple;931;60001;7267883096
graphComp;-1;19;triple;256;60001;7269946600
graphComp;-1;20;triple;107;60001;7694231944
graphComp;-1;21;triple;7209;60013;1302308456
graphComp;-1;22;triple;5;60001;8082973296
graphComp;-1;23;triple;125;60001;7899591392
graphComp;-1;24;triple;176;60001;7684584552
graphComp;-1;25;triple;1972;60001;7954050856
graphComp;-1;26;triple;59458;60001;8089023576
graphComp;-1;27;triple;158;60001;8028978152
graphComp;-1;28;triple;75;60001;7642315200
graphComp;-1;29;triple;6250;60001;7311481368
graphComp;-1;30;triple;0;60001;7427718928
graphComp;-1;31;triple;36;60001;8056587920
graphComp;-1;32;triple;116;60008;7882340304
graphComp;-1;33;triple;2941;60001;8834726280
graphComp;-1;34;triple;25258;60001;1372641992
graphComp;-1;35;triple;159;60001;7753365376
graphComp;-1;36;triple;440334;60001;4672841008
graphComp;-1;37;triple;78;61100;8630375720
graphComp;-1;38;triple;66645;60001;7903527768
graphComp;-1;39;triple;1987;60026;1409579336
graphComp;-1;40;triple;84;60001;8110595448
graphComp;-1;41;triple;49;60001;7627926472
graphComp;-1;42;triple;125;60547;12329909768
graphComp;-1;43;triple;11;61065;8649353448
graphComp;-1;44;triple;9132;60001;529848656
graphComp;-1;45;triple;157960;60001;1182618272
graphComp;-1;46;triple;2124;60001;2652039872
graphComp;-1;47;triple;171;60001;7270558216
graphComp;-1;48;triple;428;60001;2564947264
graphComp;-1;49;triple;79;60001;4720275408
graphComp;-1;50;triple;81;60001;7338216872
graphComp;-1;51;triple;1188;60001;4000320688
graphComp;-1;52;triple;0;60001;8245312376
graphComp;-1;53;triple;18;60001;6119087360
graphComp;-1;54;triple;212;60001;6632473824
graphComp;-1;55;triple;1702;60001;5572656960
graphComp;-1;56;triple;0;60001;7511378024
graphComp;-1;57;triple;255985;60001;7108918144
graphComp;-1;58;triple;0;60001;7743909568
graphComp;-1;59;triple;35;60001;7393600120
graphComp;-1;60;triple;275;60011;7354125672
graphComp;-1;61;triple;84;60001;8228347704
graphComp;-1;62;triple;4;60001;6090555008
graphComp;-1;63;triple;100;60001;6934047384
graphComp;-1;64;triple;99;60001;7763711416
graphComp;-1;65;triple;1080;60003;4581304576
graphComp;-1;66;triple;1421;60001;8418654736
graphComp;-1;67;triple;81;60001;8511561136
graphComp;-1;68;triple;57;60001;7583332280
graphComp;-1;69;triple;191;60027;7765105416
graphComp;-1;70;triple;89;60001;6825300840
graphComp;-1;71;triple;19;60001;8305169104
graphComp;-1;72;triple;0;60001;8339835296
graphComp;-1;73;triple;247;60001;6498135328
graphComp;-1;74;triple;0;60001;7608324856
graphComp;-1;75;triple;129;60001;12700859560
graphComp;-1;76;triple;9;60001;7281227000
graphComp;-1;77;triple;0;60001;5221934768
graphComp;-1;78;triple;287;60001;7299402152
graphComp;-1;79;triple;0;60048;3842001400
graphComp;-1;80;triple;0;60001;8644066472
graphComp;-1;81;triple;0;60001;8584370360
graphComp;-1;82;triple;527;60001;6011427400
graphComp;-1;83;triple;2;60001;7096351336
graphComp;-1;84;triple;25100;60001;7331264616
graphComp;-1;85;triple;54;60001;5861231616
graphComp;-1;86;triple;3;60610;7185320384
graphComp;-1;87;triple;1178266;60025;1244070976
graphComp;-1;88;triple;5879;60001;6929534176
graphComp;-1;89;triple;55;60001;7934974736
graphComp;-1;90;triple;154;60001;7277218192
graphComp;-1;91;triple;132;60001;7565272664
graphComp;-1;92;triple;3586;60001;28882032
graphComp;-1;93;triple;1940;60016;523336728
graphComp;-1;94;triple;53;60014;7875134384
graphComp;-1;95;triple;27;60001;7036444264
graphComp;-1;96;triple;94;60001;7663049512
graphComp;-1;97;triple;87;60001;7755852312
graphComp;-1;98;triple;1818;60001;6403739688
graphComp;-1;99;triple;10;60001;7268744552
