Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000;0;triple;0;60001;1506992
graphComp;1000;1;triple;53;60090;590048
graphComp;1000;2;triple;171;60001;6779664
graphComp;1000;3;triple;434;60001;7694088
graphComp;1000;4;triple;5;60001;601200
graphComp;1000;5;triple;0;60001;68836224
graphComp;1000;6;triple;291;60351;2946768
graphComp;1000;7;triple;463;60001;5113072
graphComp;1000;8;triple;1193;60001;10444472
graphComp;1000;9;triple;0;60001;1694512
graphComp;1000;10;triple;903;60001;12789456
graphComp;1000;11;triple;3495;60063;28009184
graphComp;1000;12;triple;0;60001;609272
graphComp;1000;13;triple;359;60128;20494496
graphComp;1000;14;triple;3400;60063;37912008
graphComp;1000;15;triple;16;60319;1095960
graphComp;1000;16;triple;216;60001;4144528
graphComp;1000;17;triple;184;60016;2261560
graphComp;1000;18;triple;426;60559;5812264
graphComp;1000;19;triple;737;60240;5921624
graphComp;1000;20;triple;735;60001;9997952
graphComp;1000;21;triple;388;60001;5355984
graphComp;1000;22;triple;0;60001;1514880
graphComp;1000;23;triple;994;60001;28402704
graphComp;1000;24;triple;1087;60001;8131000
graphComp;1000;25;triple;369;60001;3214616
graphComp;1000;26;triple;1;60001;754848
graphComp;1000;27;triple;1567;60001;18347488
graphComp;1000;28;triple;365;60001;22923848
graphComp;1000;29;triple;268;60001;4217112
graphComp;1000;30;triple;0;60001;251360
graphComp;1000;31;triple;33;60001;2529368
graphComp;1000;32;triple;2;60001;127744
graphComp;1000;33;triple;3;60001;2744728
graphComp;1000;34;triple;1168;60001;11688888
graphComp;1000;35;triple;240;60001;2574176
graphComp;1000;36;triple;508;60041;34587944
graphComp;1000;37;triple;839;60001;19958904
graphComp;1000;38;triple;0;60001;11618464
graphComp;1000;39;triple;1496;60001;17068608
graphComp;1000;40;triple;248;60048;1464952
graphComp;1000;41;triple;363;60001;5814192
graphComp;1000;42;triple;66;60001;1249376
graphComp;1000;43;triple;0;60001;1545672
graphComp;1000;44;triple;661;60001;6117232
graphComp;1000;45;triple;0;60001;3508376
graphComp;1000;46;triple;4159;60001;18617424
graphComp;1000;47;triple;1029;60001;11708760
graphComp;1000;48;triple;0;60001;5884616
graphComp;1000;49;triple;1062;60001;9239824
graphComp;1000;50;triple;494;60001;25105312
graphComp;1000;51;triple;636;60001;8283016
graphComp;1000;52;triple;0;60001;2899512
graphComp;1000;53;triple;13;60080;12712
graphComp;1000;54;triple;0;60001;1725568
graphComp;1000;55;triple;2477;60001;13271648
graphComp;1000;56;triple;0;60001;12371920
graphComp;1000;57;triple;128;60001;1425440
graphComp;1000;58;triple;0;60001;3609880
graphComp;1000;59;triple;141;60001;4806328
graphComp;1000;60;triple;2498;60001;19918504
graphComp;1000;61;triple;417;60001;4458272
graphComp;1000;62;triple;12;60001;20262384
graphComp;1000;63;triple;96;60001;1025936
graphComp;1000;64;triple;293;60001;3042584
graphComp;1000;65;triple;1114;60001;9948840
graphComp;1000;66;triple;0;60083;4547664
graphComp;1000;67;triple;1127;60001;10136600
graphComp;1000;68;triple;124;60001;2014696
graphComp;1000;69;triple;1934;60001;11504112
graphComp;1000;70;triple;80;60732;698024
graphComp;1000;71;triple;132;60361;2063816
graphComp;1000;72;triple;0;60001;726616
graphComp;1000;73;triple;0;53839;4792
graphComp;1000;74;triple;0;60001;5289736
graphComp;1000;75;triple;0;60001;1648072
graphComp;1000;76;triple;5;60001;1567592
graphComp;1000;77;triple;0;60001;3464928
graphComp;1000;78;triple;5264;60001;111753296
graphComp;1000;79;triple;0;60001;2588024
graphComp;1000;80;triple;0;60001;2105488
graphComp;1000;81;triple;0;60001;904968
graphComp;1000;82;triple;744;60001;15239504
graphComp;1000;83;triple;42;60001;522368
graphComp;1000;84;triple;0;60001;348592
graphComp;1000;85;triple;801;60001;5180896
graphComp;1000;86;triple;0;60001;2847064
graphComp;1000;87;triple;0;60001;2900768
graphComp;1000;88;triple;0;60001;51053328
graphComp;1000;89;triple;179;60076;4430320
graphComp;1000;90;triple;139;60001;5857904
graphComp;1000;91;triple;384;60001;38022760
graphComp;1000;92;triple;3769;60001;18327504
graphComp;1000;93;triple;2643;60001;32786072
graphComp;1000;94;triple;831;60001;4458432
graphComp;1000;95;triple;398;60001;9633016
graphComp;1000;96;triple;617;60001;32938080
graphComp;1000;97;triple;1803;60001;25364888
graphComp;1000;98;triple;2558;60001;16588584
graphComp;1000;99;triple;0;60001;6580984
