Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;100000;0;double;11;60001;295374888
graphComp;100000;1;double;6;60001;17356776
graphComp;100000;2;double;2751;60001;157342416
graphComp;100000;3;double;21104;60001;219257776
graphComp;100000;4;double;0;60001;27891352
graphComp;100000;5;double;0;60001;1264197848
graphComp;100000;6;double;358;60001;31259616
graphComp;100000;7;double;343;60001;180299192
graphComp;100000;8;double;1150;60001;99755808
graphComp;100000;9;double;0;60001;379166040
graphComp;100000;10;double;6787;60001;291408984
graphComp;100000;11;double;2756;60001;24832608
graphComp;100000;12;double;0;60001;167588888
graphComp;100000;13;double;37495;60001;524306848
graphComp;100000;14;double;2002;60001;36087064
graphComp;100000;15;double;10;60001;69477304
graphComp;100000;16;double;0;60001;21317872
graphComp;100000;17;double;620;60001;376437296
graphComp;100000;18;double;9685;60001;114085928
graphComp;100000;19;double;0;60001;21278592
graphComp;100000;20;double;0;60001;93331064
graphComp;100000;21;double;0;60001;11939608
graphComp;100000;22;double;838;60001;225229936
graphComp;100000;23;double;0;60001;55925864
graphComp;100000;24;double;1071;60001;35019384
graphComp;100000;25;double;0;60001;16884992
graphComp;100000;26;double;0;60001;42050216
graphComp;100000;27;double;0;60001;23376088
graphComp;100000;28;double;0;60001;37158648
graphComp;100000;29;double;279;60001;176005912
graphComp;100000;30;double;2409;60001;298629928
graphComp;100000;31;double;0;60001;42306608
graphComp;100000;32;double;1158;60001;40912576
graphComp;100000;33;double;186012;60001;367281904
graphComp;100000;34;double;1219;60001;73850776
graphComp;100000;35;double;1091;60001;251185056
graphComp;100000;36;double;990;60001;69295128
graphComp;100000;37;double;995;60001;271355904
graphComp;100000;38;double;1677;60001;47698520
graphComp;100000;39;double;27837;60001;134008864
graphComp;100000;40;double;9;60764;12826800
graphComp;100000;41;double;411;60001;71200736
graphComp;100000;42;double;1305;60001;123466448
graphComp;100000;43;double;28574;60001;71398736
graphComp;100000;44;double;4673;60001;181825480
graphComp;100000;45;double;3884;60001;51652896
graphComp;100000;46;double;31132;60001;452868032
graphComp;100000;47;double;1048;60001;91485424
graphComp;100000;48;double;0;60001;204182272
graphComp;100000;49;double;2799;60001;84372984
graphComp;100000;50;double;137;60090;87115280
graphComp;100000;51;double;1137;60001;246283384
graphComp;100000;52;double;0;60001;62925872
graphComp;100000;53;double;0;60001;104564952
graphComp;100000;54;double;3236;60780;308647864
graphComp;100000;55;double;461;60121;77635880
graphComp;100000;56;double;0;60001;28737664
graphComp;100000;57;double;442;60001;87928280
graphComp;100000;58;double;0;60001;55610432
graphComp;100000;59;double;0;60001;651058264
graphComp;100000;60;double;2763;60001;33544848
graphComp;100000;61;double;7;60001;3017488
graphComp;100000;62;double;12;60001;24793968
graphComp;100000;63;double;2066;60001;198385992
graphComp;100000;64;double;0;60001;19308240
graphComp;100000;65;double;35524;60001;77927712
graphComp;100000;66;double;3969;60001;40661592
graphComp;100000;67;double;0;60001;105901424
graphComp;100000;68;double;133;60001;39095088
graphComp;100000;69;double;21135;60001;76185480
graphComp;100000;70;double;561;60001;65750720
graphComp;100000;71;double;51;60001;7859208
graphComp;100000;72;double;0;60001;446996616
graphComp;100000;73;double;16556;60001;284243832
graphComp;100000;74;double;0;60001;13713488
graphComp;100000;75;double;0;60001;124660080
graphComp;100000;76;double;5;60001;71640000
graphComp;100000;77;double;0;60001;668483744
graphComp;100000;78;double;0;60001;82545352
graphComp;100000;79;double;0;60001;96652352
graphComp;100000;80;double;0;60001;16568136
graphComp;100000;81;double;0;60001;1427126008
graphComp;100000;82;double;3295;60001;141749000
graphComp;100000;83;double;803;60001;62553848
graphComp;100000;84;double;11153;60001;257038504
graphComp;100000;85;double;983;60001;27996008
graphComp;100000;86;double;0;60001;10536416
graphComp;100000;87;double;64;60001;211985368
graphComp;100000;88;double;36090;60001;319518144
graphComp;100000;89;double;3;60001;92581712
graphComp;100000;90;double;103;60001;202752504
graphComp;100000;91;double;221;60001;29739544
graphComp;100000;92;double;171;60001;21811800
graphComp;100000;93;double;236;60001;27319624
graphComp;100000;94;double;0;60001;64063104
graphComp;100000;95;double;654;60001;81414760
graphComp;100000;96;double;0;60001;66296792
graphComp;100000;97;double;0;60001;116012384
graphComp;100000;98;double;886;60001;169554064
graphComp;100000;99;double;0;60001;174703560
