Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;double;3164;60001;7538568872
graphComp;-1;1;double;7159;60005;7277134656
graphComp;-1;2;double;143;61321;6842682984
graphComp;-1;3;double;15616;60001;7351749920
graphComp;-1;4;double;0;60001;8587583320
graphComp;-1;5;double;0;60001;6395689928
graphComp;-1;6;double;90;60777;7824041584
graphComp;-1;7;double;54;61210;7946943024
graphComp;-1;8;double;46;60008;7428890896
graphComp;-1;9;double;0;60854;8156644008
graphComp;-1;10;double;1578;60001;7276033160
graphComp;-1;11;double;89;60001;7992180784
graphComp;-1;12;double;0;60001;3004498848
graphComp;-1;13;double;480;60001;8597521240
graphComp;-1;14;double;225;60033;7521358312
graphComp;-1;15;double;0;60001;8322529264
graphComp;-1;16;double;0;60001;8371948456
graphComp;-1;17;double;156;60001;7356543352
graphComp;-1;18;double;451;60018;6349426296
graphComp;-1;19;double;0;60001;7887195256
graphComp;-1;20;double;0;60001;7576252488
graphComp;-1;21;double;7359;60051;6001884456
graphComp;-1;22;double;29491;60090;4659029480
graphComp;-1;23;double;0;60001;8272724720
graphComp;-1;24;double;151;60001;7722308296
graphComp;-1;25;double;1887;60001;2405693192
graphComp;-1;26;double;0;60001;8402189136
graphComp;-1;27;double;47;60001;7347963608
graphComp;-1;28;double;25;60001;8100994520
graphComp;-1;29;double;88;60001;7662138488
graphComp;-1;30;double;213;60001;8348089864
graphComp;-1;31;double;0;60001;6116185304
graphComp;-1;32;double;30;60001;3855428576
graphComp;-1;33;double;9981;60001;8411342152
graphComp;-1;34;double;71;60001;7793944960
graphComp;-1;35;double;159;60001;7267362792
graphComp;-1;36;double;830;60001;6642250992
graphComp;-1;37;double;76;60456;7023277392
graphComp;-1;38;double;740;61899;5840648864
graphComp;-1;39;double;28041;60001;7339657600
graphComp;-1;40;double;3;60001;8185262104
graphComp;-1;41;double;58;60001;7701991400
graphComp;-1;42;double;60;60001;7530194232
graphComp;-1;43;double;5623;60001;8910985720
graphComp;-1;44;double;405;60135;7043868688
graphComp;-1;45;double;220;60015;6759661904
graphComp;-1;46;double;1417;60001;5164704048
graphComp;-1;47;double;69;60001;7826232960
graphComp;-1;48;double;30;60284;7079572976
graphComp;-1;49;double;125;60001;7359063760
graphComp;-1;50;double;380;60001;8419937088
graphComp;-1;51;double;1184;60001;6887373440
graphComp;-1;52;double;0;60451;7037023344
graphComp;-1;53;double;0;60005;7021265000
graphComp;-1;54;double;3702;60001;9660722184
graphComp;-1;55;double;63;60001;7536029736
graphComp;-1;56;double;0;60001;7971345976
graphComp;-1;57;double;255863;60021;801133816
graphComp;-1;58;double;0;60001;5636672480
graphComp;-1;59;double;0;60001;7155066984
graphComp;-1;60;double;1720;61369;7083180664
graphComp;-1;61;double;7;60001;8200726456
graphComp;-1;62;double;4;60001;8033989824
graphComp;-1;63;double;96;60001;8529940840
graphComp;-1;64;double;0;60001;3234729432
graphComp;-1;65;double;35573;60001;78416024
graphComp;-1;66;double;1421;60001;7868115688
graphComp;-1;67;double;0;60001;8650860464
graphComp;-1;68;double;57;62652;8656692168
graphComp;-1;69;double;19475;60001;7571439472
graphComp;-1;70;double;77;60001;7513334112
graphComp;-1;71;double;66;60001;7368484192
graphComp;-1;72;double;4436;60001;386405656
graphComp;-1;73;double;310;60011;6188254752
graphComp;-1;74;double;0;60001;7495403248
graphComp;-1;75;double;0;60001;4872587720
graphComp;-1;76;double;5;60001;8283278680
graphComp;-1;77;double;0;60001;2457526144
graphComp;-1;78;double;0;60001;8043458080
graphComp;-1;79;double;0;61208;8646282184
graphComp;-1;80;double;0;60001;4528873328
graphComp;-1;81;double;0;60001;8517999416
graphComp;-1;82;double;577;60033;5993803304
graphComp;-1;83;double;2;60001;7830963032
graphComp;-1;84;double;22812;60001;6749224416
graphComp;-1;85;double;41;60001;7540997728
graphComp;-1;86;double;0;60001;8207066032
graphComp;-1;87;double;30;60001;7438994760
graphComp;-1;88;double;99;60001;6711496624
graphComp;-1;89;double;0;60001;7554287936
graphComp;-1;90;double;69;60001;7588805576
graphComp;-1;91;double;134;60001;7624147952
graphComp;-1;92;double;22;60001;7441128376
graphComp;-1;93;double;1872;60020;524243848
graphComp;-1;94;double;0;60001;7118865296
graphComp;-1;95;double;47;60171;7022778032
graphComp;-1;96;double;0;60001;7399245448
graphComp;-1;97;double;0;60001;7540659784
graphComp;-1;98;double;80;60001;7299656152
graphComp;-1;99;double;0;60005;7048676624
