Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;penta;33;60001;7638163000
graphComp;-1;1;penta;0;60001;7230986952
graphComp;-1;2;penta;139348;60001;569666976
graphComp;-1;3;penta;9124;60006;5730742216
graphComp;-1;4;penta;146;60475;6964854992
graphComp;-1;5;penta;26;61010;7540085000
graphComp;-1;6;penta;77;60001;6680912840
graphComp;-1;7;penta;69;60001;7412231184
graphComp;-1;8;penta;10094;60001;9545673376
graphComp;-1;9;penta;30;60001;7893506104
graphComp;-1;10;penta;2084;60007;943757136
graphComp;-1;11;penta;4615;61257;5371072200
graphComp;-1;12;penta;3836289;60001;4027366752
graphComp;-1;13;penta;784;60001;5167731056
graphComp;-1;14;penta;116;60001;6305859584
graphComp;-1;15;penta;1751;60017;1980889792
graphComp;-1;16;penta;95;60001;11573065464
graphComp;-1;17;penta;187;62101;8459332656
graphComp;-1;18;penta;636;60006;6235773112
graphComp;-1;19;penta;9931;60001;6483656696
graphComp;-1;20;penta;127;60001;8435216976
graphComp;-1;21;penta;5017;60022;1210406720
graphComp;-1;22;penta;112;60001;7780199144
graphComp;-1;23;penta;60;60001;7439720744
graphComp;-1;24;penta;216;60001;3154489120
graphComp;-1;25;penta;511;60024;6776904832
graphComp;-1;26;penta;373537;60001;6171732048
graphComp;-1;27;penta;139;60001;8093546848
graphComp;-1;28;penta;126;61094;8599676032
graphComp;-1;29;penta;731;60001;5796277000
graphComp;-1;30;penta;50;60001;8316621304
graphComp;-1;31;penta;96;60001;8148028872
graphComp;-1;32;penta;2264;60001;6208435384
graphComp;-1;33;penta;10500;60007;4032504840
graphComp;-1;34;penta;5498;60011;1477617016
graphComp;-1;35;penta;224;60001;7622181056
graphComp;-1;36;penta;2433;60001;7028788440
graphComp;-1;37;penta;293;60012;7552312592
graphComp;-1;38;penta;2287;60034;389825176
graphComp;-1;39;penta;450;60001;3011330960
graphComp;-1;40;penta;6399;60003;2822538200
graphComp;-1;41;penta;105;60026;7021436456
graphComp;-1;42;penta;7925;60009;1569872872
graphComp;-1;43;penta;11541;60001;6451923296
graphComp;-1;44;penta;1748;60001;7151342376
graphComp;-1;45;penta;30892;60001;8558236264
graphComp;-1;46;penta;1620;60013;2652251528
graphComp;-1;47;penta;1894;60001;1590637104
graphComp;-1;48;penta;67;60001;7744476920
graphComp;-1;49;penta;145;60001;7930966168
graphComp;-1;50;penta;64921;60001;11040640664
graphComp;-1;51;penta;132;60001;7897309440
graphComp;-1;52;penta;112;62696;8650930352
graphComp;-1;53;penta;157;60001;5868508512
graphComp;-1;54;penta;306;60556;7022064624
graphComp;-1;55;penta;254;60374;7021453408
graphComp;-1;56;penta;72;60114;7021319528
graphComp;-1;57;penta;58;60334;7021274208
graphComp;-1;58;penta;34;60001;7517495576
graphComp;-1;59;penta;96;60001;7268208400
graphComp;-1;60;penta;233;60371;7028506472
graphComp;-1;61;penta;181;60001;7289047448
graphComp;-1;62;penta;10639;60310;7027163544
graphComp;-1;63;penta;1728;60001;5509999656
graphComp;-1;64;penta;188;60001;7130237408
graphComp;-1;65;penta;7165;60003;6360220584
graphComp;-1;66;penta;185;60026;7677323384
graphComp;-1;67;penta;2058;60010;1783669800
graphComp;-1;68;penta;94;60001;4510612896
graphComp;-1;69;penta;8245;60001;5983378640
graphComp;-1;70;penta;266;60001;7305641400
graphComp;-1;71;penta;1364;60001;7604119304
graphComp;-1;72;penta;1242;60006;5301679384
graphComp;-1;73;penta;573;60010;6419204480
graphComp;-1;74;penta;1614;60001;7869853216
graphComp;-1;75;penta;1488;60435;3091353648
graphComp;-1;76;penta;24;60058;7028136920
graphComp;-1;77;penta;0;60001;7126486760
graphComp;-1;78;penta;73;60001;7235818304
graphComp;-1;79;penta;104;60001;7475748176
graphComp;-1;80;penta;85;60001;7799031560
graphComp;-1;81;penta;95;60001;7634652264
graphComp;-1;82;penta;721;60001;7321577320
graphComp;-1;83;penta;17164;60001;8741656096
graphComp;-1;84;penta;1673;60001;6846827680
graphComp;-1;85;penta;24902;60001;1414765408
graphComp;-1;86;penta;122;60001;8096101032
graphComp;-1;87;penta;4;60835;8587912816
graphComp;-1;88;penta;2052;60026;595999496
graphComp;-1;89;penta;183;60001;7292208536
graphComp;-1;90;penta;164;60001;8541325400
graphComp;-1;91;penta;29;60001;8448047712
graphComp;-1;92;penta;1289;60001;7268273512
graphComp;-1;93;penta;2070;60007;528347448
graphComp;-1;94;penta;163;60001;8482198960
graphComp;-1;95;penta;160;60001;7609574064
graphComp;-1;96;penta;2865;60001;8391440416
graphComp;-1;97;penta;165;60578;7021940128
graphComp;-1;98;penta;194;60573;7021403984
graphComp;-1;99;penta;64878;60001;4361993824
