Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;triple;0;60664;7021267688
graphComp;-1;1;triple;3983;60001;7267868776
graphComp;-1;2;triple;178;60001;9509294536
graphComp;-1;3;triple;915;60015;5725448000
graphComp;-1;4;triple;3;60001;7250848240
graphComp;-1;5;triple;0;60001;3869160976
graphComp;-1;6;triple;90;62219;7893768600
graphComp;-1;7;triple;134;60001;7268539328
graphComp;-1;8;triple;244;60001;7270517744
graphComp;-1;9;triple;20;60001;6802209096
graphComp;-1;10;triple;1439;60001;2874671800
graphComp;-1;11;triple;5431;60001;4741418264
graphComp;-1;12;triple;0;60001;8287391384
graphComp;-1;13;triple;38;60001;8466457664
graphComp;-1;14;triple;222;60001;6738895464
graphComp;-1;15;triple;15;60001;7368459800
graphComp;-1;16;triple;21;60001;7471798464
graphComp;-1;17;triple;18;60019;7418936208
graphComp;-1;18;triple;931;60001;7267883096
graphComp;-1;19;triple;256;60440;7269946600
graphComp;-1;20;triple;114;60007;7875044904
graphComp;-1;21;triple;7303;60003;1302595776
graphComp;-1;22;triple;5;60001;7989367080
graphComp;-1;23;triple;111;60224;7022472760
graphComp;-1;24;triple;176;60001;7275318744
graphComp;-1;25;triple;1964;60001;7797753392
graphComp;-1;26;triple;50462;60001;8087922544
graphComp;-1;27;triple;132;60001;7072582384
graphComp;-1;28;triple;77;60001;8257793704
graphComp;-1;29;triple;6351;60001;7312031048
graphComp;-1;30;triple;0;60001;8532265744
graphComp;-1;31;triple;36;60001;8079153320
graphComp;-1;32;triple;129;60001;7988830096
graphComp;-1;33;triple;2941;60001;8834726280
graphComp;-1;34;triple;25258;60001;1372626888
graphComp;-1;35;triple;159;60001;7753365376
graphComp;-1;36;triple;440377;60001;4673720840
graphComp;-1;37;triple;78;61163;8630359640
graphComp;-1;38;triple;66645;60001;7903527768
graphComp;-1;39;triple;1987;60007;1409579336
graphComp;-1;40;triple;84;60001;8063817888
graphComp;-1;41;triple;47;60001;7347296664
graphComp;-1;42;triple;121;60001;11950137752
graphComp;-1;43;triple;11;60001;7757931432
graphComp;-1;44;triple;9132;60001;529848896
graphComp;-1;45;triple;170563;60001;1184130584
graphComp;-1;46;triple;2142;60001;2683840344
graphComp;-1;47;triple;171;60001;7270558216
graphComp;-1;48;triple;428;60001;2564947264
graphComp;-1;49;triple;79;60001;4620411528
graphComp;-1;50;triple;114;60017;7562704168
graphComp;-1;51;triple;1188;60001;4962141728
graphComp;-1;52;triple;0;60001;8245312376
graphComp;-1;53;triple;18;60001;6119087360
graphComp;-1;54;triple;216;60001;7153494752
graphComp;-1;55;triple;1702;61973;5875875096
graphComp;-1;56;triple;0;60001;8200399800
graphComp;-1;57;triple;255985;60001;7108918144
graphComp;-1;58;triple;0;60001;8151082816
graphComp;-1;59;triple;35;60001;7245628112
graphComp;-1;60;triple;242;60001;7056676520
graphComp;-1;61;triple;84;60001;7802649616
graphComp;-1;62;triple;4;60001;6251130424
graphComp;-1;63;triple;100;60001;6934047384
graphComp;-1;64;triple;95;60001;7579265360
graphComp;-1;65;triple;1047;60001;4551482816
graphComp;-1;66;triple;1421;60001;8418656320
graphComp;-1;67;triple;81;60001;8050661376
graphComp;-1;68;triple;57;60001;8478730160
graphComp;-1;69;triple;208;60001;8139415040
graphComp;-1;70;triple;89;60001;6825300840
graphComp;-1;71;triple;19;60001;8378206608
graphComp;-1;72;triple;0;60001;8097720880
graphComp;-1;73;triple;234;60014;6497692928
graphComp;-1;74;triple;0;60001;8033255360
graphComp;-1;75;triple;129;60001;12595479688
graphComp;-1;76;triple;9;60001;7445959544
graphComp;-1;77;triple;0;60001;5207747096
graphComp;-1;78;triple;287;60001;7299402152
graphComp;-1;79;triple;0;60001;3496061736
graphComp;-1;80;triple;0;60001;7862405048
graphComp;-1;81;triple;0;60001;7834163976
graphComp;-1;82;triple;483;60278;5811384024
graphComp;-1;83;triple;2;60001;8169333288
graphComp;-1;84;triple;22790;60001;7329030640
graphComp;-1;85;triple;54;60001;5861231616
graphComp;-1;86;triple;3;60001;6423520160
graphComp;-1;87;triple;1163072;60001;1240716976
graphComp;-1;88;triple;5834;60001;6929508432
graphComp;-1;89;triple;55;60001;8016890152
graphComp;-1;90;triple;154;60627;7277218192
graphComp;-1;91;triple;132;60001;7399097928
graphComp;-1;92;triple;3586;60001;28882032
graphComp;-1;93;triple;2064;60018;523694112
graphComp;-1;94;triple;50;60001;7548859960
graphComp;-1;95;triple;25;60297;6964774536
graphComp;-1;96;triple;78;60001;7182433808
graphComp;-1;97;triple;87;60001;7770219792
graphComp;-1;98;triple;1817;60001;6339766536
graphComp;-1;99;triple;10;60001;7268744552
