Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000;0;double;3;60001;24772584
graphComp;1000;1;double;132;60001;7269446808
graphComp;1000;2;double;248;60001;10314816
graphComp;1000;3;double;23757;60001;215136184
graphComp;1000;4;double;0;60107;384088
graphComp;1000;5;double;0;60001;68836000
graphComp;1000;6;double;291;60045;2515072
graphComp;1000;7;double;251;60001;9905504
graphComp;1000;8;double;1018;60001;9290400
graphComp;1000;9;double;0;60001;7257720
graphComp;1000;10;double;3812;60001;3431528
graphComp;1000;11;double;3406;60001;28000872
graphComp;1000;12;double;0;60001;1692288
graphComp;1000;13;double;359;60001;3419280
graphComp;1000;14;double;1901;60001;21514800
graphComp;1000;15;double;8;60001;1817160
graphComp;1000;16;double;0;60001;5023256
graphComp;1000;17;double;526;60001;23358160
graphComp;1000;18;double;9657;60001;29440744
graphComp;1000;19;double;0;60001;5279008
graphComp;1000;20;double;0;60001;6878224
graphComp;1000;21;double;4384;60001;5811967360
graphComp;1000;22;double;9477;60001;1949708240
graphComp;1000;23;double;0;60001;5769488
graphComp;1000;24;double;1168;60001;8970024
graphComp;1000;25;double;1880;60001;2233917000
graphComp;1000;26;double;0;60001;754528
graphComp;1000;27;double;0;60001;11087496
graphComp;1000;28;double;13;60486;821893312
graphComp;1000;29;double;268;60001;4216888
graphComp;1000;30;double;151;60001;5471760
graphComp;1000;31;double;0;60001;21589856
graphComp;1000;32;double;0;60001;11377712
graphComp;1000;33;double;195697;60001;340654456
graphComp;1000;34;double;1168;60001;11688424
graphComp;1000;35;double;1512;60001;17854712
graphComp;1000;36;double;496;60001;34993360
graphComp;1000;37;double;839;60001;19954928
graphComp;1000;38;double;1636;60001;11558488
graphComp;1000;39;double;27960;60001;39013144
graphComp;1000;40;double;7;60001;212328
graphComp;1000;41;double;367;60001;16489776
graphComp;1000;42;double;1096;60190;19621000
graphComp;1000;43;double;8385;60001;57790024
graphComp;1000;44;double;661;60001;6117008
graphComp;1000;45;double;3875;60001;9645072
graphComp;1000;46;double;129650;60001;217226400
graphComp;1000;47;double;1372;60001;20028608
graphComp;1000;48;double;0;60001;5884392
graphComp;1000;49;double;2643;60001;20695608
graphComp;1000;50;double;267;60001;15218504
graphComp;1000;51;double;636;60001;8953512
graphComp;1000;52;double;0;60001;279912
graphComp;1000;53;double;0;57390;6152
graphComp;1000;54;double;2907;60001;5000768
graphComp;1000;55;double;367;60001;12685216
graphComp;1000;56;double;0;60001;8791904
graphComp;1000;57;double;438;60001;76980128
graphComp;1000;58;double;0;60001;19520144
graphComp;1000;59;double;0;60001;12148448
graphComp;1000;60;double;2796;60001;19381136
graphComp;1000;61;double;7;60001;2241784
graphComp;1000;62;double;12;60014;5233752
graphComp;1000;63;double;1708;60032;21109280
graphComp;1000;64;double;0;60001;8562288
graphComp;1000;65;double;36391;60001;75812352
graphComp;1000;66;double;44;60001;8932408
graphComp;1000;67;double;0;60001;491176
graphComp;1000;68;double;124;60001;2014472
graphComp;1000;69;double;22436;60001;32027904
graphComp;1000;70;double;516;60088;10777712
graphComp;1000;71;double;34;60001;2212000
graphComp;1000;72;double;0;60042;5587656
graphComp;1000;73;double;17944;60001;128043408
graphComp;1000;74;double;0;60001;4680192
graphComp;1000;75;double;0;60001;975912
graphComp;1000;76;double;5;60001;1985560
graphComp;1000;77;double;0;60001;3666408
graphComp;1000;78;double;0;60001;47543224
graphComp;1000;79;double;0;60384;6934424
graphComp;1000;80;double;0;7111;2960
graphComp;1000;81;double;0;60001;3923496
graphComp;1000;82;double;5821;60001;27252712
graphComp;1000;83;double;1714;60001;15822672
graphComp;1000;84;double;6134;60001;68523272
graphComp;1000;85;double;863;60001;6027976
graphComp;1000;86;double;0;60001;4041248
graphComp;1000;87;double;0;60001;2900544
graphComp;1000;88;double;0;60001;129130800
graphComp;1000;89;double;3;60001;295744
graphComp;1000;90;double;92;60001;98444568
graphComp;1000;91;double;384;60045;30034968
graphComp;1000;92;double;133;60001;2679928
graphComp;1000;93;double;1235;60001;478010400
graphComp;1000;94;double;0;60001;4341024
graphComp;1000;95;double;540;60001;10176800
graphComp;1000;96;double;0;60001;30670568
graphComp;1000;97;double;0;60001;2515528
graphComp;1000;98;double;779;60001;13681240
graphComp;1000;99;double;0;60001;3551432
