Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000;0;penta;516;60001;23896336
graphComp;1000;1;penta;0;60001;7667484984
graphComp;1000;2;penta;557425;60001;1380088792
graphComp;1000;3;penta;38740;60001;295944120
graphComp;1000;4;penta;134;60001;838784
graphComp;1000;5;penta;119;60001;18936264
graphComp;1000;6;penta;83;60001;1244384
graphComp;1000;7;penta;520;60001;4426352
graphComp;1000;8;penta;9853;60001;69653736
graphComp;1000;9;penta;0;60001;1448904
graphComp;1000;10;penta;22720;60001;50160408
graphComp;1000;11;penta;4274;60001;1294228624
graphComp;1000;12;penta;4211329;60001;3137031520
graphComp;1000;13;penta;770;60001;5149219264
graphComp;1000;14;penta;2336;60001;29750872
graphComp;1000;15;penta;39589;60001;573071016
graphComp;1000;16;penta;97;60001;2086816
graphComp;1000;17;penta;2764;60001;21355384
graphComp;1000;18;penta;36176;60001;98131096
graphComp;1000;19;penta;10267;60001;19232248
graphComp;1000;20;penta;794;60001;131918752
graphComp;1000;21;penta;11933;60001;1220066632
graphComp;1000;22;penta;5950;62138;1338278088
graphComp;1000;23;penta;1560;60001;36235480
graphComp;1000;24;penta;243;60001;1606368
graphComp;1000;25;penta;793;60001;694153152
graphComp;1000;26;penta;391012;60001;6765224592
graphComp;1000;27;penta;2517;60001;30710704
graphComp;1000;28;penta;136524;60001;478111544
graphComp;1000;29;penta;647;60001;15607256
graphComp;1000;30;penta;95;60001;768776
graphComp;1000;31;penta;551;60001;8059368
graphComp;1000;32;penta;2154;60145;14080936
graphComp;1000;33;penta;218474;60001;412548776
graphComp;1000;34;penta;3781;60001;84548160
graphComp;1000;35;penta;1200;60001;11652832
graphComp;1000;36;penta;96270;60001;989685120
graphComp;1000;37;penta;2277;60001;15677240
graphComp;1000;38;penta;76630;60001;149608192
graphComp;1000;39;penta;120;60001;2326624536
graphComp;1000;40;penta;884109;60001;3184917912
graphComp;1000;41;penta;1582;60001;34055304
graphComp;1000;42;penta;128;60001;858800232
graphComp;1000;43;penta;14136;60074;63473504
graphComp;1000;44;penta;3362;60001;235735240
graphComp;1000;45;penta;15527;60001;1083368368
graphComp;1000;46;penta;78;60001;49072464
graphComp;1000;47;penta;10820;60001;20492632
graphComp;1000;48;penta;202;60001;1225401672
graphComp;1000;49;penta;143;60001;2293088
graphComp;1000;50;penta;88126;60001;201656048
graphComp;1000;51;penta;1707;60001;40732312
graphComp;1000;52;penta;437;60001;7210456
graphComp;1000;53;penta;183;60001;2297080
graphComp;1000;54;penta;11861;60013;12575352
graphComp;1000;55;penta;1905;60001;23158056
graphComp;1000;56;penta;1167;60141;3754416
graphComp;1000;57;penta;2210;60001;59508592
graphComp;1000;58;penta;266;60001;23375072
graphComp;1000;59;penta;213;60001;3689128
graphComp;1000;60;penta;2517;60001;52575600
graphComp;1000;61;penta;534;60001;5298304
graphComp;1000;62;penta;7843;60001;68476432
graphComp;1000;63;penta;2179;60001;18972768
graphComp;1000;64;penta;954;60001;6424000
graphComp;1000;65;penta;31969;60001;93492488
graphComp;1000;66;penta;1192;60001;23405016
graphComp;1000;67;penta;34175;60001;72922536
graphComp;1000;68;penta;680;60225;7588512
graphComp;1000;69;penta;103;60001;9793008
graphComp;1000;70;penta;159;60005;39989104
graphComp;1000;71;penta;270;60001;3988456
graphComp;1000;72;penta;52760;60001;586762328
graphComp;1000;73;penta;1507;60001;12455864
graphComp;1000;74;penta;1078;60001;5531744
graphComp;1000;75;penta;21690;60001;31524560
graphComp;1000;76;penta;11;60001;1701840
graphComp;1000;77;penta;0;60001;3094600
graphComp;1000;78;penta;1158;60001;53212080
graphComp;1000;79;penta;1041;60001;15588472
graphComp;1000;80;penta;409;60001;4812696
graphComp;1000;81;penta;1224;60001;7115560
graphComp;1000;82;penta;6773;60001;33983432
graphComp;1000;83;penta;156781;60001;582151112
graphComp;1000;84;penta;6778;60001;68753112
graphComp;1000;85;penta;308543;60001;735592128
graphComp;1000;86;penta;772;60001;6502400
graphComp;1000;87;penta;57;60001;826861184
graphComp;1000;88;penta;61;60001;100633888
graphComp;1000;89;penta;1689;60001;11525912
graphComp;1000;90;penta;3942;60001;159628336
graphComp;1000;91;penta;126;60001;3761016
graphComp;1000;92;penta;2998;60419;18568120
graphComp;1000;93;penta;2052;60001;481414256
graphComp;1000;94;penta;1264;60001;8836840
graphComp;1000;95;penta;796;60001;4982184
graphComp;1000;96;penta;76179;60001;1096163640
graphComp;1000;97;penta;2982;60001;71433072
graphComp;1000;98;penta;3620;60001;21444648
graphComp;1000;99;penta;64111;60001;33494176
