Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000;0;triple;6;60001;23961632
graphComp;1000;1;triple;966;60001;7264203984
graphComp;1000;2;triple;171;60001;6779664
graphComp;1000;3;triple;38723;60001;295626008
graphComp;1000;4;triple;5;60001;601200
graphComp;1000;5;triple;0;60001;43279592
graphComp;1000;6;triple;291;60001;2946768
graphComp;1000;7;triple;463;60001;5113072
graphComp;1000;8;triple;1193;60001;10444472
graphComp;1000;9;triple;0;60025;1694512
graphComp;1000;10;triple;4503;60001;13832752
graphComp;1000;11;triple;5432;60064;63117768
graphComp;1000;12;triple;0;60001;609272
graphComp;1000;13;triple;359;60628;20494496
graphComp;1000;14;triple;3400;60001;37911880
graphComp;1000;15;triple;16;60001;1095960
graphComp;1000;16;triple;216;60001;4144528
graphComp;1000;17;triple;184;60001;2261560
graphComp;1000;18;triple;8653;60001;27428272
graphComp;1000;19;triple;737;60001;5921624
graphComp;1000;20;triple;735;60001;9997952
graphComp;1000;21;triple;5067;60429;1191039040
graphComp;1000;22;triple;4360;60001;1443996696
graphComp;1000;23;triple;994;60111;28401712
graphComp;1000;24;triple;1120;60001;8293976
graphComp;1000;25;triple;2247;60001;2234344872
graphComp;1000;26;triple;11720;61190;7851088472
graphComp;1000;27;triple;1482;60001;17642568
graphComp;1000;28;triple;380;60001;829074264
graphComp;1000;29;triple;16785;60082;170895968
graphComp;1000;30;triple;0;60358;251360
graphComp;1000;31;triple;363;60001;24098480
graphComp;1000;32;triple;2;60001;127744
graphComp;1000;33;triple;212050;60001;308497496
graphComp;1000;34;triple;109527;60001;353722864
graphComp;1000;35;triple;240;60001;2574176
graphComp;1000;36;triple;417498;60001;2286367968
graphComp;1000;37;triple;839;60001;19958904
graphComp;1000;38;triple;62287;60209;49776776
graphComp;1000;39;triple;29540;60001;71234600
graphComp;1000;40;triple;248;60001;1464952
graphComp;1000;41;triple;363;60001;5814128
graphComp;1000;42;triple;66;60001;1249376
graphComp;1000;43;triple;5525;60001;50692616
graphComp;1000;44;triple;1450;60001;264545160
graphComp;1000;45;triple;844;60001;1046920152
graphComp;1000;46;triple;76;60001;47997848
graphComp;1000;47;triple;1029;60001;11706280
graphComp;1000;48;triple;125;60001;1466931408
graphComp;1000;49;triple;1062;60001;9239824
graphComp;1000;50;triple;494;60001;25750464
graphComp;1000;51;triple;636;60001;8545776
graphComp;1000;52;triple;0;60001;2927200
graphComp;1000;53;triple;21;60001;15600
graphComp;1000;54;triple;11548;60001;6725904
graphComp;1000;55;triple;2459;60001;13269744
graphComp;1000;56;triple;0;60030;12371920
graphComp;1000;57;triple;191;60001;76666024
graphComp;1000;58;triple;0;60001;23322120
graphComp;1000;59;triple;141;60001;4806328
graphComp;1000;60;triple;2412;60280;19377112
graphComp;1000;61;triple;417;60008;4458272
graphComp;1000;62;triple;12;60001;20262384
graphComp;1000;63;triple;96;60001;1025936
graphComp;1000;64;triple;293;60001;3042584
graphComp;1000;65;triple;26577;60001;66470000
graphComp;1000;66;triple;44;60001;9304336
graphComp;1000;67;triple;1127;60001;10136600
graphComp;1000;68;triple;67;60001;14126416
graphComp;1000;69;triple;18975;60001;28984576
graphComp;1000;70;triple;80;60001;698024
graphComp;1000;71;triple;132;60001;2063816
graphComp;1000;72;triple;0;60374;726616
graphComp;1000;73;triple;17343;60001;111801864
graphComp;1000;74;triple;0;60001;5289736
graphComp;1000;75;triple;0;60001;1648072
graphComp;1000;76;triple;5;60278;1567592
graphComp;1000;77;triple;0;60001;3396096
graphComp;1000;78;triple;5184;60001;149892920
graphComp;1000;79;triple;0;60001;6923192
graphComp;1000;80;triple;0;60001;2105488
graphComp;1000;81;triple;0;60001;904968
graphComp;1000;82;triple;6158;60001;56026128
graphComp;1000;83;triple;42;60001;522368
graphComp;1000;84;triple;6134;60001;68545360
graphComp;1000;85;triple;801;60001;5180512
graphComp;1000;86;triple;0;60001;2847064
graphComp;1000;87;triple;0;60001;818546280
graphComp;1000;88;triple;1483;60013;184133800
graphComp;1000;89;triple;179;60001;4430560
graphComp;1000;90;triple;456;60001;101726968
graphComp;1000;91;triple;384;60001;38022632
graphComp;1000;92;triple;3753;60001;18294936
graphComp;1000;93;triple;2030;60001;480999480
graphComp;1000;94;triple;831;60001;4458432
graphComp;1000;95;triple;398;60001;9633016
graphComp;1000;96;triple;617;60001;54227240
graphComp;1000;97;triple;1803;60036;25364888
graphComp;1000;98;triple;2597;60001;17172704
graphComp;1000;99;triple;0;60001;6580984
