Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;10000;0;cuadra;427;60001;61346392
graphComp;10000;1;cuadra;6543;60001;7274930880
graphComp;10000;2;cuadra;217;60001;17517488
graphComp;10000;3;cuadra;33410;60001;285774840
graphComp;10000;4;cuadra;827;60001;32238264
graphComp;10000;5;cuadra;273;60001;58901768
graphComp;10000;6;cuadra;914;60001;33587416
graphComp;10000;7;cuadra;1074;60001;34539552
graphComp;10000;8;cuadra;11048;60001;102925176
graphComp;10000;9;cuadra;52;60001;14143424
graphComp;10000;10;cuadra;21937;60001;94918624
graphComp;10000;11;cuadra;35538;60001;1871910688
graphComp;10000;12;cuadra;3549;60001;24837632
graphComp;10000;13;cuadra;1424;60001;284397296
graphComp;10000;14;cuadra;4441;60001;84341360
graphComp;10000;15;cuadra;54616;60001;611373312
graphComp;10000;16;cuadra;354;60001;12528320
graphComp;10000;17;cuadra;1286;60001;14813320
graphComp;10000;18;cuadra;39915;60001;111362448
graphComp;10000;19;cuadra;1649;60001;90236256
graphComp;10000;20;cuadra;841;60001;164316280
graphComp;10000;21;cuadra;14790;60001;1251375552
graphComp;10000;22;cuadra;16312;60001;1360082104
graphComp;10000;23;cuadra;894;60001;25772080
graphComp;10000;24;cuadra;1291;60001;9989664
graphComp;10000;25;cuadra;129;60001;696495904
graphComp;10000;26;cuadra;422552;60001;7138910088
graphComp;10000;27;cuadra;776;60001;24513984
graphComp;10000;28;cuadra;139682;60001;555831032
graphComp;10000;29;cuadra;15625;60001;285209944
graphComp;10000;30;cuadra;0;60001;5545936
graphComp;10000;31;cuadra;520;60001;19622408
graphComp;10000;32;cuadra;2015;60001;21283888
graphComp;10000;33;cuadra;1914;60001;85989896
graphComp;10000;34;cuadra;73118;60001;260920072
graphComp;10000;35;cuadra;242;60001;5731712
graphComp;10000;36;cuadra;169672;60001;1665200512
graphComp;10000;37;cuadra;2626;60001;123456032
graphComp;10000;38;cuadra;63087;60001;63442944
graphComp;10000;39;cuadra;122;60001;2344890336
graphComp;10000;40;cuadra;1092403;60001;3260627320
graphComp;10000;41;cuadra;397;60001;24552440
graphComp;10000;42;cuadra;98229;60001;1417817200
graphComp;10000;43;cuadra;6314;60010;67407672
graphComp;10000;44;cuadra;1687;60001;261571824
graphComp;10000;45;cuadra;912;60001;1387287432
graphComp;10000;46;cuadra;78;60001;48115824
graphComp;10000;47;cuadra;10082;60001;70292448
graphComp;10000;48;cuadra;240;60001;1493192608
graphComp;10000;49;cuadra;79;60001;7558112
graphComp;10000;50;cuadra;88306;60001;231225608
graphComp;10000;51;cuadra;1144;60001;30962040
graphComp;10000;52;cuadra;100;60001;7465040
graphComp;10000;53;cuadra;178;60040;15613864
graphComp;10000;54;cuadra;10273;60001;14869000
