Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;100000;0;cuadra;3053;60001;197134520
graphComp;100000;1;cuadra;37618;60001;7388465128
graphComp;100000;2;cuadra;242;60001;120726376
graphComp;100000;3;cuadra;31903;60001;317303848
graphComp;100000;4;cuadra;813;60001;178222864
graphComp;100000;5;cuadra;273;60001;143397296
graphComp;100000;6;cuadra;1047;60001;151689328
graphComp;100000;7;cuadra;1091;60001;130723280
graphComp;100000;8;cuadra;10975;60001;196136696
graphComp;100000;9;cuadra;66;60001;195673280
graphComp;100000;10;cuadra;22996;60001;209437944
graphComp;100000;11;cuadra;13298;60001;3163898160
graphComp;100000;12;cuadra;3716;60001;83119328
graphComp;100000;13;cuadra;1439;60001;575038696
graphComp;100000;14;cuadra;5440;60364;103020400
graphComp;100000;15;cuadra;56878;60001;1138847800
graphComp;100000;16;cuadra;356;60001;25782032
graphComp;100000;17;cuadra;1386;60001;185240296
graphComp;100000;18;cuadra;40040;60001;124866016
graphComp;100000;19;cuadra;1446;60001;207443792
graphComp;100000;20;cuadra;875;60001;340625632
graphComp;100000;21;cuadra;20342;60370;1284999184
graphComp;100000;22;cuadra;16582;60001;1337219344
graphComp;100000;23;cuadra;959;60001;183879960
graphComp;100000;24;cuadra;1192;60001;57836840
graphComp;100000;25;cuadra;129;60001;696495904
graphComp;100000;26;cuadra;574064;60001;6926634800
graphComp;100000;27;cuadra;776;60001;30938968
graphComp;100000;28;cuadra;105030;60001;533279000
graphComp;100000;29;cuadra;9503;60001;223150552
graphComp;100000;30;cuadra;0;60001;5545936
graphComp;100000;31;cuadra;1003;60001;101176472
graphComp;100000;32;cuadra;2017;60001;83755728
graphComp;100000;33;cuadra;1995;60001;96558880
graphComp;100000;34;cuadra;38821;60001;309421344
graphComp;100000;35;cuadra;258;60001;127446160
graphComp;100000;36;cuadra;167144;60001;1717435944
graphComp;100000;37;cuadra;2680;60001;312084288
graphComp;100000;38;cuadra;64788;60001;261741544
graphComp;100000;39;cuadra;174;60001;2512706512
graphComp;100000;40;cuadra;1098020;60001;3315376128
graphComp;100000;41;cuadra;418;60001;103681168
graphComp;100000;42;cuadra;2427;60001;2523306032
graphComp;100000;43;cuadra;6566;60001;192634912
graphComp;100000;44;cuadra;1723;60001;416362360
graphComp;100000;45;cuadra;936;60001;1550878664
graphComp;100000;46;cuadra;78;60001;53225072
graphComp;100000;47;cuadra;10254;60001;256496440
graphComp;100000;48;cuadra;523;60001;1712738976
graphComp;100000;49;cuadra;81;60001;61060400
graphComp;100000;50;cuadra;88335;60001;363564048
graphComp;100000;51;cuadra;1299;60001;198117832
graphComp;100000;52;cuadra;105;60001;43301616
graphComp;100000;53;cuadra;287;60016;122593152
graphComp;100000;54;cuadra;11789;60001;121028632
graphComp;100000;55;cuadra;2315;60001;48390928
graphComp;100000;56;cuadra;1824;60001;1232496
graphComp;100000;57;cuadra;1346;60001;57460208
graphComp;100000;58;cuadra;306;60001;54012304
graphComp;100000;59;cuadra;228;60001;88055160
graphComp;100000;60;cuadra;3423;60001;103532776
graphComp;100000;61;cuadra;419;60001;17538080
graphComp;100000;62;cuadra;224;60001;155043712
graphComp;100000;63;cuadra;3645;60001;76143752
graphComp;100000;64;cuadra;961;60001;47612256
graphComp;100000;65;cuadra;1862;60001;48113200
graphComp;100000;66;cuadra;1085;60001;100083440
graphComp;100000;67;cuadra;33778;60001;116680016
graphComp;100000;68;cuadra;13495;60001;75860216
graphComp;100000;69;cuadra;13821;60001;101177624
graphComp;100000;70;cuadra;177;60001;12731688
graphComp;100000;71;cuadra;1778;60001;75220976
graphComp;100000;72;cuadra;195527;60001;1451848872
graphComp;100000;73;cuadra;17233;60001;222942360
graphComp;100000;74;cuadra;1290;60001;73431048
graphComp;100000;75;cuadra;37146;60001;35246136
graphComp;100000;76;cuadra;13;60001;72352144
graphComp;100000;77;cuadra;0;60001;660390696
graphComp;100000;78;cuadra;1287;60001;118688792
graphComp;100000;79;cuadra;279;60001;87427128
graphComp;100000;80;cuadra;181;60001;66266320
graphComp;100000;81;cuadra;10;60001;72442360
graphComp;100000;82;cuadra;6392;60001;165160232
graphComp;100000;83;cuadra;157243;60001;714758080
graphComp;100000;84;cuadra;132274;60001;876922080
graphComp;100000;85;cuadra;24;60001;7696872
graphComp;100000;86;cuadra;561;60024;19190392
graphComp;100000;87;cuadra;5702;60929;1111704136
graphComp;100000;88;cuadra;2648;60001;618837056
graphComp;100000;89;cuadra;833;60001;21307168
graphComp;100000;90;cuadra;9303;60454;200687552
graphComp;100000;91;cuadra;195;60001;71471984
graphComp;100000;92;cuadra;2702;60001;43175344
graphComp;100000;93;cuadra;2209;60001;579575080
graphComp;100000;94;cuadra;1088;60001;78212816
graphComp;100000;95;cuadra;398;60001;89123248
graphComp;100000;96;cuadra;1083;60001;101429752
graphComp;100000;97;cuadra;1928;60001;218994560
graphComp;100000;98;cuadra;3451;60001;40784296
graphComp;100000;99;cuadra;265;60001;55198568
