Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;100000;0;cuadra;3053;60001;197134520
graphComp;100000;1;cuadra;39;60001;133648456
graphComp;100000;2;cuadra;242;60001;120726376
graphComp;100000;3;cuadra;33109;60001;323000536
graphComp;100000;4;cuadra;824;60001;178224040
graphComp;100000;5;cuadra;115;60001;19552704
graphComp;100000;6;cuadra;847;60001;101481056
graphComp;100000;7;cuadra;1148;60001;130730568
graphComp;100000;8;cuadra;10918;60001;195953168
graphComp;100000;9;cuadra;37;60001;194661880
graphComp;100000;10;cuadra;22996;60001;204911736
graphComp;100000;11;cuadra;9697;60001;173468736
graphComp;100000;12;cuadra;3716;60001;80148576
graphComp;100000;13;cuadra;1439;60001;575040248
graphComp;100000;14;cuadra;5440;60001;103020512
graphComp;100000;15;cuadra;18;60586;33985584
graphComp;100000;16;cuadra;356;60347;25782032
graphComp;100000;17;cuadra;1386;60001;185240504
graphComp;100000;18;cuadra;40040;60001;124866016
graphComp;100000;19;cuadra;1446;60001;207443792
graphComp;100000;20;cuadra;863;60001;105778136
graphComp;100000;21;cuadra;1270;60001;146760376
graphComp;100000;22;cuadra;2030;60001;102035112
graphComp;100000;23;cuadra;959;60679;183879720
graphComp;100000;24;cuadra;1305;60001;82497200
graphComp;100000;25;cuadra;125;60001;7475696
graphComp;100000;26;cuadra;1898;60001;282333608
graphComp;100000;27;cuadra;776;60001;38649448
graphComp;100000;28;cuadra;1194;60001;84158320
graphComp;100000;29;cuadra;9585;60001;223898704
graphComp;100000;30;cuadra;0;60001;5545936
graphComp;100000;31;cuadra;1003;60063;101176568
graphComp;100000;32;cuadra;2017;60001;83755728
graphComp;100000;33;cuadra;1862;60001;92616872
graphComp;100000;34;cuadra;67;60001;44670296
graphComp;100000;35;cuadra;258;60001;127446160
graphComp;100000;36;cuadra;1673;60001;124133256
graphComp;100000;37;cuadra;2237;60001;282538544
graphComp;100000;38;cuadra;64793;60001;261748296
graphComp;100000;39;cuadra;29317;60001;153440144
graphComp;100000;40;cuadra;287;60001;50260376
graphComp;100000;41;cuadra;418;60001;153773720
graphComp;100000;42;cuadra;70;60001;93422360
graphComp;100000;43;cuadra;6402;60001;189377816
graphComp;100000;44;cuadra;738;60001;168277544
graphComp;100000;45;cuadra;3884;60001;142763504
graphComp;100000;46;cuadra;78;60001;53225072
graphComp;100000;47;cuadra;10179;60001;227526904
graphComp;100000;48;cuadra;128;60001;10514520
graphComp;100000;49;cuadra;81;60001;61060400
graphComp;100000;50;cuadra;88190;60189;354828040
graphComp;100000;51;cuadra;1299;60575;198113376
graphComp;100000;52;cuadra;105;60001;43301616
graphComp;100000;53;cuadra;178;60001;79676472
graphComp;100000;54;cuadra;7374;60001;120429224
