Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000000;0;cuadra;2283;60001;300661296
graphComp;1000000;1;cuadra;39;60001;189267264
graphComp;1000000;2;cuadra;186;60001;323465568
graphComp;1000000;3;cuadra;30920;60001;312027720
graphComp;1000000;4;cuadra;534;60001;1033234504
graphComp;1000000;5;cuadra;115;60001;19552704
graphComp;1000000;6;cuadra;807;60001;593515680
graphComp;1000000;7;cuadra;683;60001;1242128184
graphComp;1000000;8;cuadra;9954;60001;654485096
graphComp;1000000;9;cuadra;41;60001;622904936
graphComp;1000000;10;cuadra;23004;60001;499063736
graphComp;1000000;11;cuadra;9748;60001;173597240
graphComp;1000000;12;cuadra;3067;60001;537840800
graphComp;1000000;13;cuadra;1444;60001;1556181112
graphComp;1000000;14;cuadra;5440;60001;180683088
graphComp;1000000;15;cuadra;1462;60001;4148527288
graphComp;1000000;16;cuadra;356;60118;528722720
graphComp;1000000;17;cuadra;1403;60001;342737920
graphComp;1000000;18;cuadra;40040;60001;124866496
graphComp;1000000;19;cuadra;1362;60001;988806160
graphComp;1000000;20;cuadra;553;60001;881818696
graphComp;1000000;21;cuadra;636;60001;604575608
graphComp;1000000;22;cuadra;21906;60001;1613432112
graphComp;1000000;23;cuadra;965;60001;1106887848
graphComp;1000000;24;cuadra;719;60001;159066120
graphComp;1000000;25;cuadra;125;60001;7475696
graphComp;1000000;26;cuadra;1160;60001;650311360
graphComp;1000000;27;cuadra;788;60001;600203368
graphComp;1000000;28;cuadra;65464;60001;1003094960
graphComp;1000000;29;cuadra;9602;60001;224023432
graphComp;1000000;30;cuadra;4;60001;344268552
graphComp;1000000;31;cuadra;943;60001;695449160
graphComp;1000000;32;cuadra;2017;60001;83755728
graphComp;1000000;33;cuadra;1995;60001;96558880
graphComp;1000000;34;cuadra;84797;60001;1823825112
graphComp;1000000;35;cuadra;267;60001;1053686280
graphComp;1000000;36;cuadra;1673;60001;857003512
graphComp;1000000;37;cuadra;1699;60001;886725720
graphComp;1000000;38;cuadra;65151;60001;882704384
graphComp;1000000;39;cuadra;29397;60193;292375808
