Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;0;double;3116;60001;8729914376
graphComp;1;double;4391;60002;8420393824
graphComp;2;double;143;60343;7278466072
graphComp;3;double;15616;60001;8509243888
graphComp;4;double;0;60001;9390815880
graphComp;5;double;0;60001;7432617920
graphComp;6;double;90;60001;9263316632
graphComp;7;double;60;60001;9660227408
graphComp;8;double;93;60001;8885779256
graphComp;9;double;0;60001;8489368800
graphComp;10;double;1578;60001;8424887920
graphComp;11;double;89;60001;8847915648
graphComp;12;double;0;60001;3417537680
graphComp;13;double;38;60015;9553516056
graphComp;14;double;206;60110;8491987896
graphComp;15;double;0;60001;10007195104
graphComp;16;double;0;60001;9729806936
graphComp;17;double;156;60607;8515824512
graphComp;18;double;481;60025;7408634440
graphComp;19;double;0;60001;9164288088
graphComp;20;double;0;60829;8616967160
graphComp;21;double;5342;60001;6645215000
graphComp;22;double;29491;60789;4652944488
graphComp;23;double;0;61960;8649131712
graphComp;24;double;151;60638;8649111672
graphComp;25;double;1887;60001;2631363264
graphComp;26;double;0;60001;9468457968
graphComp;27;double;47;60119;8574743336
graphComp;28;double;25;60472;8659085232
graphComp;29;double;41;62567;8680951680
graphComp;30;double;213;60001;9343233936
graphComp;31;double;0;60001;7103829680
graphComp;32;double;30;60001;4804031272
graphComp;33;double;9617;60001;9747482488
graphComp;34;double;71;61052;8690478576
graphComp;35;double;159;60852;8415015704
graphComp;36;double;830;60001;7342906360
graphComp;37;double;78;60711;8686227552
graphComp;38;double;745;60009;6779733080
graphComp;39;double;28041;60001;8500380176
graphComp;40;double;3;61328;8691280304
graphComp;41;double;56;60732;8690455408
graphComp;42;double;60;60556;8690638040
graphComp;43;double;5623;60001;10226076680
graphComp;44;double;405;60001;9283846840
graphComp;45;double;233;60001;8488963256
graphComp;46;double;1417;60001;5997266448
graphComp;47;double;63;60246;8670122504
graphComp;48;double;30;60785;8521763080
graphComp;49;double;169;60001;8988702296
graphComp;50;double;380;60001;9757387336
graphComp;51;double;1184;60001;7907013760
graphComp;52;double;0;60288;8144319928
graphComp;53;double;0;60001;8870898048
graphComp;54;double;3702;60007;11212385176
