Estructura;ID;Grupos;Aristas;Tiempo;Memoria
OptgraphComp;0;double;3177;60001;7538571504
OptgraphComp;1;double;5707;60001;7274208792
OptgraphComp;2;double;143;61458;6842703888
OptgraphComp;3;double;15616;60001;7351749920
OptgraphComp;4;double;0;60001;8276818024
OptgraphComp;5;double;0;60001;6374430728
OptgraphComp;6;double;90;61557;7897412872
OptgraphComp;7;double;54;62525;7987663176
OptgraphComp;8;double;93;60001;7743024216
OptgraphComp;9;double;0;61229;8148500560
OptgraphComp;10;double;1578;60001;7276033160
OptgraphComp;11;double;91;60001;8255075208
OptgraphComp;12;double;0;60001;3004498848
OptgraphComp;13;double;38;60001;8319799880
OptgraphComp;14;double;247;60012;7718299568
OptgraphComp;15;double;0;62567;8485788432
OptgraphComp;16;double;0;60001;7766452440
OptgraphComp;17;double;156;60001;7356543352
OptgraphComp;18;double;433;60021;6304755680
OptgraphComp;19;double;0;60001;8217331112
OptgraphComp;20;double;0;60001;8207824632
OptgraphComp;21;double;5680;60001;5956194944
OptgraphComp;22;double;29491;60001;4660699608
OptgraphComp;23;double;0;60001;8538996576
OptgraphComp;24;double;151;60001;8182582000
OptgraphComp;25;double;1887;60841;2405693432
OptgraphComp;26;double;0;60001;8158313424
OptgraphComp;27;double;47;60001;7608075224
OptgraphComp;28;double;25;60001;8463135824
OptgraphComp;29;double;88;60001;7770824104
OptgraphComp;30;double;213;60001;8181038016
OptgraphComp;31;double;0;60365;6116185304
OptgraphComp;32;double;30;60001;3946804248
OptgraphComp;33;double;8862;60001;8410230472
OptgraphComp;34;double;71;60001;7768113376
OptgraphComp;35;double;159;60001;7267362792
OptgraphComp;36;double;830;60001;6370302104
OptgraphComp;37;double;78;60001;7267283448
OptgraphComp;38;double;740;61405;5840751776
OptgraphComp;39;double;28041;60001;7339657840
OptgraphComp;40;double;3;60001;8132385704
OptgraphComp;41;double;58;60001;8016119784
OptgraphComp;42;double;60;60001;7727082264
OptgraphComp;43;double;5623;60001;8576882456
OptgraphComp;44;double;405;60001;7852423792
OptgraphComp;45;double;232;60024;7248888640
OptgraphComp;46;double;1417;60001;5164620328
OptgraphComp;47;double;69;60001;8109530464
