Estructura;ID;Grupos;Aristas;Tiempo;Memoria
optGraphComp;0;double;3177;60001;7538571504
optGraphComp;1;double;5707;60001;7274208792
optGraphComp;2;double;143;61458;6842703888
optGraphComp;3;double;15616;60001;7351749920
optGraphComp;4;double;0;60001;8276818024
optGraphComp;5;double;0;60001;6374430728
optGraphComp;6;double;90;61557;7897412872
optGraphComp;7;double;54;62525;7987663176
optGraphComp;8;double;93;60001;7743024216
optGraphComp;9;double;0;61229;8148500560
optGraphComp;10;double;1578;60001;7276033160
optGraphComp;11;double;91;60001;8255075208
optGraphComp;12;double;0;60001;3004498848
optGraphComp;13;double;38;60001;8319799880
optGraphComp;14;double;247;60012;7718299568
optGraphComp;15;double;0;62567;8485788432
optGraphComp;16;double;0;60001;7766452440
optGraphComp;17;double;156;60001;7356543352
optGraphComp;18;double;433;60021;6304755680
optGraphComp;19;double;0;60001;8217331112
optGraphComp;20;double;0;60001;8207824632
optGraphComp;21;double;5680;60001;5956194944
optGraphComp;22;double;29491;60001;4660699608
optGraphComp;23;double;0;60001;8538996576
optGraphComp;24;double;151;60001;8182582000
optGraphComp;25;double;1887;60841;2405693432
optGraphComp;26;double;0;60001;8158313424
optGraphComp;27;double;47;60001;7608075224
optGraphComp;28;double;25;60001;8463135824
optGraphComp;29;double;88;60001;7770824104
optGraphComp;30;double;213;60001;8181038016
optGraphComp;31;double;0;60365;6116185304
optGraphComp;32;double;30;60001;3946804248
optGraphComp;33;double;8862;60001;8410230472
optGraphComp;34;double;71;60001;7768113376
optGraphComp;35;double;159;60001;7267362792
optGraphComp;36;double;830;60001;6370302104
optGraphComp;37;double;78;60001;7267283448
optGraphComp;38;double;740;61405;5840751776
optGraphComp;39;double;28041;60001;7339657840
optGraphComp;40;double;3;60001;8132385704
optGraphComp;41;double;58;60001;8016119784
optGraphComp;42;double;60;60001;7727082264
optGraphComp;43;double;5623;60001;8576882456
optGraphComp;44;double;405;60001;7852423792
optGraphComp;45;double;232;60024;7248888640
optGraphComp;46;double;1417;60001;5164620328
optGraphComp;47;double;69;60001;8109530464
optGraphComp;48;double;30;60005;7079572976
optGraphComp;49;double;167;60001;7729335328
