Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;cuadra;2;61047;6337178232
graphComp;-1;1;cuadra;9483;60004;5714141968
graphComp;-1;2;cuadra;68;60001;7629066800
graphComp;-1;3;cuadra;1099;60365;4645491984
graphComp;-1;4;cuadra;58;60001;5806907480
graphComp;-1;5;cuadra;27;60001;6737829760
graphComp;-1;6;cuadra;83;60001;6274327608
graphComp;-1;7;cuadra;65;60001;5694137688
graphComp;-1;8;cuadra;9975;60001;6648507608
graphComp;-1;9;cuadra;22;60001;5414242488
graphComp;-1;10;cuadra;19269;60001;5817311472
graphComp;-1;11;cuadra;12554;60001;8882472192
graphComp;-1;12;cuadra;2089;60001;7120736360
graphComp;-1;13;cuadra;169;60001;7263392768
graphComp;-1;14;cuadra;184;60001;5790776192
graphComp;-1;15;cuadra;6833;60001;6201242368
graphComp;-1;16;cuadra;77;60001;5907124288
graphComp;-1;17;cuadra;105;60001;6581909736
graphComp;-1;18;cuadra;28209;60339;2560214072
graphComp;-1;19;cuadra;201;61144;5816451160
graphComp;-1;20;cuadra;80;60441;5655896424
graphComp;-1;21;cuadra;2241;60020;943535360
graphComp;-1;22;cuadra;72;60001;5831510840
graphComp;-1;23;cuadra;101;60024;6173736720
graphComp;-1;24;cuadra;174;60001;6160268320
graphComp;-1;25;cuadra;1211;60001;6218927312
graphComp;-1;26;cuadra;352477;60002;4870572408
graphComp;-1;27;cuadra;121;60498;5796066912
graphComp;-1;28;cuadra;19233;60001;260810976
graphComp;-1;29;cuadra;4608;60001;5317926736
graphComp;-1;30;cuadra;4;60001;5167571544
graphComp;-1;31;cuadra;112;60001;6154767504
graphComp;-1;32;cuadra;1077;60001;4932401576
graphComp;-1;33;cuadra;1860;60019;2108448792
graphComp;-1;34;cuadra;7689;60010;4120319904
graphComp;-1;35;cuadra;116;60001;6397601472
graphComp;-1;36;cuadra;1703;60001;1727768456
graphComp;-1;37;cuadra;139;60001;6358929736
graphComp;-1;38;cuadra;9863;61855;4908055912
graphComp;-1;39;cuadra;137;60365;2202417280
graphComp;-1;40;cuadra;55646;60001;2241639280
graphComp;-1;41;cuadra;14;60001;5132812912
graphComp;-1;42;cuadra;727;60001;8818981400
graphComp;-1;43;cuadra;66;60001;6251126472
graphComp;-1;44;cuadra;118;61260;5915816896
graphComp;-1;45;cuadra;252;60001;1331349952
graphComp;-1;46;cuadra;1673;60004;2165042216
graphComp;-1;47;cuadra;9545;60001;6252630944
graphComp;-1;48;cuadra;197;60001;6578202864
graphComp;-1;49;cuadra;16;60001;6114827688
graphComp;-1;50;cuadra;15811;60001;6400645064
graphComp;-1;51;cuadra;93;60001;6498837368
graphComp;-1;52;cuadra;35;60001;6334155848
graphComp;-1;53;cuadra;82;60001;6174768032
graphComp;-1;54;cuadra;187;62084;5907153888
graphComp;-1;55;cuadra;518;60285;5588061560
graphComp;-1;56;cuadra;1071;60680;5852062952
graphComp;-1;57;cuadra;107;60934;5921609976
graphComp;-1;58;cuadra;38;60001;6472961208
graphComp;-1;59;cuadra;24;60001;6839206640
graphComp;-1;60;cuadra;322;60055;5927158880
graphComp;-1;61;cuadra;66;60036;5511398312
graphComp;-1;62;cuadra;43;60001;6591636280
graphComp;-1;63;cuadra;3256;60001;7844604856
graphComp;-1;64;cuadra;113;60001;6331377712
graphComp;-1;65;cuadra;278;60102;5215694144
graphComp;-1;66;cuadra;95;60001;6431270352
graphComp;-1;67;cuadra;28074;60001;990013792
graphComp;-1;68;cuadra;107;60001;6271396920
graphComp;-1;69;cuadra;145;60597;5928297336
graphComp;-1;70;cuadra;220;60370;5701849856
graphComp;-1;71;cuadra;29;61164;5892214048
graphComp;-1;72;cuadra;40036;60001;1119523128
graphComp;-1;73;cuadra;650;60002;5212095024
graphComp;-1;74;cuadra;1065;60001;5397874160
graphComp;-1;75;cuadra;29234;60001;32834552
graphComp;-1;76;cuadra;18;60624;5771459096
graphComp;-1;77;cuadra;0;60001;4438666672
graphComp;-1;78;cuadra;121;60001;6127562712
graphComp;-1;79;cuadra;63;60001;6418699408
graphComp;-1;80;cuadra;60;60011;6291812216
graphComp;-1;81;cuadra;2;60001;6928707584
graphComp;-1;82;cuadra;776;60008;4884470224
graphComp;-1;83;cuadra;10977;60001;6619164720
graphComp;-1;84;cuadra;1362;60001;6000255368
graphComp;-1;85;cuadra;163;60677;5701274224
graphComp;-1;86;cuadra;86;60001;6717384504
graphComp;-1;87;cuadra;4;60001;6114550256
graphComp;-1;88;cuadra;84;60001;5116883816
graphComp;-1;89;cuadra;74;60851;5929672840
graphComp;-1;90;cuadra;66;61268;5928606608
graphComp;-1;91;cuadra;76;60001;4900429712
graphComp;-1;92;cuadra;391;61970;5927052096
graphComp;-1;93;cuadra;2789;60012;675898896
graphComp;-1;94;cuadra;124;61038;5929040624
graphComp;-1;95;cuadra;17;60001;4062361712
graphComp;-1;96;cuadra;111;60584;5927559352
graphComp;-1;97;cuadra;338;60001;5704265112
graphComp;-1;98;cuadra;201;62120;5925672816
graphComp;-1;99;cuadra;62;62144;5914607072
