Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;double;7;60001;8863820208
graphComp;-1;1;double;7246;60001;5710861584
graphComp;-1;2;double;36;60001;5033504424
graphComp;-1;3;double;12203;60001;5757762648
graphComp;-1;4;double;0;60001;6060525680
graphComp;-1;5;double;0;60001;5176962472
graphComp;-1;6;double;58;60001;6184215888
graphComp;-1;7;double;50;60001;6356970280
graphComp;-1;8;double;63;60001;5900164560
graphComp;-1;9;double;0;60001;5791242256
graphComp;-1;10;double;1578;60001;5708105896
graphComp;-1;11;double;85;60001;5863313848
graphComp;-1;12;double;0;60001;3813966456
graphComp;-1;13;double;9;60001;6519447664
graphComp;-1;14;double;211;60010;6052915368
graphComp;-1;15;double;0;60001;6898669288
graphComp;-1;16;double;0;60408;5808890216
graphComp;-1;17;double;106;60586;5765037024
graphComp;-1;18;double;484;60001;5037264000
graphComp;-1;19;double;0;60001;6062926344
graphComp;-1;20;double;0;60045;5865022008
graphComp;-1;21;double;161;60001;4193556288
graphComp;-1;22;double;8532;60001;4872120392
graphComp;-1;23;double;0;60075;5896826144
graphComp;-1;24;double;114;60326;5897267696
graphComp;-1;25;double;1368;60001;1299994928
graphComp;-1;26;double;0;60001;6780681048
graphComp;-1;27;double;5;61272;5817483288
graphComp;-1;28;double;13;60001;6399334984
graphComp;-1;29;double;35;60001;5948746728
graphComp;-1;30;double;48;60001;6535519104
graphComp;-1;31;double;0;60206;4908985096
graphComp;-1;32;double;3;60024;2899313240
graphComp;-1;33;double;10280;60001;6621566048
graphComp;-1;34;double;68;61026;5929583040
graphComp;-1;35;double;110;60585;5702199416
graphComp;-1;36;double;21;62726;5730726808
graphComp;-1;37;double;62;60714;5925543448
graphComp;-1;38;double;818;60019;4647356248
graphComp;-1;39;double;25262;60001;5754879704
graphComp;-1;40;double;3;60058;5930325384
graphComp;-1;41;double;56;60946;5929606536
graphComp;-1;42;double;54;60001;6447383432
graphComp;-1;43;double;4984;60001;7181104736
graphComp;-1;44;double;109;60704;5872461896
graphComp;-1;45;double;249;61490;5927485560
graphComp;-1;46;double;13423;60011;4165428624
graphComp;-1;47;double;65;60616;5909355496
graphComp;-1;48;double;3;60852;5763716600
graphComp;-1;49;double;134;60018;6006438880
graphComp;-1;50;double;244;60001;6622932968
graphComp;-1;51;double;36;62450;5741842584
graphComp;-1;52;double;0;62655;5662104264
graphComp;-1;53;double;0;60703;5930338312
graphComp;-1;54;double;2678;60001;7720278080
graphComp;-1;55;double;62;60244;5928305656
graphComp;-1;56;double;0;61439;5929275672
graphComp;-1;57;double;66;61196;4843434152
graphComp;-1;58;double;0;60001;6339558416
graphComp;-1;59;double;0;61837;5801328960
graphComp;-1;60;double;630;60001;6471177032
graphComp;-1;61;double;7;60001;6436897272
graphComp;-1;62;double;4;61980;5930320928
graphComp;-1;63;double;88;60001;6105568872
graphComp;-1;64;double;0;60330;2899300800
graphComp;-1;65;double;22329;60001;73119528
graphComp;-1;66;double;16;60001;6168111304
graphComp;-1;67;double;0;60001;6019725152
graphComp;-1;68;double;52;60001;6442691640
graphComp;-1;69;double;10387;60001;5942073784
graphComp;-1;70;double;71;60001;6431129016
graphComp;-1;71;double;25;60336;5777418768
graphComp;-1;72;double;4;60001;8111122144
graphComp;-1;73;double;627;60001;5203552504
graphComp;-1;74;double;0;61429;5929409792
graphComp;-1;75;double;0;60001;3686703632
graphComp;-1;76;double;5;60001;6055985000
graphComp;-1;77;double;0;60001;4806904384
graphComp;-1;78;double;0;61606;5924068272
graphComp;-1;79;double;0;60001;6335089040
graphComp;-1;80;double;0;60001;3990076536
graphComp;-1;81;double;0;60001;6976879272
graphComp;-1;82;double;706;60006;4819457192
graphComp;-1;83;double;2;60001;6608022024
graphComp;-1;84;double;1146;60570;6003249648
graphComp;-1;85;double;7;60001;6596571192
graphComp;-1;86;double;0;60001;6044137456
graphComp;-1;87;double;4;60352;5847175488
graphComp;-1;88;double;3;62379;5664846944
graphComp;-1;89;double;0;60001;6090818616
graphComp;-1;90;double;7;62190;5831330536
graphComp;-1;91;double;82;60001;6103828216
graphComp;-1;92;double;22;60252;5930310312
graphComp;-1;93;double;2069;60023;413319280
graphComp;-1;94;double;0;60001;5959174952
graphComp;-1;95;double;49;62270;5925032856
graphComp;-1;96;double;0;60001;6303743232
graphComp;-1;97;double;0;60698;5930253864
graphComp;-1;98;double;60;61722;5929842392
graphComp;-1;99;double;0;61838;5784477544
