Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000000;0;penta;62;60001;378299424
graphComp;1000000;1;penta;0;61688;6503743816
graphComp;1000000;2;penta;103094;60001;354948488
graphComp;1000000;3;penta;13083;60001;168469720
graphComp;1000000;4;penta;88;60726;667485824
graphComp;1000000;5;penta;102;60001;17899232
graphComp;1000000;6;penta;67;60001;72218616
graphComp;1000000;7;penta;337;60001;810184880
graphComp;1000000;8;penta;9798;60001;469311672
graphComp;1000000;9;penta;17;60001;479617712
graphComp;1000000;10;penta;21621;60001;424569392
graphComp;1000000;11;penta;6247;60001;3135697136
graphComp;1000000;12;penta;150227;60001;2037794720
graphComp;1000000;13;penta;9;60001;4224749312
graphComp;1000000;14;penta;1050;60036;291841864
graphComp;1000000;15;penta;138;60001;2348132008
graphComp;1000000;16;penta;104;60001;534219584
graphComp;1000000;17;penta;596;60001;257339184
graphComp;1000000;18;penta;14498;60001;134870176
graphComp;1000000;19;penta;9970;60001;721277560
graphComp;1000000;20;penta;486;60001;761333264
graphComp;1000000;21;penta;40217;60770;1103076464
graphComp;1000000;22;penta;9250;60001;1315043208
graphComp;1000000;23;penta;370;60001;904374272
graphComp;1000000;24;penta;126;60253;154329368
graphComp;1000000;25;penta;548;60001;725693920
graphComp;1000000;26;penta;415730;60148;5052662984
graphComp;1000000;27;penta;537;60001;469212128
graphComp;1000000;28;penta;20559;60001;644221696
graphComp;1000000;29;penta;1057;60001;41332952
graphComp;1000000;30;penta;78;60001;283912376
graphComp;1000000;31;penta;686;60029;679603912
graphComp;1000000;32;penta;1189;60001;134871928
graphComp;1000000;33;penta;64321;60001;441023408
graphComp;1000000;34;penta;2331;60001;67037000
graphComp;1000000;35;penta;265;60001;943494648
graphComp;1000000;36;penta;36094;60001;691557832
graphComp;1000000;37;penta;1021;60001;181780544
graphComp;1000000;38;penta;21909;60001;280276056
graphComp;1000000;39;penta;150;60001;2427864216
graphComp;1000000;40;penta;47999;60001;2235754000
graphComp;1000000;41;penta;705;60001;73720976
graphComp;1000000;42;penta;139;60001;1270757712
graphComp;1000000;43;penta;12064;60001;384183432
graphComp;1000000;44;penta;900;60001;246251720
graphComp;1000000;45;penta;10519;60001;1685798648
graphComp;1000000;46;penta;639;60001;1264090864
graphComp;1000000;47;penta;10066;60001;820146416
graphComp;1000000;48;penta;165;60001;1067065792
graphComp;1000000;49;penta;110;60001;748880096
graphComp;1000000;50;penta;73432;60001;389310016
graphComp;1000000;51;penta;943;60590;958328384
graphComp;1000000;52;penta;308;60001;63021792
graphComp;1000000;53;penta;106;60001;103201096
graphComp;1000000;54;penta;1590;60642;495507104
graphComp;1000000;55;penta;308;60001;868722240
graphComp;1000000;56;penta;1490;60001;803328368
graphComp;1000000;57;penta;1083;60001;174680016
graphComp;1000000;58;penta;147;60001;54955280
graphComp;1000000;59;penta;179;60001;67136568
graphComp;1000000;60;penta;1667;60001;532930432
graphComp;1000000;61;penta;390;60001;417904960
graphComp;1000000;62;penta;3661;60001;307287232
graphComp;1000000;63;penta;4553;60001;440570048
graphComp;1000000;64;penta;540;60001;132240688
graphComp;1000000;65;penta;31591;60001;133905280
graphComp;1000000;66;penta;521;60052;77484480
graphComp;1000000;67;penta;19012;60001;87495616
graphComp;1000000;68;penta;510;60359;72308264
graphComp;1000000;69;penta;122;60001;50558800
graphComp;1000000;70;penta;120;60012;42283328
graphComp;1000000;71;penta;124;60001;482496880
graphComp;1000000;72;penta;35445;60124;380278464
graphComp;1000000;73;penta;10881;60001;744901672
graphComp;1000000;74;penta;1073;60001;220842856
graphComp;1000000;75;penta;11648;60001;135990408
graphComp;1000000;76;penta;23;60001;524991192
graphComp;1000000;77;penta;0;60001;154457928
graphComp;1000000;78;penta;722;60001;121262528
graphComp;1000000;79;penta;500;60001;57774536
graphComp;1000000;80;penta;253;60001;237086992
graphComp;1000000;81;penta;598;60001;102907360
graphComp;1000000;82;penta;2888;60001;553421048
graphComp;1000000;83;penta;106426;60001;644330288
graphComp;1000000;84;penta;1799;60001;910198688
graphComp;1000000;85;penta;21730;60001;1135224776
graphComp;1000000;86;penta;359;60001;609650576
graphComp;1000000;87;penta;87;60077;1301632328
graphComp;1000000;88;penta;52;60001;151795344
graphComp;1000000;89;penta;660;60001;204316112
graphComp;1000000;90;penta;605;60001;494256696
graphComp;1000000;91;penta;82;60001;1256061392
graphComp;1000000;92;penta;2808;60001;491314784
graphComp;1000000;93;penta;2041;60001;1187400032
graphComp;1000000;94;penta;605;60001;200614024
graphComp;1000000;95;penta;320;60001;483639832
graphComp;1000000;96;penta;3028;60001;6824271088
graphComp;1000000;97;penta;1086;60001;173775584
graphComp;1000000;98;penta;1764;60001;444914472
graphComp;1000000;99;penta;42322;60001;427651600
