Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;1000000;0;triple;10;60001;928256752
graphComp;1000000;1;triple;3981;60001;5702866144
graphComp;1000000;2;triple;59;60001;187817944
graphComp;1000000;3;triple;12786;60001;151877376
graphComp;1000000;4;triple;3;60001;848296016
graphComp;1000000;5;triple;0;60001;724761440
graphComp;1000000;6;triple;120;60049;125476848
graphComp;1000000;7;triple;193;60001;490376184
graphComp;1000000;8;triple;482;60144;516989784
graphComp;1000000;9;triple;7;60001;295660032
graphComp;1000000;10;triple;3823;60001;384187760
graphComp;1000000;11;triple;4012;60001;238988536
graphComp;1000000;12;triple;3;60001;434344056
graphComp;1000000;13;triple;12;60001;1972522152
graphComp;1000000;14;triple;955;60001;93287896
graphComp;1000000;15;triple;11;60001;418640240
graphComp;1000000;16;triple;198;60001;424305904
graphComp;1000000;17;triple;140;60001;277636888
graphComp;1000000;18;triple;5640;60001;87359080
graphComp;1000000;19;triple;515;60001;339978800
graphComp;1000000;20;triple;379;60001;250025080
graphComp;1000000;21;triple;7568;60077;998833576
graphComp;1000000;22;triple;8541;60001;1403452656
graphComp;1000000;23;triple;264;60063;676740376
graphComp;1000000;24;triple;424;60001;759315040
graphComp;1000000;25;triple;1566;60001;1020824208
graphComp;1000000;26;triple;5418;60001;5149739152
graphComp;1000000;27;triple;407;60001;455237952
graphComp;1000000;28;triple;293;60001;1257061680
graphComp;1000000;29;triple;10569;60001;124271488
graphComp;1000000;30;triple;0;60001;4328712
graphComp;1000000;31;triple;46;60001;284871512
graphComp;1000000;32;triple;2;60001;13841808
graphComp;1000000;33;triple;28673;60001;624267200
graphComp;1000000;34;triple;8129;60001;1076245632
graphComp;1000000;35;triple;152;60001;872539096
graphComp;1000000;36;triple;94867;60001;1165601576
graphComp;1000000;37;triple;378;60001;266075136
graphComp;1000000;38;triple;56786;60001;637967256
graphComp;1000000;39;triple;22128;60001;119563064
graphComp;1000000;40;triple;138;60001;39121752
graphComp;1000000;41;triple;181;60001;178570992
graphComp;1000000;42;triple;60;60001;219367832
graphComp;1000000;43;triple;5033;60001;240032816
graphComp;1000000;44;triple;153;60001;467544840
graphComp;1000000;45;triple;595;60001;1232835584
graphComp;1000000;46;triple;633;60001;1218208568
graphComp;1000000;47;triple;304;60001;100716784
graphComp;1000000;48;triple;95;60001;2027213144
graphComp;1000000;49;triple;430;60001;275094208
graphComp;1000000;50;triple;127;60001;431507896
graphComp;1000000;51;triple;38;60001;874088248
graphComp;1000000;52;triple;0;60001;485899824
graphComp;1000000;53;triple;13;60018;53598376
graphComp;1000000;54;triple;1381;60001;367393672
graphComp;1000000;55;triple;1234;60001;70956552
graphComp;1000000;56;triple;0;60001;1122178096
graphComp;1000000;57;triple;122;60001;163442928
graphComp;1000000;58;triple;0;60001;24814096
graphComp;1000000;59;triple;102;60001;64148048
graphComp;1000000;60;triple;1570;60001;388695520
graphComp;1000000;61;triple;279;60001;720483296
graphComp;1000000;62;triple;12;60001;868327640
graphComp;1000000;63;triple;90;60001;585425304
graphComp;1000000;64;triple;199;60001;4528352
graphComp;1000000;65;triple;14879;60001;74078152
graphComp;1000000;66;triple;11;60001;502282464
graphComp;1000000;67;triple;171;60001;596880232
graphComp;1000000;68;triple;61;60001;309669048
graphComp;1000000;69;triple;11606;60001;272985520
graphComp;1000000;70;triple;104;60001;22697328
graphComp;1000000;71;triple;104;60001;95682312
graphComp;1000000;72;triple;4;60001;285843320
graphComp;1000000;73;triple;9927;60001;547218488
graphComp;1000000;74;triple;0;60001;512958032
graphComp;1000000;75;triple;3;60001;15439544
graphComp;1000000;76;triple;9;60001;452373096
graphComp;1000000;77;triple;0;60001;2024467384
graphComp;1000000;78;triple;557;60001;92270992
graphComp;1000000;79;triple;0;60001;152405944
graphComp;1000000;80;triple;0;60001;195850840
graphComp;1000000;81;triple;0;60007;102835912
graphComp;1000000;82;triple;2539;60001;492200944
graphComp;1000000;83;triple;34;60001;848741152
graphComp;1000000;84;triple;1146;60001;1358735000
graphComp;1000000;85;triple;18;60248;27534048
graphComp;1000000;86;triple;3;60001;575332368
graphComp;1000000;87;triple;35;60635;1353670064
graphComp;1000000;88;triple;36;60001;2825180448
graphComp;1000000;89;triple;135;60001;100294704
graphComp;1000000;90;triple;220;60001;540071456
graphComp;1000000;91;triple;94;60001;1047071704
graphComp;1000000;92;triple;2520;60001;455721136
graphComp;1000000;93;triple;1202;60008;1278287360
graphComp;1000000;94;triple;260;60001;53067576
graphComp;1000000;95;triple;258;60001;126432648
graphComp;1000000;96;triple;284;60001;257198576
graphComp;1000000;97;triple;686;60001;145970344
graphComp;1000000;98;triple;1515;60001;26887928
graphComp;1000000;99;triple;6;60001;521534160
