Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;100000;0;double;7;60001;229777432
graphComp;100000;1;double;94;60001;5830017680
graphComp;100000;2;double;36;60001;241512352
graphComp;100000;3;double;12682;60001;133048792
graphComp;100000;4;double;0;60001;21866120
graphComp;100000;5;double;0;60001;1282886440
graphComp;100000;6;double;120;60001;11985112
graphComp;100000;7;double;114;60001;79770608
graphComp;100000;8;double;336;60001;85368904
graphComp;100000;9;double;0;60001;283069176
graphComp;100000;10;double;3774;60001;221861512
graphComp;100000;11;double;935;60001;13649552
graphComp;100000;12;double;0;42743;480011368
graphComp;100000;13;double;9;60001;891742064
graphComp;100000;14;double;799;60001;27161352
graphComp;100000;15;double;5;60001;54049656
graphComp;100000;16;double;0;60001;16577864
graphComp;100000;17;double;128;60001;124738800
graphComp;100000;18;double;5652;60001;87701792
graphComp;100000;19;double;0;60001;16426448
graphComp;100000;20;double;0;60001;71088968
graphComp;100000;21;double;163;60001;4264136696
graphComp;100000;22;double;3869;60001;1021960144
graphComp;100000;23;double;0;60001;43673256
graphComp;100000;24;double;422;60001;32832112
graphComp;100000;25;double;1365;60001;1288328840
graphComp;100000;26;double;0;60001;32867424
graphComp;100000;27;double;0;60001;17749480
graphComp;100000;28;double;13;60001;699592784
graphComp;100000;29;double;67;60001;135275792
graphComp;100000;30;double;48;60001;457103528
graphComp;100000;31;double;0;60001;30061864
graphComp;100000;32;double;3;60001;31151880
graphComp;100000;33;double;37775;60001;128498152
graphComp;100000;34;double;373;60001;46161144
graphComp;100000;35;double;152;60001;54157064
graphComp;100000;36;double;21;60001;84738880
graphComp;100000;37;double;378;60001;31757824
graphComp;100000;38;double;10960;60001;120121080
graphComp;100000;39;double;25016;60001;85027184
graphComp;100000;40;double;7;60001;10006288
graphComp;100000;41;double;178;60001;15646608
graphComp;100000;42;double;198;60001;39265816
graphComp;100000;43;double;4984;60001;1074205688
graphComp;100000;44;double;109;60001;208600264
graphComp;100000;45;double;3262;60001;39882352
graphComp;100000;46;double;15868;60001;348506856
graphComp;100000;47;double;225;60001;190911656
graphComp;100000;48;double;0;60001;160597816
graphComp;100000;49;double;630;60001;29280128
graphComp;100000;50;double;240;60001;123712632
graphComp;100000;51;double;33;60001;196367088
graphComp;100000;52;double;0;60001;48066304
graphComp;100000;53;double;0;60001;81560216
graphComp;100000;54;double;2672;60001;236285904
graphComp;100000;55;double;198;60001;49237824
graphComp;100000;56;double;0;60001;21558096
graphComp;100000;57;double;61;60001;233216944
graphComp;100000;58;double;0;60001;1008324312
graphComp;100000;59;double;0;60001;618683872
graphComp;100000;60;double;1113;60131;34939184
graphComp;100000;61;double;7;60001;2329584
graphComp;100000;62;double;12;60001;4386512
graphComp;100000;63;double;310;60001;47208456
graphComp;100000;64;double;0;60001;15021648
graphComp;100000;65;double;22469;60001;73469016
graphComp;100000;66;double;11;60001;214850704
graphComp;100000;67;double;0;60001;82247816
graphComp;100000;68;double;61;60001;3870960
graphComp;100000;69;double;18542;60001;62784512
graphComp;100000;70;double;229;60001;29920456
graphComp;100000;71;double;25;60001;6061000
graphComp;100000;72;double;0;60001;433769568
graphComp;100000;73;double;13787;60001;142441736
graphComp;100000;74;double;0;60001;10605520
graphComp;100000;75;double;0;60001;98569504
graphComp;100000;76;double;5;60001;55440600
graphComp;100000;77;double;0;60001;840980648
graphComp;100000;78;double;0;60001;60369920
graphComp;100000;79;double;0;60001;74830072
graphComp;100000;80;double;0;12701;13275136
graphComp;100000;81;double;0;60020;1095996480
graphComp;100000;82;double;4663;60001;122563152
graphComp;100000;83;double;34;60001;8695728
graphComp;100000;84;double;1146;60001;199254768
graphComp;100000;85;double;13;60001;21346800
graphComp;100000;86;double;0;60001;8100448
graphComp;100000;87;double;4;60001;163540392
graphComp;100000;88;double;3;60001;405656640
graphComp;100000;89;double;3;60001;72259560
graphComp;100000;90;double;7;60228;153946920
graphComp;100000;91;double;94;60001;4638512
graphComp;100000;92;double;111;60001;17015864
graphComp;100000;93;double;168;60001;415948000
graphComp;100000;94;double;0;60001;49935096
graphComp;100000;95;double;429;60001;76023216
graphComp;100000;96;double;0;60001;49429240
graphComp;100000;97;double;0;60001;92793584
graphComp;100000;98;double;183;60001;18982752
graphComp;100000;99;double;0;60001;134141328
