Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;10000;0;cuadra;12;60001;45032208
graphComp;10000;1;cuadra;6541;60001;5708474128
graphComp;10000;2;cuadra;45;60001;13297936
graphComp;10000;3;cuadra;13218;60001;142743504
graphComp;10000;4;cuadra;78;60001;9784240
graphComp;10000;5;cuadra;185;60001;44844256
graphComp;10000;6;cuadra;307;60001;10620072
graphComp;10000;7;cuadra;331;60001;12779648
graphComp;10000;8;cuadra;10218;60001;81195768
graphComp;10000;9;cuadra;13;60001;11000984
graphComp;10000;10;cuadra;21480;60001;23182520
graphComp;10000;11;cuadra;14815;60001;1438759496
graphComp;10000;12;cuadra;2703;60001;11249960
graphComp;10000;13;cuadra;158;60001;214380232
graphComp;10000;14;cuadra;1035;60001;55302504
graphComp;10000;15;cuadra;12093;60001;449713696
graphComp;10000;16;cuadra;268;60001;9714408
graphComp;10000;17;cuadra;324;60001;8797608
graphComp;10000;18;cuadra;27773;60001;83092584
graphComp;10000;19;cuadra;899;60001;26221944
graphComp;10000;20;cuadra;386;60001;131590896
graphComp;10000;21;cuadra;19781;60001;1006823152
graphComp;10000;22;cuadra;2478;60001;794806792
graphComp;10000;23;cuadra;358;60001;19088584
graphComp;10000;24;cuadra;693;60001;9870496
graphComp;10000;25;cuadra;115;60001;546199760
graphComp;10000;26;cuadra;31594;60001;5004839904
graphComp;10000;27;cuadra;409;60001;22442432
graphComp;10000;28;cuadra;21165;60001;170507352
graphComp;10000;29;cuadra;12660;60001;191226080
graphComp;10000;30;cuadra;0;60001;4329736
graphComp;10000;31;cuadra;244;60164;15201800
graphComp;10000;32;cuadra;1074;60001;16172672
graphComp;10000;33;cuadra;928;60001;65682672
graphComp;10000;34;cuadra;48885;60001;179994408
graphComp;10000;35;cuadra;150;60001;4403032
graphComp;10000;36;cuadra;73372;60001;708432368
graphComp;10000;37;cuadra;773;60001;14090664
graphComp;10000;38;cuadra;70501;60001;116530408
graphComp;10000;39;cuadra;115;60001;1903082144
graphComp;10000;40;cuadra;55468;60001;2241581456
graphComp;10000;41;cuadra;192;60001;18960184
graphComp;10000;42;cuadra;10835;60001;985120656
graphComp;10000;43;cuadra;5144;60001;46554040
graphComp;10000;44;cuadra;498;60001;178640224
graphComp;10000;45;cuadra;588;60001;1109401416
graphComp;10000;46;cuadra;78;60001;37574256
graphComp;10000;47;cuadra;9701;60001;28253824
graphComp;10000;48;cuadra;191;60001;1208628224
graphComp;10000;49;cuadra;58;60001;5905176
graphComp;10000;50;cuadra;77964;60001;158902456
graphComp;10000;51;cuadra;215;60001;19978192
graphComp;10000;52;cuadra;93;60001;5851008
graphComp;10000;53;cuadra;101;60001;12203672
graphComp;10000;54;cuadra;8319;60001;11850000
graphComp;10000;55;cuadra;1228;60001;32146336
graphComp;10000;56;cuadra;1071;60001;72988792
graphComp;10000;57;cuadra;1060;60001;75853760
graphComp;10000;58;cuadra;144;60001;24831216
graphComp;10000;59;cuadra;115;60001;15378360
graphComp;10000;60;cuadra;1655;60001;33415176
graphComp;10000;61;cuadra;279;60001;4201320
graphComp;10000;62;cuadra;111;60001;52197448
graphComp;10000;63;cuadra;3212;60001;6946376
graphComp;10000;64;cuadra;466;60001;7126352
graphComp;10000;65;cuadra;264;60001;9602176
graphComp;10000;66;cuadra;324;60001;25102296
graphComp;10000;67;cuadra;28091;60001;41531688
graphComp;10000;68;cuadra;8212;60001;22492072
graphComp;10000;69;cuadra;13208;60001;32066224
graphComp;10000;70;cuadra;115;60001;3149800
graphComp;10000;71;cuadra;115;60064;25403448
graphComp;10000;72;cuadra;41310;60001;478990728
graphComp;10000;73;cuadra;13395;60001;64266840
graphComp;10000;74;cuadra;1065;60001;16646360
graphComp;10000;75;cuadra;29297;60001;32872160
graphComp;10000;76;cuadra;13;60001;9891384
graphComp;10000;77;cuadra;0;60350;75385000
graphComp;10000;78;cuadra;706;60001;38305688
graphComp;10000;79;cuadra;170;60001;20712704
graphComp;10000;80;cuadra;110;60001;12988928
graphComp;10000;81;cuadra;6;60001;885632
graphComp;10000;82;cuadra;4971;60001;33437680
graphComp;10000;83;cuadra;109072;60001;368164848
graphComp;10000;84;cuadra;1359;60001;116891856
graphComp;10000;85;cuadra;24;60001;6027120
graphComp;10000;86;cuadra;249;60001;7938440
graphComp;10000;87;cuadra;59;60001;684788680
graphComp;10000;88;cuadra;76;60001;156355168
graphComp;10000;89;cuadra;465;60001;28317680
graphComp;10000;90;cuadra;488;60213;112791496
graphComp;10000;91;cuadra;94;60001;21674648
graphComp;10000;92;cuadra;2706;60258;39365568
graphComp;10000;93;cuadra;1105;60001;390353176
graphComp;10000;94;cuadra;413;60001;14582208
graphComp;10000;95;cuadra;258;60001;12950720
graphComp;10000;96;cuadra;536;60001;39065072
graphComp;10000;97;cuadra;910;60001;27741576
graphComp;10000;98;cuadra;1557;60001;26338728
graphComp;10000;99;cuadra;134;60001;3887480
