Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;-1;0;cuadra;2;60775;5763793032
graphCompDense;-1;1;cuadra;10335;60005;5716680232
graphCompDense;-1;2;cuadra;68;60001;7629066800
graphCompDense;-1;3;cuadra;1099;60009;4645761696
graphCompDense;-1;4;cuadra;60;60001;6686535192
graphCompDense;-1;5;cuadra;27;60001;6821288512
graphCompDense;-1;6;cuadra;83;60001;6314463128
graphCompDense;-1;7;cuadra;65;60551;5623140072
graphCompDense;-1;8;cuadra;9975;60292;6648507608
graphCompDense;-1;9;cuadra;22;60001;5414242488
graphCompDense;-1;10;cuadra;19269;60001;5817311472
graphCompDense;-1;11;cuadra;11527;60001;8744680920
graphCompDense;-1;12;cuadra;2085;60001;6186850392
graphCompDense;-1;13;cuadra;169;60001;7064457944
graphCompDense;-1;14;cuadra;190;61636;5860833184
graphCompDense;-1;15;cuadra;6568;60001;6199309720
graphCompDense;-1;16;cuadra;79;60001;6122836672
graphCompDense;-1;17;cuadra;105;60001;6468093800
graphCompDense;-1;18;cuadra;28225;61198;2814660520
graphCompDense;-1;19;cuadra;201;62397;5921452296
graphCompDense;-1;20;cuadra;80;61969;5728586616
graphCompDense;-1;21;cuadra;2305;60006;944142080
graphCompDense;-1;22;cuadra;72;60001;5875217976
graphCompDense;-1;23;cuadra;87;61771;5922101712
graphCompDense;-1;24;cuadra;148;61637;5902486528
graphCompDense;-1;25;cuadra;1211;60001;6218927312
graphCompDense;-1;26;cuadra;352110;60001;4870490136
graphCompDense;-1;27;cuadra;121;61436;5828377920
graphCompDense;-1;28;cuadra;19515;60001;262651224
graphCompDense;-1;29;cuadra;4608;60001;5317926736
graphCompDense;-1;30;cuadra;4;60001;4849609656
graphCompDense;-1;31;cuadra;112;60056;5928415552
graphCompDense;-1;32;cuadra;1077;60001;4932401576
graphCompDense;-1;33;cuadra;1870;60015;2108455816
graphCompDense;-1;34;cuadra;7726;60007;4135944608
graphCompDense;-1;35;cuadra;116;60001;6397601472
graphCompDense;-1;36;cuadra;1683;60001;1693837928
graphCompDense;-1;37;cuadra;127;62004;5929944504
graphCompDense;-1;38;cuadra;9861;60001;4902829192
graphCompDense;-1;39;cuadra;137;60535;2202417280
graphCompDense;-1;40;cuadra;55454;60001;2241577328
graphCompDense;-1;41;cuadra;14;60001;5132812912
graphCompDense;-1;42;cuadra;704;60001;8681236496
graphCompDense;-1;43;cuadra;66;60001;6122961432
graphCompDense;-1;44;cuadra;118;60462;5915826464
graphCompDense;-1;45;cuadra;252;60001;1331349952
graphCompDense;-1;46;cuadra;1739;60010;2236955624
graphCompDense;-1;47;cuadra;9545;60001;6252630944
graphCompDense;-1;48;cuadra;197;61782;6462332752
graphCompDense;-1;49;cuadra;16;60001;6114827688
graphCompDense;-1;50;cuadra;15579;60001;6400338312
graphCompDense;-1;51;cuadra;87;62084;5917225528
graphCompDense;-1;52;cuadra;35;61400;5928379048
graphCompDense;-1;53;cuadra;82;61476;5928570528
graphCompDense;-1;54;cuadra;187;62173;5907167616
graphCompDense;-1;55;cuadra;518;60003;5591259384
graphCompDense;-1;56;cuadra;1071;60001;6606101240
graphCompDense;-1;57;cuadra;125;60001;6638352328
graphCompDense;-1;58;cuadra;36;60001;6141009608
graphCompDense;-1;59;cuadra;20;60001;5968770720
graphCompDense;-1;60;cuadra;322;60421;5927183008
graphCompDense;-1;61;cuadra;64;60001;5158942424
graphCompDense;-1;62;cuadra;43;60001;6207455576
graphCompDense;-1;63;cuadra;3256;60001;8180647544
graphCompDense;-1;64;cuadra;113;60009;6338138496
graphCompDense;-1;65;cuadra;278;60001;5215694144
graphCompDense;-1;66;cuadra;95;60626;5928938192
graphCompDense;-1;67;cuadra;28074;60001;1352971728
graphCompDense;-1;68;cuadra;107;60001;6425714920
graphCompDense;-1;69;cuadra;193;60001;6069314488
graphCompDense;-1;70;cuadra;220;60001;5701849856
graphCompDense;-1;71;cuadra;35;60001;6520064016
graphCompDense;-1;72;cuadra;40392;60001;1122212312
graphCompDense;-1;73;cuadra;690;60016;5244022768
graphCompDense;-1;74;cuadra;1065;60001;5397874160
graphCompDense;-1;75;cuadra;29426;60001;32933496
graphCompDense;-1;76;cuadra;18;61222;5771459928
graphCompDense;-1;77;cuadra;0;60001;4416001392
graphCompDense;-1;78;cuadra;119;60679;5927470696
graphCompDense;-1;79;cuadra;59;61142;5928350240
graphCompDense;-1;80;cuadra;50;60001;6140315192
graphCompDense;-1;81;cuadra;2;60218;5930334624
graphCompDense;-1;82;cuadra;620;60008;4687922832
graphCompDense;-1;83;cuadra;11035;60001;6619473568
graphCompDense;-1;84;cuadra;1362;60001;6000255368
graphCompDense;-1;85;cuadra;163;60001;5701274224
graphCompDense;-1;86;cuadra;86;60001;6280918392
graphCompDense;-1;87;cuadra;4;60001;6354841008
graphCompDense;-1;88;cuadra;84;60001;5116883816
graphCompDense;-1;89;cuadra;90;60001;6447444600
graphCompDense;-1;90;cuadra;66;60524;5928607024
graphCompDense;-1;91;cuadra;80;60001;5440057536
graphCompDense;-1;92;cuadra;391;62252;5927082048
graphCompDense;-1;93;cuadra;2931;60017;676373536
graphCompDense;-1;94;cuadra;126;60001;6004910544
graphCompDense;-1;95;cuadra;19;60001;4453668240
graphCompDense;-1;96;cuadra;133;60001;6225499016
graphCompDense;-1;97;cuadra;338;60001;5704265112
graphCompDense;-1;98;cuadra;201;63712;5925687792
graphCompDense;-1;99;cuadra;62;61109;5914611648
