Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;-1;0;double;7;60001;8074226304
graphCompDense;-1;1;double;6759;60002;5709944448
graphCompDense;-1;2;double;36;60747;5332581768
graphCompDense;-1;3;double;12203;60447;5757762648
graphCompDense;-1;4;double;0;60001;6220184816
graphCompDense;-1;5;double;0;60928;5552448328
graphCompDense;-1;6;double;58;60001;6616122064
graphCompDense;-1;7;double;44;60001;6217036888
graphCompDense;-1;8;double;49;60701;5841294624
graphCompDense;-1;9;double;0;60001;5878146296
graphCompDense;-1;10;double;1578;60001;5708105896
graphCompDense;-1;11;double;85;60053;5889348536
graphCompDense;-1;12;double;0;60001;3813966456
graphCompDense;-1;13;double;9;62214;6700350816
graphCompDense;-1;14;double;183;61214;5896286008
graphCompDense;-1;15;double;0;62467;5914181160
graphCompDense;-1;16;double;0;60001;6559624856
graphCompDense;-1;17;double;106;60519;5765037024
graphCompDense;-1;18;double;670;60009;5241611680
graphCompDense;-1;19;double;0;60001;6790900792
graphCompDense;-1;20;double;0;60001;7032497608
graphCompDense;-1;21;double;163;60001;4294075616
graphCompDense;-1;22;double;8532;60001;4799103520
graphCompDense;-1;23;double;0;60001;6581264544
graphCompDense;-1;24;double;114;60001;6872140688
graphCompDense;-1;25;double;1368;60001;1302864032
graphCompDense;-1;26;double;0;60001;6173017368
graphCompDense;-1;27;double;5;60466;5825559288
graphCompDense;-1;28;double;13;60030;5906709992
graphCompDense;-1;29;double;35;61118;5928358888
graphCompDense;-1;30;double;48;60001;6543087936
graphCompDense;-1;31;double;0;60001;4908985096
graphCompDense;-1;32;double;3;60001;3091454952
graphCompDense;-1;33;double;10674;60001;6621975136
graphCompDense;-1;34;double;68;60001;5984969040
graphCompDense;-1;35;double;110;60214;5702199416
graphCompDense;-1;36;double;21;62323;5730726808
graphCompDense;-1;37;double;62;60001;6142329144
graphCompDense;-1;38;double;796;60004;4625708024
graphCompDense;-1;39;double;25262;60001;5754879704
graphCompDense;-1;40;double;3;62153;5930325384
graphCompDense;-1;41;double;56;62598;5929606536
graphCompDense;-1;42;double;50;60001;5934253928
graphCompDense;-1;43;double;4984;60001;7134473408
graphCompDense;-1;44;double;109;61861;5872461896
graphCompDense;-1;45;double;249;62846;5927485560
graphCompDense;-1;46;double;13350;60001;4165262104
graphCompDense;-1;47;double;65;60822;5909355496
graphCompDense;-1;48;double;3;63071;5763716600
graphCompDense;-1;49;double;128;61494;5929922384
graphCompDense;-1;50;double;244;60001;6622932968
graphCompDense;-1;51;double;36;63137;5741842584
graphCompDense;-1;52;double;0;63675;5662104264
graphCompDense;-1;53;double;0;61110;5930338312
graphCompDense;-1;54;double;2678;60001;7626790664
graphCompDense;-1;55;double;62;61557;5928305656
graphCompDense;-1;56;double;0;61241;5929275672
graphCompDense;-1;57;double;66;61743;4843434152
graphCompDense;-1;58;double;0;60001;6339558416
graphCompDense;-1;59;double;0;62131;5801328960
graphCompDense;-1;60;double;630;61224;5902103384
graphCompDense;-1;61;double;7;60001;6858880456
graphCompDense;-1;62;double;4;60001;6210630560
graphCompDense;-1;63;double;88;61332;5930013304
graphCompDense;-1;64;double;0;60001;2806800080
graphCompDense;-1;65;double;22249;60001;72935352
graphCompDense;-1;66;double;16;60275;6168111304
graphCompDense;-1;67;double;0;61083;5930074624
graphCompDense;-1;68;double;52;61003;5930191768
graphCompDense;-1;69;double;10105;60001;5941966152
graphCompDense;-1;70;double;71;60782;5930087784
graphCompDense;-1;71;double;25;60001;5777418768
graphCompDense;-1;72;double;4;60002;8085149248
graphCompDense;-1;73;double;591;60006;5174275736
graphCompDense;-1;74;double;0;60170;5929409792
graphCompDense;-1;75;double;0;60001;3686703632
graphCompDense;-1;76;double;5;60001;6195222680
graphCompDense;-1;77;double;0;60001;4806904384
graphCompDense;-1;78;double;0;60001;6137923680
graphCompDense;-1;79;double;0;60001;6087096688
graphCompDense;-1;80;double;0;60001;3962729848
graphCompDense;-1;81;double;0;60001;6991652072
graphCompDense;-1;82;double;744;60003;4874442504
graphCompDense;-1;83;double;2;60001;6028071432
graphCompDense;-1;84;double;1146;60488;6003249648
graphCompDense;-1;85;double;7;60001;6312863592
graphCompDense;-1;86;double;0;60001;6588771728
graphCompDense;-1;87;double;4;60358;5847175488
graphCompDense;-1;88;double;3;61822;5664846944
graphCompDense;-1;89;double;0;60080;5921614728
graphCompDense;-1;90;double;7;61144;5831330536
graphCompDense;-1;91;double;80;62351;5929091624
graphCompDense;-1;92;double;22;61432;5930310312
graphCompDense;-1;93;double;2019;60023;413025648
graphCompDense;-1;94;double;0;60001;6383704472
graphCompDense;-1;95;double;55;60001;6023158952
graphCompDense;-1;96;double;0;60001;6333589456
graphCompDense;-1;97;double;0;60593;5930253864
graphCompDense;-1;98;double;60;62131;5929842392
graphCompDense;-1;99;double;0;60284;5784477544
