Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;-1;0;penta;28;60241;5901387624
graphCompDense;-1;1;penta;0;60001;6166877416
graphCompDense;-1;2;penta;102435;60001;353623088
graphCompDense;-1;3;penta;10705;60001;5025977816
graphCompDense;-1;4;penta;71;60001;5542169832
graphCompDense;-1;5;penta;28;60001;6655079408
graphCompDense;-1;6;penta;57;60001;5174902624
graphCompDense;-1;7;penta;71;60001;6103323272
graphCompDense;-1;8;penta;9987;60001;7420281168
graphCompDense;-1;9;penta;22;62033;6135299176
graphCompDense;-1;10;penta;2517;60027;962143552
graphCompDense;-1;11;penta;4639;60001;4578560640
graphCompDense;-1;12;penta;148611;60001;2037366064
graphCompDense;-1;13;penta;9;60001;4209088880
graphCompDense;-1;14;penta;76;60001;5045690784
graphCompDense;-1;15;penta;2098;60008;1812577856
graphCompDense;-1;16;penta;95;60309;9379371312
graphCompDense;-1;17;penta;155;60001;6187850992
graphCompDense;-1;18;penta;861;60007;5064405224
graphCompDense;-1;19;penta;9268;61086;5602595784
graphCompDense;-1;20;penta;107;60001;6009041312
graphCompDense;-1;21;penta;5443;60009;951968784
graphCompDense;-1;22;penta;90;62367;5839676808
graphCompDense;-1;23;penta;86;60015;5934925808
graphCompDense;-1;24;penta;111;60438;2448386400
graphCompDense;-1;25;penta;679;60021;5294554896
graphCompDense;-1;26;penta;416202;60003;5052721560
graphCompDense;-1;27;penta;130;60001;6396494544
graphCompDense;-1;28;penta;120;60001;6427656880
graphCompDense;-1;29;penta;1042;60005;4569868288
graphCompDense;-1;30;penta;44;60001;6732273976
graphCompDense;-1;31;penta;92;60001;6243897856
graphCompDense;-1;32;penta;1191;60206;4968022600
graphCompDense;-1;33;penta;12795;60005;3240563256
graphCompDense;-1;34;penta;5013;60023;1176254624
graphCompDense;-1;35;penta;118;61652;5923913400
graphCompDense;-1;36;penta;2395;60001;5650400256
graphCompDense;-1;37;penta;240;60001;6107255656
graphCompDense;-1;38;penta;2844;60018;423616848
graphCompDense;-1;39;penta;150;60001;2427864216
graphCompDense;-1;40;penta;8128;60004;2211768344
graphCompDense;-1;41;penta;105;60001;5953875032
graphCompDense;-1;42;penta;10097;60004;1599810984
graphCompDense;-1;43;penta;11923;60880;2586988824
graphCompDense;-1;44;penta;1723;62480;5777882688
graphCompDense;-1;45;penta;10480;60001;6856107608
graphCompDense;-1;46;penta;2037;60010;2525942120
graphCompDense;-1;47;penta;2445;60017;1314247208
graphCompDense;-1;48;penta;63;60001;5948604304
graphCompDense;-1;49;penta;64;60251;6122628336
graphCompDense;-1;50;penta;12470;60001;8518565560
graphCompDense;-1;51;penta;150;60001;6992879384
graphCompDense;-1;52;penta;94;60001;7023671672
graphCompDense;-1;53;penta;97;60001;4793928712
graphCompDense;-1;54;penta;269;60537;5925196888
graphCompDense;-1;55;penta;418;62853;5929166424
graphCompDense;-1;56;penta;106;60001;6254998272
graphCompDense;-1;57;penta;98;60001;6209474352
graphCompDense;-1;58;penta;38;60001;6436298992
graphCompDense;-1;59;penta;85;60492;5702920192
graphCompDense;-1;60;penta;266;60520;5877600656
graphCompDense;-1;61;penta;148;60001;5718798552
graphCompDense;-1;62;penta;3609;60001;5074124024
graphCompDense;-1;63;penta;1469;60001;4514597872
graphCompDense;-1;64;penta;181;60001;6453522360
graphCompDense;-1;65;penta;11717;60001;6190233392
graphCompDense;-1;66;penta;171;60001;6279457656
graphCompDense;-1;67;penta;1985;60001;1393871656
graphCompDense;-1;68;penta;93;60001;4691111512
graphCompDense;-1;69;penta;8479;60004;4868593520
graphCompDense;-1;70;penta;223;60001;5730828632
graphCompDense;-1;71;penta;40;60001;6474273544
graphCompDense;-1;72;penta;1281;60001;4256724712
graphCompDense;-1;73;penta;768;60012;5238424992
graphCompDense;-1;74;penta;1075;60001;6332101744
graphCompDense;-1;75;penta;1596;60064;2760156480
graphCompDense;-1;76;penta;23;60306;5756858472
graphCompDense;-1;77;penta;0;60001;7085796032
graphCompDense;-1;78;penta;93;60001;6158722576
graphCompDense;-1;79;penta;79;60110;5929636688
graphCompDense;-1;80;penta;67;60001;6169243896
graphCompDense;-1;81;penta;87;60001;5948733144
graphCompDense;-1;82;penta;648;60001;5742720416
graphCompDense;-1;83;penta;9637;60001;6881751840
graphCompDense;-1;84;penta;1697;60001;5233048416
graphCompDense;-1;85;penta;21596;60001;1131894048
graphCompDense;-1;86;penta;120;60001;6642407256
graphCompDense;-1;87;penta;4;60001;5864924768
graphCompDense;-1;88;penta;2015;60007;465540696
graphCompDense;-1;89;penta;191;60001;6733260712
graphCompDense;-1;90;penta;145;60001;6502424736
graphCompDense;-1;91;penta;82;60001;6657910608
graphCompDense;-1;92;penta;1253;60001;5702207048
graphCompDense;-1;93;penta;2053;60009;415545368
graphCompDense;-1;94;penta;147;60001;5998248672
graphCompDense;-1;95;penta;171;60001;6239149792
graphCompDense;-1;96;penta;2395;60001;9316153544
graphCompDense;-1;97;penta;159;60001;6230184024
graphCompDense;-1;98;penta;231;60001;6027305712
graphCompDense;-1;99;penta;42287;60001;427641704
