Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;0;triple;0;61266;6337722880
graphComp;-1;1;triple;3981;60887;5702866976
graphComp;-1;2;triple;61;60089;7579010408
graphComp;-1;3;triple;1126;60001;4720794624
graphComp;-1;4;triple;3;60001;5978261600
graphComp;-1;5;triple;0;60001;2840020384
graphComp;-1;6;triple;58;60001;6023474576
graphComp;-1;7;triple;94;60001;5702882880
graphComp;-1;8;triple;218;60001;5704406088
graphComp;-1;9;triple;12;60239;5246332368
graphComp;-1;10;triple;1443;61404;2806260520
graphComp;-1;11;triple;3160;60001;6441606208
graphComp;-1;12;triple;0;60001;5856427928
graphComp;-1;13;triple;12;60597;6434566832
graphComp;-1;14;triple;172;60939;5632343464
graphComp;-1;15;triple;17;60001;5670881056
graphComp;-1;16;triple;21;60001;5818795496
graphComp;-1;17;triple;27;60001;5869304184
graphComp;-1;18;triple;919;60001;5702726352
graphComp;-1;19;triple;183;60018;5703002552
graphComp;-1;20;triple;78;60008;5841558168
graphComp;-1;21;triple;7300;60008;1020843640
graphComp;-1;22;triple;5;61139;5783324560
graphComp;-1;23;triple;92;60001;6369419320
graphComp;-1;24;triple;117;60001;6796651392
graphComp;-1;25;triple;856;60001;5947424488
graphComp;-1;26;triple;5667;60001;5157807144
graphComp;-1;27;triple;134;60001;6201280440
graphComp;-1;28;triple;66;60001;6577626496
graphComp;-1;29;triple;10699;60001;5768935880
graphComp;-1;30;triple;0;60236;5922177160
graphComp;-1;31;triple;36;60267;5865283192
graphComp;-1;32;triple;115;60008;6178877736
graphComp;-1;33;triple;1966;60001;7021756912
graphComp;-1;34;triple;8229;60001;1076547320
graphComp;-1;35;triple;110;60001;6084818920
graphComp;-1;36;triple;94843;60001;1165343672
graphComp;-1;37;triple;62;60001;6330978472
graphComp;-1;38;triple;23051;60001;5920904088
graphComp;-1;39;triple;2148;60017;1189141928
graphComp;-1;40;triple;53;60001;6822778288
graphComp;-1;41;triple;51;60001;6077473504
graphComp;-1;42;triple;121;62069;9580088352
graphComp;-1;43;triple;11;60001;6726642384
graphComp;-1;44;triple;153;61797;4701454680
graphComp;-1;45;triple;251;60001;1162888032
graphComp;-1;46;triple;2228;60001;2232798840
graphComp;-1;47;triple;134;60001;5704592584
graphComp;-1;48;triple;95;60672;2027213144
graphComp;-1;49;triple;58;60001;4173964200
graphComp;-1;50;triple;123;60001;6165196128
graphComp;-1;51;triple;38;60001;4412531048
graphComp;-1;52;triple;0;60001;6557827384
graphComp;-1;53;triple;16;60362;4904550824
graphComp;-1;54;triple;187;62451;5928435392
graphComp;-1;55;triple;561;60001;6055702848
graphComp;-1;56;triple;0;60063;5867636488
graphComp;-1;57;triple;131;60089;5581444360
graphComp;-1;58;triple;0;60001;6740987072
graphComp;-1;59;triple;35;60001;6635103208
graphComp;-1;60;triple;281;60376;5924785664
graphComp;-1;61;triple;70;60001;6246203408
graphComp;-1;62;triple;4;63146;5637752624
graphComp;-1;63;triple;84;60001;5480885872
graphComp;-1;64;triple;99;60001;6264172088
graphComp;-1;65;triple;1068;60006;3588863224
graphComp;-1;66;triple;16;60001;6593197144
graphComp;-1;67;triple;67;60001;6394267840
graphComp;-1;68;triple;52;60449;5866864608
graphComp;-1;69;triple;112;61393;5927682680
graphComp;-1;70;triple;80;60001;5211935384
graphComp;-1;71;triple;19;60001;6392043296
graphComp;-1;72;triple;0;60473;5930335664
graphComp;-1;73;triple;433;60004;5301252032
graphComp;-1;74;triple;0;60001;6067567928
graphComp;-1;75;triple;7;60431;9626205584
graphComp;-1;76;triple;9;61761;5774254176
graphComp;-1;77;triple;0;60001;4041277624
graphComp;-1;78;triple;254;60001;5725789568
graphComp;-1;79;triple;0;60304;2496249232
graphComp;-1;80;triple;0;60001;6024656232
graphComp;-1;81;triple;0;60001;6347065232
graphComp;-1;82;triple;716;60001;4883993200
graphComp;-1;83;triple;2;60283;5884138112
graphComp;-1;84;triple;1146;61038;6477338896
graphComp;-1;85;triple;12;60001;4788868440
graphComp;-1;86;triple;3;60140;5581630944
graphComp;-1;87;triple;35;60918;2262682416
graphComp;-1;88;triple;36;60001;6383878104
graphComp;-1;89;triple;47;60001;6225481864
graphComp;-1;90;triple;147;60001;5709693128
graphComp;-1;91;triple;80;60001;6079822032
graphComp;-1;92;triple;1907;60019;6384584448
graphComp;-1;93;triple;2156;60008;412469936
graphComp;-1;94;triple;50;61234;5930213624
graphComp;-1;95;triple;27;62359;5749323408
graphComp;-1;96;triple;106;60001;6137541784
graphComp;-1;97;triple;76;60001;6777554856
graphComp;-1;98;triple;744;60001;6766124624
graphComp;-1;99;triple;6;60001;5790805128
