Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;-1;0;cuadra;2;60001;3934280600
graphNativeFullDense;-1;1;cuadra;2283;60001;5703389600
graphNativeFullDense;-1;2;cuadra;69;60001;7629066800
graphNativeFullDense;-1;3;cuadra;63;60826;154778544
graphNativeFullDense;-1;4;cuadra;63;60001;4434337720
graphNativeFullDense;-1;5;cuadra;11;60647;2760669920
graphNativeFullDense;-1;6;cuadra;73;60943;1510646312
graphNativeFullDense;-1;7;cuadra;54;60001;3741049816
graphNativeFullDense;-1;8;cuadra;2135;60494;3605350472
graphNativeFullDense;-1;9;cuadra;23;60001;5414242552
graphNativeFullDense;-1;10;cuadra;2230;60136;520887136
graphNativeFullDense;-1;11;cuadra;7142;60005;3565089896
graphNativeFullDense;-1;12;cuadra;2143;61314;4328813480
graphNativeFullDense;-1;13;cuadra;169;60001;6681895912
graphNativeFullDense;-1;14;cuadra;77;60733;1745803784
graphNativeFullDense;-1;15;cuadra;4324;60001;6188396352
graphNativeFullDense;-1;16;cuadra;58;60200;3374473104
graphNativeFullDense;-1;17;cuadra;85;60001;3373368200
graphNativeFullDense;-1;18;cuadra;28554;60218;170963048
graphNativeFullDense;-1;19;cuadra;82;60782;570267064
graphNativeFullDense;-1;20;cuadra;67;60001;3400230584
graphNativeFullDense;-1;21;cuadra;455;60274;929001088
graphNativeFullDense;-1;22;cuadra;70;60001;3661036936
graphNativeFullDense;-1;23;cuadra;10;60001;4308533744
graphNativeFullDense;-1;24;cuadra;96;60435;2506955736
graphNativeFullDense;-1;25;cuadra;126;60001;2113867944
graphNativeFullDense;-1;26;cuadra;6060;60007;4789400944
graphNativeFullDense;-1;27;cuadra;89;60300;3141856752
graphNativeFullDense;-1;28;cuadra;227;60081;75654936
graphNativeFullDense;-1;29;cuadra;867;60001;5068908944
graphNativeFullDense;-1;30;cuadra;4;60001;2584292760
graphNativeFullDense;-1;31;cuadra;77;60001;3930067632
graphNativeFullDense;-1;32;cuadra;1105;60001;4932401576
graphNativeFullDense;-1;33;cuadra;122;60250;61296080
graphNativeFullDense;-1;34;cuadra;137;60228;94732304
graphNativeFullDense;-1;35;cuadra;119;60001;6397601472
graphNativeFullDense;-1;36;cuadra;18;61084;671364552
graphNativeFullDense;-1;37;cuadra;87;61036;2245919528
graphNativeFullDense;-1;38;cuadra;143;60221;78941304
graphNativeFullDense;-1;39;cuadra;140;60001;2202417280
graphNativeFullDense;-1;40;cuadra;54093;60001;2240745048
graphNativeFullDense;-1;41;cuadra;14;60001;5132812912
graphNativeFullDense;-1;42;cuadra;265;60001;7113182864
graphNativeFullDense;-1;43;cuadra;54;60963;3496078744
graphNativeFullDense;-1;44;cuadra;100;60001;2974000960
graphNativeFullDense;-1;45;cuadra;244;60001;1320750432
graphNativeFullDense;-1;46;cuadra;34;60504;101968192
graphNativeFullDense;-1;47;cuadra;2368;62207;5552516528
graphNativeFullDense;-1;48;cuadra;102;61904;5551072936
graphNativeFullDense;-1;49;cuadra;16;60001;5937831352
graphNativeFullDense;-1;50;cuadra;2423;60001;2814901736
graphNativeFullDense;-1;51;cuadra;77;60001;3806980072
graphNativeFullDense;-1;52;cuadra;38;60849;5511400504
graphNativeFullDense;-1;53;cuadra;83;60001;4613628544
graphNativeFullDense;-1;54;cuadra;46;60225;1447992184
graphNativeFullDense;-1;55;cuadra;524;60001;2257969224
graphNativeFullDense;-1;56;cuadra;1217;60001;3626424360
graphNativeFullDense;-1;57;cuadra;81;60001;3834339528
graphNativeFullDense;-1;58;cuadra;11;61247;2881432792
graphNativeFullDense;-1;59;cuadra;17;61788;2881436584
graphNativeFullDense;-1;60;cuadra;91;60001;2636990688
graphNativeFullDense;-1;61;cuadra;55;60001;2218895000
graphNativeFullDense;-1;62;cuadra;44;60001;4916522072
graphNativeFullDense;-1;63;cuadra;2995;62205;4110687144
graphNativeFullDense;-1;64;cuadra;70;61006;2759894256
graphNativeFullDense;-1;65;cuadra;191;60001;5124047224
graphNativeFullDense;-1;66;cuadra;88;60001;3029503936
graphNativeFullDense;-1;67;cuadra;29073;60001;121249536
graphNativeFullDense;-1;68;cuadra;105;61363;2759894360
graphNativeFullDense;-1;69;cuadra;87;60331;1828156152
graphNativeFullDense;-1;70;cuadra;99;60273;3209222664
graphNativeFullDense;-1;71;cuadra;22;61679;3458387584
graphNativeFullDense;-1;72;cuadra;39899;60001;1113889608
graphNativeFullDense;-1;73;cuadra;91;61248;2124150448
graphNativeFullDense;-1;74;cuadra;137;60041;3721326096
graphNativeFullDense;-1;75;cuadra;29131;60001;32263976
graphNativeFullDense;-1;76;cuadra;18;60001;3845030872
graphNativeFullDense;-1;77;cuadra;0;60001;4311444072
graphNativeFullDense;-1;78;cuadra;67;60064;2250113472
graphNativeFullDense;-1;79;cuadra;62;60001;4354774288
graphNativeFullDense;-1;80;cuadra;42;60209;4417477720
graphNativeFullDense;-1;81;cuadra;2;60001;4699300864
graphNativeFullDense;-1;82;cuadra;16;61128;2528405344
graphNativeFullDense;-1;83;cuadra;6700;60001;6610123392
graphNativeFullDense;-1;84;cuadra;196;60184;376105616
graphNativeFullDense;-1;85;cuadra;93;60305;4263770832
graphNativeFullDense;-1;86;cuadra;67;60751;4695018360
graphNativeFullDense;-1;87;cuadra;2;60001;4578979888
graphNativeFullDense;-1;88;cuadra;75;60001;5022632672
graphNativeFullDense;-1;89;cuadra;66;60841;4395192808
graphNativeFullDense;-1;90;cuadra;58;60318;4674148880
graphNativeFullDense;-1;91;cuadra;78;60001;2208356656
graphNativeFullDense;-1;92;cuadra;93;60744;2474318848
graphNativeFullDense;-1;93;cuadra;879;60001;631139120
graphNativeFullDense;-1;94;cuadra;89;60156;2759885808
graphNativeFullDense;-1;95;cuadra;14;61252;2064663056
graphNativeFullDense;-1;96;cuadra;68;60765;2881464488
graphNativeFullDense;-1;97;cuadra;125;60133;1273769112
graphNativeFullDense;-1;98;cuadra;39;61103;2526268992
graphNativeFullDense;-1;99;cuadra;59;60001;4423404800
