Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;-1;0;double;7;60001;6061906000
graphNativeFullDense;-1;1;double;31;60038;5699605512
graphNativeFullDense;-1;2;double;36;60001;3347900904
graphNativeFullDense;-1;3;double;12542;60001;5757762648
graphNativeFullDense;-1;4;double;0;60001;4537625904
graphNativeFullDense;-1;5;double;0;60001;5090159584
graphNativeFullDense;-1;6;double;62;60001;4663929632
graphNativeFullDense;-1;7;double;29;60001;3712122824
graphNativeFullDense;-1;8;double;9;61260;3924274752
graphNativeFullDense;-1;9;double;0;60001;5078555952
graphNativeFullDense;-1;10;double;133;60637;428993632
graphNativeFullDense;-1;11;double;87;60001;4033675176
graphNativeFullDense;-1;12;double;0;60001;3654674080
graphNativeFullDense;-1;13;double;9;60001;5170586360
graphNativeFullDense;-1;14;double;116;60170;2050600592
graphNativeFullDense;-1;15;double;0;60104;5511315800
graphNativeFullDense;-1;16;double;0;60001;5119433896
graphNativeFullDense;-1;17;double;107;60001;5765036976
graphNativeFullDense;-1;18;double;38;60889;3841472864
graphNativeFullDense;-1;19;double;0;60001;4941118824
graphNativeFullDense;-1;20;double;0;60532;5511383576
graphNativeFullDense;-1;21;double;151;60001;4030999128
graphNativeFullDense;-1;22;double;8540;60001;1461605304
graphNativeFullDense;-1;23;double;0;60001;4378518304
graphNativeFullDense;-1;24;double;93;61071;2534524992
graphNativeFullDense;-1;25;double;1380;60001;1173738856
graphNativeFullDense;-1;26;double;0;60001;4453556344
graphNativeFullDense;-1;27;double;6;60001;4065568488
graphNativeFullDense;-1;28;double;14;60001;4959684184
graphNativeFullDense;-1;29;double;36;60800;5511740376
graphNativeFullDense;-1;30;double;48;60001;5086564256
graphNativeFullDense;-1;31;double;0;60001;4908985096
graphNativeFullDense;-1;32;double;3;60001;1714404792
graphNativeFullDense;-1;33;double;6271;60001;6615293952
graphNativeFullDense;-1;34;double;46;60001;2386644064
graphNativeFullDense;-1;35;double;113;60001;5702199416
graphNativeFullDense;-1;36;double;21;60001;3909544408
graphNativeFullDense;-1;37;double;53;60536;4854204680
graphNativeFullDense;-1;38;double;140;60112;1106117224
graphNativeFullDense;-1;39;double;1346;60001;2019871168
graphNativeFullDense;-1;40;double;3;60001;5070316520
graphNativeFullDense;-1;41;double;30;60001;2495145192
graphNativeFullDense;-1;42;double;51;60001;4714697240
graphNativeFullDense;-1;43;double;1501;60028;233932616
graphNativeFullDense;-1;44;double;111;60001;4302436200
graphNativeFullDense;-1;45;double;15;60108;1667266872
graphNativeFullDense;-1;46;double;13084;60001;4163281216
graphNativeFullDense;-1;47;double;20;60306;910863208
graphNativeFullDense;-1;48;double;3;61677;3478942456
graphNativeFullDense;-1;49;double;64;60525;3382281856
graphNativeFullDense;-1;50;double;98;60623;3171790232
graphNativeFullDense;-1;51;double;37;60001;3041126920
graphNativeFullDense;-1;52;double;0;60001;3234534232
graphNativeFullDense;-1;53;double;0;60016;5511315656
graphNativeFullDense;-1;54;double;1543;60043;379217848
graphNativeFullDense;-1;55;double;22;60183;2881364744
graphNativeFullDense;-1;56;double;0;63224;5551184312
graphNativeFullDense;-1;57;double;67;60001;3425205016
graphNativeFullDense;-1;58;double;0;60001;5326888920
graphNativeFullDense;-1;59;double;0;63415;4110571680
graphNativeFullDense;-1;60;double;643;60001;4698004680
graphNativeFullDense;-1;61;double;7;60001;4937599608
graphNativeFullDense;-1;62;double;4;60001;5039549776
graphNativeFullDense;-1;63;double;89;60001;4169464184
graphNativeFullDense;-1;64;double;0;60001;1713990992
graphNativeFullDense;-1;65;double;22797;60001;72844568
graphNativeFullDense;-1;66;double;17;60363;6168097176
graphNativeFullDense;-1;67;double;0;60026;5511370256
graphNativeFullDense;-1;68;double;53;60001;4492747832
graphNativeFullDense;-1;69;double;1270;60248;3816914576
graphNativeFullDense;-1;70;double;78;60001;5277759448
graphNativeFullDense;-1;71;double;25;60001;5777411056
graphNativeFullDense;-1;72;double;4;60001;7522722048
graphNativeFullDense;-1;73;double;15;60507;2054666680
graphNativeFullDense;-1;74;double;0;60001;5047217232
graphNativeFullDense;-1;75;double;0;60001;3686703632
graphNativeFullDense;-1;76;double;5;60001;4827021016
graphNativeFullDense;-1;77;double;0;60001;4806904384
graphNativeFullDense;-1;78;double;0;60001;5069879888
graphNativeFullDense;-1;79;double;0;60001;4783380896
graphNativeFullDense;-1;80;double;0;60001;3916826656
graphNativeFullDense;-1;81;double;0;60001;5183822608
graphNativeFullDense;-1;82;double;50;60077;2558695224
graphNativeFullDense;-1;83;double;2;60001;5257363720
graphNativeFullDense;-1;84;double;227;60107;529359832
graphNativeFullDense;-1;85;double;7;60001;4887216008
graphNativeFullDense;-1;86;double;0;60001;5270447504
graphNativeFullDense;-1;87;double;4;60001;3891908208
graphNativeFullDense;-1;88;double;3;60001;2700447552
graphNativeFullDense;-1;89;double;0;60390;5513112728
graphNativeFullDense;-1;90;double;7;60001;4164033080
graphNativeFullDense;-1;91;double;78;60018;4038178712
graphNativeFullDense;-1;92;double;4;60257;4466474568
graphNativeFullDense;-1;93;double;51;60927;378865184
graphNativeFullDense;-1;94;double;0;60001;5008150376
graphNativeFullDense;-1;95;double;7;60403;3514397832
graphNativeFullDense;-1;96;double;0;62667;5672719936
graphNativeFullDense;-1;97;double;0;62320;5551114328
graphNativeFullDense;-1;98;double;61;60001;4528930216
graphNativeFullDense;-1;99;double;0;62947;4119077688
