Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;-1;0;penta;30;60001;3892600216
graphNativeFullDense;-1;1;penta;0;60001;4984842632
graphNativeFullDense;-1;2;penta;102370;60001;350504856
graphNativeFullDense;-1;3;penta;145;60537;45611016
graphNativeFullDense;-1;4;penta;76;60001;3937869096
graphNativeFullDense;-1;5;penta;16;60630;3246655168
graphNativeFullDense;-1;6;penta;57;60001;5174902624
graphNativeFullDense;-1;7;penta;56;60001;2818425000
graphNativeFullDense;-1;8;penta;2115;60160;3233813424
graphNativeFullDense;-1;9;penta;22;60001;5857733264
graphNativeFullDense;-1;10;penta;89;60001;139674360
graphNativeFullDense;-1;11;penta;4118;60027;1122159176
graphNativeFullDense;-1;12;penta;146293;60001;2034487392
graphNativeFullDense;-1;13;penta;9;60001;4087859128
graphNativeFullDense;-1;14;penta;79;60001;5045690784
graphNativeFullDense;-1;15;penta;30;60572;369986784
graphNativeFullDense;-1;16;penta;80;60220;5511338616
graphNativeFullDense;-1;17;penta;134;60001;3072439184
graphNativeFullDense;-1;18;penta;120;60110;1961705288
graphNativeFullDense;-1;19;penta;9618;60854;832055752
graphNativeFullDense;-1;20;penta;65;62109;3474055808
graphNativeFullDense;-1;21;penta;3265;60001;924554512
graphNativeFullDense;-1;22;penta;61;61058;3728792136
graphNativeFullDense;-1;23;penta;12;60971;4406148960
graphNativeFullDense;-1;24;penta;113;60001;1820853392
graphNativeFullDense;-1;25;penta;95;60495;2759931104
graphNativeFullDense;-1;26;penta;181;60297;3329693040
graphNativeFullDense;-1;27;penta;54;60578;3589297600
graphNativeFullDense;-1;28;penta;57;61015;2759864768
graphNativeFullDense;-1;29;penta;140;60001;933221616
graphNativeFullDense;-1;30;penta;40;60710;4688725896
graphNativeFullDense;-1;31;penta;32;60241;3465984656
graphNativeFullDense;-1;32;penta;1234;60461;4968022600
graphNativeFullDense;-1;33;penta;2632;60510;1585434472
graphNativeFullDense;-1;34;penta;1903;60104;609991416
graphNativeFullDense;-1;35;penta;100;60001;3337936840
graphNativeFullDense;-1;36;penta;220;60119;1069335304
graphNativeFullDense;-1;37;penta;124;60651;2189830128
graphNativeFullDense;-1;38;penta;97;60236;38538536
graphNativeFullDense;-1;39;penta;153;60001;2427864160
graphNativeFullDense;-1;40;penta;152;60087;2202386344
graphNativeFullDense;-1;41;penta;75;61081;2285207176
graphNativeFullDense;-1;42;penta;346;60114;671766520
graphNativeFullDense;-1;43;penta;1902;60009;224971272
graphNativeFullDense;-1;44;penta;1704;60001;810604416
graphNativeFullDense;-1;45;penta;2554;60260;2367600232
graphNativeFullDense;-1;46;penta;36;61037;106156944
graphNativeFullDense;-1;47;penta;84;60548;33080000
graphNativeFullDense;-1;48;penta;48;60001;2510450848
graphNativeFullDense;-1;49;penta;65;60001;5943397664
graphNativeFullDense;-1;50;penta;2375;60252;4082737136
graphNativeFullDense;-1;51;penta;102;60343;2224911512
graphNativeFullDense;-1;52;penta;81;60717;3041214824
graphNativeFullDense;-1;53;penta;98;60001;4793928712
graphNativeFullDense;-1;54;penta;90;61090;1008580224
graphNativeFullDense;-1;55;penta;88;60178;3351521184
graphNativeFullDense;-1;56;penta;48;60001;4297459504
graphNativeFullDense;-1;57;penta;13;60001;4252599600
graphNativeFullDense;-1;58;penta;13;60001;3003941568
graphNativeFullDense;-1;59;penta;86;60001;5702920192
graphNativeFullDense;-1;60;penta;87;61072;2767547824
graphNativeFullDense;-1;61;penta;84;60180;4440879000
graphNativeFullDense;-1;62;penta;3632;60001;2885642648
graphNativeFullDense;-1;63;penta;824;60621;445117040
graphNativeFullDense;-1;64;penta;137;60021;2759924712
graphNativeFullDense;-1;65;penta;2055;60110;715706040
graphNativeFullDense;-1;66;penta;119;60001;2442639792
graphNativeFullDense;-1;67;penta;144;60682;37688144
graphNativeFullDense;-1;68;penta;95;60001;3513662440
graphNativeFullDense;-1;69;penta;234;60034;248461296
graphNativeFullDense;-1;70;penta;100;60001;2890625480
graphNativeFullDense;-1;71;penta;27;60001;3621907640
graphNativeFullDense;-1;72;penta;433;60276;166328072
graphNativeFullDense;-1;73;penta;103;61319;2057264576
graphNativeFullDense;-1;74;penta;95;60016;4559874616
graphNativeFullDense;-1;75;penta;112;61121;152193680
graphNativeFullDense;-1;76;penta;23;60001;3473615816
graphNativeFullDense;-1;77;penta;0;60189;5511367136
graphNativeFullDense;-1;78;penta;16;60080;2248178464
graphNativeFullDense;-1;79;penta;65;60001;4363804880
graphNativeFullDense;-1;80;penta;51;60001;4659753928
graphNativeFullDense;-1;81;penta;87;60001;3982655640
graphNativeFullDense;-1;82;penta;129;60080;1281656952
graphNativeFullDense;-1;83;penta;2310;60196;6863222840
graphNativeFullDense;-1;84;penta;197;60099;374549392
graphNativeFullDense;-1;85;penta;21568;60001;1108163912
graphNativeFullDense;-1;86;penta;55;60507;4490227448
graphNativeFullDense;-1;87;penta;2;60001;4925189120
graphNativeFullDense;-1;88;penta;23;60839;369616920
graphNativeFullDense;-1;89;penta;78;60001;3924241816
graphNativeFullDense;-1;90;penta;92;60569;4437145760
graphNativeFullDense;-1;91;penta;8;60001;6261822608
graphNativeFullDense;-1;92;penta;132;60087;361593288
graphNativeFullDense;-1;93;penta;51;60875;381529864
graphNativeFullDense;-1;94;penta;101;60493;2449753136
graphNativeFullDense;-1;95;penta;88;60001;3360288744
graphNativeFullDense;-1;96;penta;2373;60001;6020784640
graphNativeFullDense;-1;97;penta;85;60236;1305843640
graphNativeFullDense;-1;98;penta;62;60350;2274834952
graphNativeFullDense;-1;99;penta;43231;60001;427455360
