Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFullDense;-1;0;triple;0;60001;4103565024
graphNativeFullDense;-1;1;triple;4029;60001;5702866976
graphNativeFullDense;-1;2;triple;62;61292;7579010408
graphNativeFullDense;-1;3;triple;36;60790;148844752
graphNativeFullDense;-1;4;triple;3;62863;3385657344
graphNativeFullDense;-1;5;triple;0;60001;2840020432
graphNativeFullDense;-1;6;triple;62;60001;4400743344
graphNativeFullDense;-1;7;triple;95;60001;5702882880
graphNativeFullDense;-1;8;triple;97;60251;4454927744
graphNativeFullDense;-1;9;triple;12;60001;5246332368
graphNativeFullDense;-1;10;triple;32;60052;116692208
graphNativeFullDense;-1;11;triple;3183;60001;4109123472
graphNativeFullDense;-1;12;triple;0;60001;5203405368
graphNativeFullDense;-1;13;triple;12;60001;5716536936
graphNativeFullDense;-1;14;triple;91;60001;1914819968
graphNativeFullDense;-1;15;triple;17;60017;5670870448
graphNativeFullDense;-1;16;triple;11;60001;3485221064
graphNativeFullDense;-1;17;triple;13;60001;3023239128
graphNativeFullDense;-1;18;triple;128;60393;800144304
graphNativeFullDense;-1;19;triple;88;60156;4577708808
graphNativeFullDense;-1;20;triple;55;62318;3502451688
graphNativeFullDense;-1;21;triple;5787;60001;997051192
graphNativeFullDense;-1;22;triple;3;60655;3126856688
graphNativeFullDense;-1;23;triple;61;60001;4199512952
graphNativeFullDense;-1;24;triple;96;61155;2570369088
graphNativeFullDense;-1;25;triple;591;60001;5945300080
graphNativeFullDense;-1;26;triple;5410;60001;5148240960
graphNativeFullDense;-1;27;triple;79;60475;3770573272
graphNativeFullDense;-1;28;triple;54;60524;4434345120
graphNativeFullDense;-1;29;triple;2671;60367;4032616032
graphNativeFullDense;-1;30;triple;0;60068;5511317208
graphNativeFullDense;-1;31;triple;3;60402;4093481512
graphNativeFullDense;-1;32;triple;5;60001;4271590200
graphNativeFullDense;-1;33;triple;42;60001;6259754144
graphNativeFullDense;-1;34;triple;8134;60001;1071260376
graphNativeFullDense;-1;35;triple;113;60001;6084818920
graphNativeFullDense;-1;36;triple;99856;60001;1161855792
graphNativeFullDense;-1;37;triple;53;60001;3546078680
graphNativeFullDense;-1;38;triple;1964;60294;258312064
graphNativeFullDense;-1;39;triple;92;61265;108319368
graphNativeFullDense;-1;40;triple;54;60001;4695872416
graphNativeFullDense;-1;41;triple;15;60001;1731039840
graphNativeFullDense;-1;42;triple;78;60461;4944523768
graphNativeFullDense;-1;43;triple;3;60188;3513508080
graphNativeFullDense;-1;44;triple;155;60001;1595517048
graphNativeFullDense;-1;45;triple;247;60001;1161269856
graphNativeFullDense;-1;46;triple;579;61112;159224576
graphNativeFullDense;-1;47;triple;73;60298;5511328928
graphNativeFullDense;-1;48;triple;95;60126;2027213144
graphNativeFullDense;-1;49;triple;60;60001;3513368392
graphNativeFullDense;-1;50;triple;11;61249;3451401688
graphNativeFullDense;-1;51;triple;39;60001;1397524840
graphNativeFullDense;-1;52;triple;0;60001;6557827384
graphNativeFullDense;-1;53;triple;16;60001;4904550824
graphNativeFullDense;-1;54;triple;48;60001;1605479976
graphNativeFullDense;-1;55;triple;526;60001;3254422984
graphNativeFullDense;-1;56;triple;0;60001;4823618520
graphNativeFullDense;-1;57;triple;134;61650;5581432824
graphNativeFullDense;-1;58;triple;0;60001;5537481616
graphNativeFullDense;-1;59;triple;27;60974;2905411176
graphNativeFullDense;-1;60;triple;96;60001;2619771816
graphNativeFullDense;-1;61;triple;63;60831;3016270464
graphNativeFullDense;-1;62;triple;4;60098;2849550704
graphNativeFullDense;-1;63;triple;87;60001;5480885872
graphNativeFullDense;-1;64;triple;65;60491;4529441528
graphNativeFullDense;-1;65;triple;105;60208;1243467784
graphNativeFullDense;-1;66;triple;17;60001;6593183016
graphNativeFullDense;-1;67;triple;69;60001;3827163664
graphNativeFullDense;-1;68;triple;53;60001;3267829280
graphNativeFullDense;-1;69;triple;63;60989;1551333600
graphNativeFullDense;-1;70;triple;6;60001;5146317704
graphNativeFullDense;-1;71;triple;5;60001;4270889744
graphNativeFullDense;-1;72;triple;0;60001;4438535168
graphNativeFullDense;-1;73;triple;9;60231;1785280128
graphNativeFullDense;-1;74;triple;0;60001;4245380152
graphNativeFullDense;-1;75;triple;7;61988;7456389520
graphNativeFullDense;-1;76;triple;9;60001;3128846672
graphNativeFullDense;-1;77;triple;0;60001;3887991376
graphNativeFullDense;-1;78;triple;99;60503;3250329944
graphNativeFullDense;-1;79;triple;0;60001;1746776640
graphNativeFullDense;-1;80;triple;0;60431;5512285144
graphNativeFullDense;-1;81;triple;0;64692;5551116032
graphNativeFullDense;-1;82;triple;77;60363;2417018896
graphNativeFullDense;-1;83;triple;2;60001;4329418816
graphNativeFullDense;-1;84;triple;179;60426;716403136
graphNativeFullDense;-1;85;triple;12;60001;4788868440
graphNativeFullDense;-1;86;triple;3;60001;3188049552
graphNativeFullDense;-1;87;triple;35;60001;1421317312
graphNativeFullDense;-1;88;triple;36;60001;5313506240
graphNativeFullDense;-1;89;triple;49;60001;4416499608
graphNativeFullDense;-1;90;triple;107;60290;3604841824
graphNativeFullDense;-1;91;triple;78;60941;4480101440
graphNativeFullDense;-1;92;triple;1920;61209;4504620752
graphNativeFullDense;-1;93;triple;71;60810;378214960
graphNativeFullDense;-1;94;triple;14;60196;2759854776
graphNativeFullDense;-1;95;triple;17;60001;3023523712
graphNativeFullDense;-1;96;triple;44;65183;3502433080
graphNativeFullDense;-1;97;triple;75;60001;3810459288
graphNativeFullDense;-1;98;triple;750;60001;3952405128
graphNativeFullDense;-1;99;triple;6;60001;5790805128
