Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;-1;0;cuadra;2;60001;3453638280
graphNativeFull;-1;1;cuadra;2270;60001;5703389600
graphNativeFull;-1;2;cuadra;69;61065;7629066800
graphNativeFull;-1;3;cuadra;61;61074;131763296
graphNativeFull;-1;4;cuadra;58;60001;4464336856
graphNativeFull;-1;5;cuadra;13;62897;3126792032
graphNativeFull;-1;6;cuadra;75;60672;1545695496
graphNativeFull;-1;7;cuadra;51;60001;3179489256
graphNativeFull;-1;8;cuadra;2072;60239;3449592360
graphNativeFull;-1;9;cuadra;23;60001;5414242488
graphNativeFull;-1;10;cuadra;2161;60592;520884400
graphNativeFull;-1;11;cuadra;6833;60001;3430313424
graphNativeFull;-1;12;cuadra;2081;60293;4328813480
graphNativeFull;-1;13;cuadra;169;60001;6590855112
graphNativeFull;-1;14;cuadra;76;60726;1794248664
graphNativeFull;-1;15;cuadra;4249;60001;6188383928
graphNativeFull;-1;16;cuadra;55;60183;3374473104
graphNativeFull;-1;17;cuadra;83;60001;3366761704
graphNativeFull;-1;18;cuadra;27732;60561;126032072
graphNativeFull;-1;19;cuadra;77;60351;476415976
graphNativeFull;-1;20;cuadra;64;60049;3063370696
graphNativeFull;-1;21;cuadra;453;60965;929001088
graphNativeFull;-1;22;cuadra;68;60001;3556300568
graphNativeFull;-1;23;cuadra;7;60178;4079650400
graphNativeFull;-1;24;cuadra;92;60678;2458877944
graphNativeFull;-1;25;cuadra;121;60347;2008713384
graphNativeFull;-1;26;cuadra;6071;60001;4789417816
graphNativeFull;-1;27;cuadra;90;60001;3142670496
graphNativeFull;-1;28;cuadra;219;60178;75643960
graphNativeFull;-1;29;cuadra;847;60001;5086494848
graphNativeFull;-1;30;cuadra;4;60001;2462224216
graphNativeFull;-1;31;cuadra;76;60001;4122057056
graphNativeFull;-1;32;cuadra;1078;60001;4932401576
graphNativeFull;-1;33;cuadra;116;60643;61292096
graphNativeFull;-1;34;cuadra;131;60021;90939920
graphNativeFull;-1;35;cuadra;116;60001;6397601472
graphNativeFull;-1;36;cuadra;16;60144;670716888
graphNativeFull;-1;37;cuadra;87;60001;2193422168
graphNativeFull;-1;38;cuadra;139;60571;78938744
graphNativeFull;-1;39;cuadra;138;60001;2202417280
