Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;-1;0;double;7;60001;6498049704
graphNativeFull;-1;1;double;41;60223;5699623496
graphNativeFull;-1;2;double;36;60001;3168123832
graphNativeFull;-1;3;double;12203;60001;5757762648
graphNativeFull;-1;4;double;0;60001;4524785232
graphNativeFull;-1;5;double;0;60001;5090159584
graphNativeFull;-1;6;double;58;60001;4302415072
graphNativeFull;-1;7;double;28;60001;3708752808
graphNativeFull;-1;8;double;7;60001;3849611520
graphNativeFull;-1;9;double;0;60001;4644112032
graphNativeFull;-1;10;double;135;60394;429514288
graphNativeFull;-1;11;double;85;60001;4562419896
graphNativeFull;-1;12;double;0;60001;3587190424
graphNativeFull;-1;13;double;9;60001;5335394608
graphNativeFull;-1;14;double;115;61119;2152123072
graphNativeFull;-1;15;double;0;60001;5019986984
graphNativeFull;-1;16;double;0;60099;5511342072
graphNativeFull;-1;17;double;106;60001;5765036976
graphNativeFull;-1;18;double;38;60001;3196511344
graphNativeFull;-1;19;double;0;60680;5511333240
graphNativeFull;-1;20;double;0;60001;4463968632
graphNativeFull;-1;21;double;149;60001;3981726656
graphNativeFull;-1;22;double;8532;60001;1513041344
graphNativeFull;-1;23;double;0;60001;5208215616
graphNativeFull;-1;24;double;92;60447;2534524992
graphNativeFull;-1;25;double;1363;60089;1213655856
graphNativeFull;-1;26;double;0;60001;4381816312
graphNativeFull;-1;27;double;6;60001;4058652072
graphNativeFull;-1;28;double;14;60001;4913572568
graphNativeFull;-1;29;double;35;60001;5079207864
graphNativeFull;-1;30;double;48;60001;5112821808
graphNativeFull;-1;31;double;0;60001;4908985096
graphNativeFull;-1;32;double;3;60001;1714404792
graphNativeFull;-1;33;double;4986;60001;6613553552
graphNativeFull;-1;34;double;46;60001;2338794208
graphNativeFull;-1;35;double;110;60001;5702199416
graphNativeFull;-1;36;double;21;60027;3290992072
graphNativeFull;-1;37;double;52;60001;4762665016
graphNativeFull;-1;38;double;140;60561;1106117224
graphNativeFull;-1;39;double;1304;60418;1704458752
graphNativeFull;-1;40;double;3;60001;4976980952
graphNativeFull;-1;41;double;30;60001;2497947368
graphNativeFull;-1;42;double;50;60001;4606081736
graphNativeFull;-1;43;double;1491;60014;233608632
graphNativeFull;-1;44;double;109;60001;4737594360
graphNativeFull;-1;45;double;15;60624;1667266872
graphNativeFull;-1;46;double;12494;60001;4162742048
graphNativeFull;-1;47;double;18;60821;873082360
graphNativeFull;-1;48;double;3;60001;3412300040
graphNativeFull;-1;49;double;62;60001;3038510816
graphNativeFull;-1;50;double;98;60001;3063490904
graphNativeFull;-1;51;double;36;60001;2925623032
graphNativeFull;-1;52;double;0;60197;2766606200
graphNativeFull;-1;53;double;0;60001;5008957064
graphNativeFull;-1;54;double;1539;60012;379216888
graphNativeFull;-1;55;double;22;60001;3649960328
graphNativeFull;-1;56;double;0;60001;4886255624
graphNativeFull;-1;57;double;67;60595;2368406392
graphNativeFull;-1;58;double;0;60001;4998646280
graphNativeFull;-1;59;double;0;60001;4299205968
graphNativeFull;-1;60;double;630;60001;5313785160
graphNativeFull;-1;61;double;7;60001;5082897592
graphNativeFull;-1;62;double;4;60001;4744773696
graphNativeFull;-1;63;double;84;60001;3660057112
graphNativeFull;-1;64;double;0;60001;1713990992
graphNativeFull;-1;65;double;22203;60001;72809640
graphNativeFull;-1;66;double;17;60001;6168097176
graphNativeFull;-1;67;double;0;60135;5511370256
graphNativeFull;-1;68;double;52;60001;4817012824
graphNativeFull;-1;69;double;1267;60377;3712820448
graphNativeFull;-1;70;double;71;60001;5082971512
graphNativeFull;-1;71;double;25;60001;5777411056
graphNativeFull;-1;72;double;4;60001;7697027720
graphNativeFull;-1;73;double;17;60383;2056314104
graphNativeFull;-1;74;double;0;63477;5551136432
graphNativeFull;-1;75;double;0;60001;3686703632
graphNativeFull;-1;76;double;5;60001;4699645752
graphNativeFull;-1;77;double;0;60001;4806904384
graphNativeFull;-1;78;double;0;60001;4047368128
graphNativeFull;-1;79;double;0;60001;4895256928
graphNativeFull;-1;80;double;0;60001;3912458776
graphNativeFull;-1;81;double;0;60001;5183822608
graphNativeFull;-1;82;double;50;60756;2558695224
graphNativeFull;-1;83;double;2;60001;5215364360
graphNativeFull;-1;84;double;225;60119;527548896
graphNativeFull;-1;85;double;7;60001;5318939336
graphNativeFull;-1;86;double;0;60001;4214838336
graphNativeFull;-1;87;double;4;60001;4101610672
graphNativeFull;-1;88;double;3;60281;2799206720
graphNativeFull;-1;89;double;0;60835;5513112728
graphNativeFull;-1;90;double;7;60001;3779045944
graphNativeFull;-1;91;double;76;60264;4038178712
graphNativeFull;-1;92;double;4;60001;4440808472
graphNativeFull;-1;93;double;53;60413;379314944
graphNativeFull;-1;94;double;0;60468;5511358008
graphNativeFull;-1;95;double;5;60001;3111018904
graphNativeFull;-1;96;double;0;60001;5203135152
graphNativeFull;-1;97;double;0;60001;5292004248
graphNativeFull;-1;98;double;60;60001;3926333496
graphNativeFull;-1;99;double;0;60001;4060537416
