Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;-1;0;penta;28;60001;3920768616
graphNativeFull;-1;1;penta;0;60001;5369402600
graphNativeFull;-1;2;penta;101605;60001;351025424
graphNativeFull;-1;3;penta;129;60384;36867432
graphNativeFull;-1;4;penta;71;60001;3709992776
graphNativeFull;-1;5;penta;16;60001;3142676656
graphNativeFull;-1;6;penta;57;60001;5174902624
graphNativeFull;-1;7;penta;53;60001;3246900456
graphNativeFull;-1;8;penta;2052;60117;3167979264
graphNativeFull;-1;9;penta;22;60001;5964202640
graphNativeFull;-1;10;penta;86;60858;138354216
graphNativeFull;-1;11;penta;4092;60854;1122159176
graphNativeFull;-1;12;penta;145718;60001;2034481312
graphNativeFull;-1;13;penta;9;60001;4128253272
graphNativeFull;-1;14;penta;76;60001;5045690784
graphNativeFull;-1;15;penta;32;60604;369992144
graphNativeFull;-1;16;penta;79;60235;5511338616
graphNativeFull;-1;17;penta;133;60001;3287426672
graphNativeFull;-1;18;penta;120;60668;1961705288
graphNativeFull;-1;19;penta;9148;60771;832055752
graphNativeFull;-1;20;penta;63;60001;3458744864
graphNativeFull;-1;21;penta;3255;60108;934733760
graphNativeFull;-1;22;penta;60;60538;3449836584
graphNativeFull;-1;23;penta;8;60001;4296880768
graphNativeFull;-1;24;penta;111;60001;1820853392
graphNativeFull;-1;25;penta;92;60001;2763666640
graphNativeFull;-1;26;penta;187;60289;3337041568
graphNativeFull;-1;27;penta;54;60768;3770563104
graphNativeFull;-1;28;penta;56;61111;2759864768
graphNativeFull;-1;29;penta;138;60001;2146857920
graphNativeFull;-1;30;penta;40;60001;4402657832
graphNativeFull;-1;31;penta;32;60083;3465984656
graphNativeFull;-1;32;penta;1207;60001;4968022600
graphNativeFull;-1;33;penta;2598;60310;1577516952
graphNativeFull;-1;34;penta;1899;60022;617746568
graphNativeFull;-1;35;penta;98;60001;3423347336
graphNativeFull;-1;36;penta;224;60204;1069445208
graphNativeFull;-1;37;penta;122;60188;2189830128
graphNativeFull;-1;38;penta;94;60294;40612536
graphNativeFull;-1;39;penta;151;60001;2427864216
graphNativeFull;-1;40;penta;160;60062;2202389384
graphNativeFull;-1;41;penta;73;60200;2038063288
graphNativeFull;-1;42;penta;346;60243;671766520
graphNativeFull;-1;43;penta;1885;60034;223224824
graphNativeFull;-1;44;penta;1700;60034;810604416
graphNativeFull;-1;45;penta;2445;60127;2335172760
graphNativeFull;-1;46;penta;38;60908;108375200
graphNativeFull;-1;47;penta;85;60270;33082864
graphNativeFull;-1;48;penta;47;60202;2759872224
graphNativeFull;-1;49;penta;64;60001;5975145600
graphNativeFull;-1;50;penta;2304;60442;4155674032
graphNativeFull;-1;51;penta;98;61086;2015233960
graphNativeFull;-1;52;penta;80;60347;2760129512
graphNativeFull;-1;53;penta;97;60001;4793928712
graphNativeFull;-1;54;penta;84;60739;749499072
graphNativeFull;-1;55;penta;87;60001;3242741840
graphNativeFull;-1;56;penta;47;60001;4410751120
graphNativeFull;-1;57;penta;12;60001;3775501536
graphNativeFull;-1;58;penta;10;60591;2897281568
graphNativeFull;-1;59;penta;85;60001;5702920192
graphNativeFull;-1;60;penta;86;60094;2801408096
graphNativeFull;-1;61;penta;98;60001;5280670840
graphNativeFull;-1;62;penta;3609;60001;3309773656
graphNativeFull;-1;63;penta;816;61036;450658416
graphNativeFull;-1;64;penta;131;60060;2759924712
graphNativeFull;-1;65;penta;1986;60297;727051640
graphNativeFull;-1;66;penta;117;60001;2547878920
graphNativeFull;-1;67;penta;144;60070;40280896
graphNativeFull;-1;68;penta;91;60001;3513662440
graphNativeFull;-1;69;penta;268;60275;262416480
graphNativeFull;-1;70;penta;110;60432;3908134472
graphNativeFull;-1;71;penta;27;60001;3953571544
graphNativeFull;-1;72;penta;434;60192;166507432
graphNativeFull;-1;73;penta;102;60501;2057264576
graphNativeFull;-1;74;penta;109;60242;4559884608
graphNativeFull;-1;75;penta;116;60659;187005024
graphNativeFull;-1;76;penta;23;60001;3185926856
graphNativeFull;-1;77;penta;0;60001;4518111888
graphNativeFull;-1;78;penta;16;60097;2248178464
graphNativeFull;-1;79;penta;63;60001;3480385408
graphNativeFull;-1;80;penta;47;60001;4309832424
graphNativeFull;-1;81;penta;85;60001;3845673496
graphNativeFull;-1;82;penta;151;60346;1332986504
graphNativeFull;-1;83;penta;4397;60001;6869527176
graphNativeFull;-1;84;penta;229;60073;526861424
graphNativeFull;-1;85;penta;20717;60001;1107953784
graphNativeFull;-1;86;penta;54;60001;4148459608
graphNativeFull;-1;87;penta;2;60001;4597420640
graphNativeFull;-1;88;penta;25;60413;369624888
graphNativeFull;-1;89;penta;77;60368;4219865816
graphNativeFull;-1;90;penta;91;60001;4313503648
graphNativeFull;-1;91;penta;8;60001;5662195152
graphNativeFull;-1;92;penta;158;60156;436505528
graphNativeFull;-1;93;penta;53;60002;381979384
graphNativeFull;-1;94;penta;101;60001;2923409504
graphNativeFull;-1;95;penta;86;60005;3500584760
graphNativeFull;-1;96;penta;2377;60001;6301348896
graphNativeFull;-1;97;penta;87;60001;1342219736
graphNativeFull;-1;98;penta;63;61038;2483041544
graphNativeFull;-1;99;penta;41197;60001;427425184
