Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphNativeFull;-1;0;triple;0;60001;4609035312
graphNativeFull;-1;1;triple;3981;60001;5702866976
graphNativeFull;-1;2;triple;62;60001;7579010408
graphNativeFull;-1;3;triple;36;60732;148844752
graphNativeFull;-1;4;triple;3;60001;3515489280
graphNativeFull;-1;5;triple;0;60001;2840020432
graphNativeFull;-1;6;triple;58;60001;4671089808
graphNativeFull;-1;7;triple;94;60001;5702882880
graphNativeFull;-1;8;triple;95;60235;4425631392
graphNativeFull;-1;9;triple;12;60001;5246332432
graphNativeFull;-1;10;triple;34;60444;180361200
graphNativeFull;-1;11;triple;3162;60001;4330850464
graphNativeFull;-1;12;triple;0;60001;5515369080
graphNativeFull;-1;13;triple;12;62469;5716536936
graphNativeFull;-1;14;triple;86;61217;1945656528
graphNativeFull;-1;15;triple;17;60001;5625083848
graphNativeFull;-1;16;triple;11;60001;3476552872
graphNativeFull;-1;17;triple;13;60001;3875440088
graphNativeFull;-1;18;triple;126;60207;800127008
graphNativeFull;-1;19;triple;89;60620;4687229192
graphNativeFull;-1;20;triple;54;60001;3594638120
graphNativeFull;-1;21;triple;5765;60001;997051048
graphNativeFull;-1;22;triple;3;60811;3126856688
graphNativeFull;-1;23;triple;58;60386;4095520392
graphNativeFull;-1;24;triple;95;61118;2570369088
graphNativeFull;-1;25;triple;572;60001;5945275944
graphNativeFull;-1;26;triple;5265;60001;5146614616
graphNativeFull;-1;27;triple;78;60001;3635757608
graphNativeFull;-1;28;triple;52;60783;4434345120
graphNativeFull;-1;29;triple;2617;60103;4032616032
graphNativeFull;-1;30;triple;0;60770;5511317208
graphNativeFull;-1;31;triple;5;61300;4093481800
graphNativeFull;-1;32;triple;5;61177;4440402856
graphNativeFull;-1;33;triple;42;60001;6566696928
graphNativeFull;-1;34;triple;7804;60001;1071206088
graphNativeFull;-1;35;triple;110;60001;6084818920
graphNativeFull;-1;36;triple;94591;60001;1159619728
graphNativeFull;-1;37;triple;52;60001;3727979288
graphNativeFull;-1;38;triple;1876;60321;258312208
graphNativeFull;-1;39;triple;90;60960;108319368
graphNativeFull;-1;40;triple;53;60001;4417479232
graphNativeFull;-1;41;triple;15;60515;2029129792
graphNativeFull;-1;42;triple;80;60001;4976927768
graphNativeFull;-1;43;triple;5;60905;3513512304
graphNativeFull;-1;44;triple;153;60001;1519476776
graphNativeFull;-1;45;triple;245;60001;1157559552
graphNativeFull;-1;46;triple;579;60361;159224576
graphNativeFull;-1;47;triple;73;63878;5511328928
graphNativeFull;-1;48;triple;95;60001;2027213144
graphNativeFull;-1;49;triple;58;60001;3513368392
graphNativeFull;-1;50;triple;11;60001;3086354632
graphNativeFull;-1;51;triple;38;60001;1397524840
graphNativeFull;-1;52;triple;0;60001;6557827384
graphNativeFull;-1;53;triple;16;60001;4904550824
graphNativeFull;-1;54;triple;46;60064;1310818888
graphNativeFull;-1;55;triple;514;60001;3334390504
graphNativeFull;-1;56;triple;0;60001;5016381496
graphNativeFull;-1;57;triple;133;61019;5581432824
graphNativeFull;-1;58;triple;0;60631;5511418688
graphNativeFull;-1;59;triple;27;60707;2905411176
graphNativeFull;-1;60;triple;92;61082;2610223640
graphNativeFull;-1;61;triple;62;60001;2935108208
graphNativeFull;-1;62;triple;4;60339;2849550704
graphNativeFull;-1;63;triple;84;60001;5480885872
graphNativeFull;-1;64;triple;63;60001;3971081528
graphNativeFull;-1;65;triple;104;60632;1243467784
graphNativeFull;-1;66;triple;17;60001;6593183016
graphNativeFull;-1;67;triple;67;60001;2908963200
graphNativeFull;-1;68;triple;52;60826;3130213472
graphNativeFull;-1;69;triple;63;60001;1699931472
graphNativeFull;-1;70;triple;6;60001;5147047544
graphNativeFull;-1;71;triple;5;60001;3670328848
graphNativeFull;-1;72;triple;0;60051;5511315504
graphNativeFull;-1;73;triple;9;60065;1785280128
graphNativeFull;-1;74;triple;0;60001;4350166792
graphNativeFull;-1;75;triple;7;60556;7456389520
graphNativeFull;-1;76;triple;9;63007;4117837856
graphNativeFull;-1;77;triple;0;60001;4003462872
graphNativeFull;-1;78;triple;102;60121;3313595016
graphNativeFull;-1;79;triple;0;60001;1746776640
graphNativeFull;-1;80;triple;0;62682;5551157656
graphNativeFull;-1;81;triple;0;60001;5188987824
graphNativeFull;-1;82;triple;77;60261;2417095504
graphNativeFull;-1;83;triple;2;60001;4386956192
graphNativeFull;-1;84;triple;177;60177;716250424
graphNativeFull;-1;85;triple;12;60001;4788868440
graphNativeFull;-1;86;triple;3;60013;2744462640
graphNativeFull;-1;87;triple;35;60001;1421317312
graphNativeFull;-1;88;triple;34;60001;5220121992
graphNativeFull;-1;89;triple;47;60001;4107866648
graphNativeFull;-1;90;triple;102;60035;2760033536
graphNativeFull;-1;91;triple;76;60001;3745599808
graphNativeFull;-1;92;triple;1880;60387;4100196000
graphNativeFull;-1;93;triple;66;60460;378213056
graphNativeFull;-1;94;triple;14;60001;2558220664
graphNativeFull;-1;95;triple;17;60001;2687944128
graphNativeFull;-1;96;triple;42;60001;2843256472
graphNativeFull;-1;97;triple;74;60001;4922221784
graphNativeFull;-1;98;triple;733;60001;4489453144
graphNativeFull;-1;99;triple;6;60001;5790805128
