Estructura;SetDatos;TiempoCreacion;UsoMemoria
graphCompDense;subset100000;610;144519712
graphCompDense;subset1000000;4273;722455360
graphCompDense;subset10000000;34235;5045747712
graphCompDense;subset100000000;392887;27594896240
graphComp;subset100000;568;42654208
graphComp;subset1000000;4654;708437792
graphComp;subset10000000;36391;3296358912
graphComp;subset100000000;401923;24582815744
graphGt;subset100000;1161;107377664
graphGt;subset1000000;11197;1765937664
graphGt;subset10000000;82424;8195670016
graphNativeFullDense;subset100000;1165;545730416
graphNativeFullDense;subset1000000;10263;1943565552
graphNativeFullDense;subset10000000;72017;3953806816
graphNativeFullDense;subset100000000;1039938;42991544320
graphNativeFull;subset100000;1172;505160360
graphNativeFull;subset1000000;10385;2783071472
graphNativeFull;subset10000000;70149;3939514032
graphNativeFull;subset100000000;1048092;42537838576
graphNative;subset100000;1214;154848640
graphNative;subset1000000;11462;1784110416
graphNative;subset10000000;81591;10242490368
