Estructura;SetDatos;TiempoCreacion;UsoMemoria
compressedDense;subset100000;689;151889256
compressedDense;subset1000000;5347;1598774144
compressedDense;subset10000000;40772;4671786368
compressed;subset100000;684;58229856
compressed;subset1000000;5388;635719680
compressed;subset10000000;41092;3091202048
graphGT;subset100000;1694;177277464
graphGT;subset1000000;16845;2023847424
graphGT;subset10000000;117763;9600761856
native;subset100000;1734;196343920
native;subset1000000;16391;1836908064
native;subset10000000;118323;10149187072
