Estructura;Tiempos;ID;SetDatos
graphCompDense;1808384;2887;subset10000000
graphCompDense;24991;949679;subset10000000
graphCompDense;197784;2367525;subset10000000
graphCompDense;232271;484652;subset10000000
graphCompDense;24753;4941142;subset10000000
graphCompDense;17177;6483864;subset10000000
graphCompDense;26332;505174;subset10000000
graphCompDense;15557;3607890;subset10000000
graphCompDense;243819934;6581097;subset10000000
graphCompDense;65777;5349988;subset10000000
graphCompDense;29474;588351;subset10000000
graphCompDense;15269;6432385;subset10000000
graphCompDense;506964;1076486;subset10000000
graphCompDense;4527871;542;subset10000000
graphCompDense;20492;1557254;subset10000000
graphCompDense;17549;8342293;subset10000000
graphCompDense;155530;463281;subset10000000
graphCompDense;882666;183387;subset10000000
graphCompDense;1818845;11446;subset10000000
graphCompDense;17511;4964746;subset10000000
graphCompDense;14177;5320917;subset10000000
graphCompDense;502141291;5;subset10000000
graphCompDense;66172;940758;subset10000000
graphCompDense;16453;3640333;subset10000000
graphCompDense;12203;4061458;subset10000000
graphCompDense;22986;1425;subset10000000
graphCompDense;13248;123741;subset10000000
graphCompDense;22267838;150;subset10000000
graphCompDense;24346;84762;subset10000000
graphCompDense;17384;1695980;subset10000000
graphCompDense;114414811;7432;subset10000000
graphCompDense;21784;8950372;subset10000000
graphCompDense;164380282;4167836;subset10000000
graphCompDense;21041;8470960;subset10000000
graphCompDense;18510;3186004;subset10000000
graphCompDense;15681;2464137;subset10000000
graphCompDense;16367;4079937;subset10000000
graphCompDense;273610;1773;subset10000000
graphCompDense;23465;37327;subset10000000
graphCompDense;14320;7906570;subset10000000
graphCompDense;16327;768964;subset10000000
graphCompDense;15260;6199979;subset10000000
graphCompDense;17366;1062125;subset10000000
graphCompDense;13586;2373318;subset10000000
graphCompDense;40469;154835;subset10000000
graphCompDense;12976;4355506;subset10000000
graphCompDense;64919;1259617;subset10000000
graphCompDense;12007;1328087;subset10000000
graphCompDense;3935649;838368;subset10000000
graphCompDense;101163;173782;subset10000000
graphCompDense;37720;3344193;subset10000000
graphCompDense;1582973;185351;subset10000000
graphCompDense;18665;7929252;subset10000000
graphCompDense;41320726;6723;subset10000000
graphCompDense;20105;1804827;subset10000000
graphCompDense;487475;35497;subset10000000
graphCompDense;16487;1765351;subset10000000
graphCompDense;15043;385380;subset10000000
graphCompDense;17576;9273473;subset10000000
graphCompDense;17731;676047;subset10000000
graphCompDense;16007;5934361;subset10000000
graphCompDense;17157;6282249;subset10000000
graphCompDense;182469;302;subset10000000
graphCompDense;389799;350979;subset10000000
graphCompDense;3598719;280658;subset10000000
graphCompDense;500787;7163;subset10000000
graphCompDense;17680;3367716;subset10000000
graphCompDense;15083;681787;subset10000000
graphCompDense;13003;14747;subset10000000
graphCompDense;13895;78120;subset10000000
graphCompDense;2107787;253019;subset10000000
graphCompDense;18240;2745996;subset10000000
graphCompDense;14424;2362862;subset10000000
graphCompDense;13617;2576159;subset10000000
graphCompDense;19456;8081507;subset10000000
graphCompDense;15734673;532;subset10000000
graphCompDense;25413;3187229;subset10000000
graphCompDense;22230;616313;subset10000000
graphCompDense;11450;767537;subset10000000
graphCompDense;19078816;937857;subset10000000
graphCompDense;21826;6155514;subset10000000
graphCompDense;114607;7987;subset10000000
graphCompDense;17062;4135074;subset10000000
graphCompDense;88631;2425;subset10000000
graphCompDense;17510;3440667;subset10000000
graphCompDense;14852;583215;subset10000000
graphCompDense;12574;6270258;subset10000000
graphCompDense;14398;1767705;subset10000000
graphCompDense;21454;1780231;subset10000000
graphCompDense;19442951;38;subset10000000
graphCompDense;20841;3496026;subset10000000
graphCompDense;18126;6440156;subset10000000
graphCompDense;344918;9058;subset10000000
graphCompDense;14699;5659748;subset10000000
graphCompDense;15616;3055782;subset10000000
graphCompDense;12807;4074644;subset10000000
graphCompDense;109756;2532287;subset10000000
graphCompDense;123202;546;subset10000000
graphCompDense;14016;690444;subset10000000
graphCompDense;15631;818540;subset10000000
graphCompDense;10602;3055361;subset10000000
graphCompDense;11565;2539882;subset10000000
graphCompDense;230905253;30;subset10000000
graphCompDense;24802;6093842;subset10000000
graphCompDense;3898436;64;subset10000000
graphCompDense;641227;3464665;subset10000000
graphCompDense;18349;7859954;subset10000000
graphCompDense;16979748;29;subset10000000
graphCompDense;22831;228648;subset10000000
graphCompDense;17229;1160107;subset10000000
graphCompDense;19451;5369693;subset10000000
graphCompDense;15229;4888080;subset10000000
graphCompDense;1364746;222910;subset10000000
graphCompDense;17047;2073536;subset10000000
graphCompDense;15555;7791;subset10000000
graphCompDense;17991;388091;subset10000000
graphCompDense;12650;172342;subset10000000
graphCompDense;16524;75866;subset10000000
graphCompDense;15779;4179613;subset10000000
graphCompDense;10965;134340;subset10000000
graphCompDense;14688;1851004;subset10000000
graphCompDense;9844;2085350;subset10000000
graphCompDense;12884;1997515;subset10000000
graphCompDense;14183;876563;subset10000000
graphCompDense;30997;796174;subset10000000
graphCompDense;8490;142253;subset10000000
graphCompDense;106004;34636;subset10000000
graphCompDense;14066;1284970;subset10000000
graphCompDense;761605;8577;subset10000000
graphCompDense;15676;503992;subset10000000
graphCompDense;17881;2478999;subset10000000
