Estructura;Tiempos;ID;SetDatos
graphComp;67626;8147;subset100000
graphComp;13938;51192;subset100000
graphComp;9513;22296;subset100000
graphComp;15230;11096;subset100000
graphComp;84130;31615;subset100000
graphComp;14993;9738;subset100000
graphComp;8313;54212;subset100000
graphComp;188047;6760;subset100000
graphComp;251538;27306;subset100000
graphComp;112661;224;subset100000
graphComp;5901;71371;subset100000
graphComp;4992;66822;subset100000
graphComp;21338;47325;subset100000
graphComp;17880;51302;subset100000
graphComp;6873;79056;subset100000
graphComp;2878;50396;subset100000
graphComp;292968;1321;subset100000
graphComp;6533;43682;subset100000
graphComp;877550;40;subset100000
graphComp;3991;74323;subset100000
graphComp;3973;28648;subset100000
graphComp;8415957;5;subset100000
graphComp;6785;55479;subset100000
graphComp;5911;55707;subset100000
graphComp;6068;22480;subset100000
graphComp;4301;50795;subset100000
graphComp;4173;7215;subset100000
graphComp;6732;20244;subset100000
graphComp;4457;74885;subset100000
graphComp;5445619;188;subset100000
graphComp;872628;82955;subset100000
graphComp;8766;17742;subset100000
graphComp;9576;97060;subset100000
graphComp;6569;13816;subset100000
graphComp;19754;7965;subset100000
graphComp;5902;13642;subset100000
graphComp;30947;12722;subset100000
graphComp;27090;462;subset100000
graphComp;3097;69836;subset100000
graphComp;3357;96252;subset100000
graphComp;81098;37922;subset100000
graphComp;25428;5390;subset100000
graphComp;1654121;64;subset100000
graphComp;2727;49338;subset100000
graphComp;2661;70641;subset100000
graphComp;12810;7070;subset100000
graphComp;4214;64129;subset100000
graphComp;4060;21210;subset100000
graphComp;106899;33;subset100000
graphComp;2304;17149;subset100000
graphComp;4090;65925;subset100000
graphComp;3450;46184;subset100000
graphComp;5250;76887;subset100000
graphComp;3017;25513;subset100000
graphComp;3475;88118;subset100000
graphComp;2317;94090;subset100000
graphComp;3391;97725;subset100000
graphComp;5393;21501;subset100000
graphComp;220905;148;subset100000
graphComp;4246;20435;subset100000
graphComp;4497;94588;subset100000
graphComp;22081;16126;subset100000
graphComp;3746;54656;subset100000
graphComp;29577;7850;subset100000
graphComp;1270802;30;subset100000
graphComp;23416;7979;subset100000
graphComp;6626;5340;subset100000
graphComp;3443;69812;subset100000
graphComp;6165;73892;subset100000
graphComp;5545;51935;subset100000
graphComp;2736;99690;subset100000
graphComp;3873;55062;subset100000
graphComp;32390;1016;subset100000
graphComp;2211;86449;subset100000
graphComp;2289;74317;subset100000
graphComp;3528;2852;subset100000
graphComp;3094;94961;subset100000
graphComp;2965;9342;subset100000
graphComp;3236;17419;subset100000
graphComp;6069;14925;subset100000
graphComp;4572;45124;subset100000
graphComp;4565;20365;subset100000
graphComp;45877;129;subset100000
graphComp;2082;42679;subset100000
graphComp;44265;127;subset100000
graphComp;2978;328;subset100000
graphComp;5590;6478;subset100000
graphComp;7235;28640;subset100000
graphComp;44913;403;subset100000
graphComp;2754;72308;subset100000
graphComp;3750529;183;subset100000
graphComp;3866;62676;subset100000
graphComp;2677580;6655;subset100000
graphComp;17084;47711;subset100000
graphComp;7429;69163;subset100000
graphComp;5586;24276;subset100000
graphComp;322385;150;subset100000
graphComp;3279;33403;subset100000
graphComp;3433;55390;subset100000
graphComp;3900;42651;subset100000
graphComp;5367;61758;subset100000
graphComp;3641;21241;subset100000
graphComp;37245;35936;subset100000
graphComp;3245;10942;subset100000
graphComp;2683;71487;subset100000
graphComp;8756;1543;subset100000
graphComp;3355;64992;subset100000
graphComp;7361;11922;subset100000
graphComp;4256;98802;subset100000
graphComp;2832;54722;subset100000
graphComp;4045;23728;subset100000
graphComp;31180;35497;subset100000
graphComp;4264;79990;subset100000
graphComp;3681;1607;subset100000
graphComp;3395;54140;subset100000
graphComp;4129;95105;subset100000
graphComp;2896;5280;subset100000
graphComp;2610;62308;subset100000
graphComp;2461;81827;subset100000
graphComp;8912;12820;subset100000
graphComp;2884;21184;subset100000
graphComp;19400;1222;subset100000
graphComp;2188;49311;subset100000
graphComp;21569;11173;subset100000
graphComp;120656;4022;subset100000
graphComp;139192;884;subset100000
graphComp;327268;1741;subset100000
graphComp;3871;66231;subset100000
graphComp;39979;8502;subset100000
graphComp;3749;62943;subset100000
graphComp;3028;98790;subset100000
graphComp;74372;1022;subset100000
graphComp;3314;85389;subset100000
graphComp;7484;3718;subset100000
graphComp;4985;18365;subset100000
graphComp;3901;17308;subset100000
graphComp;2021595;6723;subset100000
graphComp;3597;7822;subset100000
graphComp;4873;62996;subset100000
graphComp;74593;1794;subset100000
graphComp;5437;36188;subset100000
graphComp;3411;8194;subset100000
graphComp;4809;15695;subset100000
graphComp;2858;4864;subset100000
graphComp;5849;10744;subset100000
graphComp;2701;94593;subset100000
graphComp;2958;32849;subset100000
graphComp;2603;89014;subset100000
graphComp;2300;75996;subset100000
graphComp;2512;47322;subset100000
