Estructura;Tiempos;ID;SetDatos
graphGt;326643;314918;subset1000000
graphGt;836025;328716;subset1000000
graphGt;63122606;183;subset1000000
graphGt;260971;39367;subset1000000
graphGt;11195;252588;subset1000000
graphGt;8541;951120;subset1000000
graphGt;18477;78474;subset1000000
graphGt;5544;37473;subset1000000
graphGt;13009;873000;subset1000000
graphGt;10540;315574;subset1000000
graphGt;16146;982878;subset1000000
graphGt;142615;206381;subset1000000
graphGt;33397;331650;subset1000000
graphGt;126192;82059;subset1000000
graphGt;6251;656444;subset1000000
graphGt;7115;403929;subset1000000
graphGt;13831;532423;subset1000000
graphGt;16203;53356;subset1000000
graphGt;6345;700117;subset1000000
graphGt;3758424;525;subset1000000
graphGt;50760;170305;subset1000000
graphGt;10306;61225;subset1000000
graphGt;10896;862005;subset1000000
graphGt;8162;573214;subset1000000
graphGt;1681204;224;subset1000000
graphGt;3778482;60;subset1000000
graphGt;32039;14872;subset1000000
graphGt;7945;991072;subset1000000
graphGt;6962;670541;subset1000000
graphGt;17950577;16521;subset1000000
graphGt;96963;201584;subset1000000
graphGt;3821;785132;subset1000000
graphGt;7588;954963;subset1000000
graphGt;1182772;188094;subset1000000
graphGt;11567;235447;subset1000000
graphGt;6026761;40;subset1000000
graphGt;23912;31323;subset1000000
graphGt;10656;72351;subset1000000
graphGt;13333;336229;subset1000000
graphGt;4651;29309;subset1000000
graphGt;147474;875538;subset1000000
graphGt;353355;47912;subset1000000
graphGt;2229836;130232;subset1000000
graphGt;35447;580866;subset1000000
graphGt;5748;899669;subset1000000
graphGt;224364;23436;subset1000000
graphGt;101657735;5;subset1000000
graphGt;13702;837466;subset1000000
graphGt;3605;896266;subset1000000
graphGt;27121;10522;subset1000000
graphGt;5607730;36;subset1000000
graphGt;37550;855585;subset1000000
graphGt;11154;91199;subset1000000
graphGt;52191;31561;subset1000000
graphGt;4802;356415;subset1000000
graphGt;815286;219;subset1000000
graphGt;15834;408859;subset1000000
graphGt;11076;190563;subset1000000
graphGt;7728;266563;subset1000000
graphGt;7167;34117;subset1000000
graphGt;393503;35794;subset1000000
graphGt;7408;606779;subset1000000
graphGt;15842;954398;subset1000000
graphGt;5597;619074;subset1000000
graphGt;6301;718817;subset1000000
graphGt;6573;942275;subset1000000
graphGt;6272;560185;subset1000000
graphGt;3795;321774;subset1000000
graphGt;11072;159913;subset1000000
graphGt;23845529;188;subset1000000
graphGt;18408;558494;subset1000000
graphGt;188324;215536;subset1000000
graphGt;16060;106259;subset1000000
graphGt;58157;686826;subset1000000
graphGt;15967;104088;subset1000000
graphGt;33704;328131;subset1000000
graphGt;9168;350317;subset1000000
graphGt;6536;30277;subset1000000
graphGt;2616591;250867;subset1000000
graphGt;14479;53110;subset1000000
graphGt;14060;678775;subset1000000
graphGt;4593;943110;subset1000000
graphGt;5235;261365;subset1000000
graphGt;3904;336586;subset1000000
graphGt;12425;385350;subset1000000
graphGt;5651;480479;subset1000000
graphGt;15320;30937;subset1000000
graphGt;9474;377585;subset1000000
graphGt;12818;740623;subset1000000
graphGt;9417;261271;subset1000000
graphGt;11741;853464;subset1000000
graphGt;9993;766562;subset1000000
graphGt;9177;316205;subset1000000
graphGt;5931;176398;subset1000000
graphGt;6598;857125;subset1000000
graphGt;27770;256744;subset1000000
graphGt;18549;41343;subset1000000
graphGt;6419;551782;subset1000000
graphGt;67087;796754;subset1000000
graphGt;22543708;142;subset1000000
graphGt;10946;752433;subset1000000
graphGt;12265;261846;subset1000000
graphGt;52818;3771;subset1000000
graphGt;6556;523503;subset1000000
graphGt;5353;57701;subset1000000
graphGt;3648;432328;subset1000000
graphGt;5886;819460;subset1000000
graphGt;4400;896818;subset1000000
graphGt;201182;314851;subset1000000
graphGt;8367;96494;subset1000000
graphGt;41821;13844;subset1000000
graphGt;4060;57597;subset1000000
graphGt;15763;651722;subset1000000
graphGt;5551;874978;subset1000000
graphGt;3916;411169;subset1000000
graphGt;4328;800386;subset1000000
graphGt;4310;508698;subset1000000
graphGt;215054;150139;subset1000000
graphGt;6392;172902;subset1000000
graphGt;9781;3043;subset1000000
graphGt;79722;921;subset1000000
graphGt;3608;886338;subset1000000
graphGt;3748;240588;subset1000000
graphGt;8965;635489;subset1000000
graphGt;68374;714352;subset1000000
graphGt;4370;168151;subset1000000
graphGt;2953;853115;subset1000000
graphGt;255592;215622;subset1000000
graphGt;5192;861080;subset1000000
graphGt;7099;195697;subset1000000
graphGt;4891;91378;subset1000000
graphGt;4927;25088;subset1000000
graphGt;12739;591832;subset1000000
graphGt;7835;663981;subset1000000
graphGt;5612;717741;subset1000000
graphGt;9245;253348;subset1000000
graphGt;3614;202133;subset1000000
graphGt;4807;744872;subset1000000
graphGt;115214;131603;subset1000000
graphGt;9204;348512;subset1000000
graphGt;10617;798797;subset1000000
graphGt;9918;269516;subset1000000
graphGt;20665;76546;subset1000000
graphGt;8219;149110;subset1000000
graphGt;6038;439237;subset1000000
graphGt;10256;21802;subset1000000
graphGt;4055;633408;subset1000000
graphGt;9585;637739;subset1000000
graphGt;4356;176169;subset1000000
graphGt;43590;1093;subset1000000
graphGt;6071;773188;subset1000000
graphGt;2411618;884;subset1000000
