Estructura;Tiempos;ID;SetDatos
graphNativeFullDense;66423;314918;subset1000000
graphNativeFullDense;480420;328716;subset1000000
graphNativeFullDense;47819535;183;subset1000000
graphNativeFullDense;234861;39367;subset1000000
graphNativeFullDense;12253;252588;subset1000000
graphNativeFullDense;4988;951120;subset1000000
graphNativeFullDense;18879;78474;subset1000000
graphNativeFullDense;17891;37473;subset1000000
graphNativeFullDense;17774;873000;subset1000000
graphNativeFullDense;11951;315574;subset1000000
graphNativeFullDense;14250;982878;subset1000000
graphNativeFullDense;120632;206381;subset1000000
graphNativeFullDense;25784;331650;subset1000000
graphNativeFullDense;135772;82059;subset1000000
graphNativeFullDense;11732;656444;subset1000000
graphNativeFullDense;11768;403929;subset1000000
graphNativeFullDense;17683;532423;subset1000000
graphNativeFullDense;10832;53356;subset1000000
graphNativeFullDense;12230;700117;subset1000000
graphNativeFullDense;4005391;525;subset1000000
graphNativeFullDense;56705;170305;subset1000000
graphNativeFullDense;10138;61225;subset1000000
graphNativeFullDense;16478;862005;subset1000000
graphNativeFullDense;11232;573214;subset1000000
graphNativeFullDense;1914296;224;subset1000000
graphNativeFullDense;3674486;60;subset1000000
graphNativeFullDense;53391;14872;subset1000000
graphNativeFullDense;15925;991072;subset1000000
graphNativeFullDense;12824;670541;subset1000000
graphNativeFullDense;12543780;16521;subset1000000
graphNativeFullDense;76943;201584;subset1000000
graphNativeFullDense;11090;785132;subset1000000
graphNativeFullDense;9634;954963;subset1000000
graphNativeFullDense;1061380;188094;subset1000000
graphNativeFullDense;19701;235447;subset1000000
graphNativeFullDense;4515764;40;subset1000000
graphNativeFullDense;26240;31323;subset1000000
graphNativeFullDense;9574;72351;subset1000000
graphNativeFullDense;18300;336229;subset1000000
graphNativeFullDense;7278;29309;subset1000000
graphNativeFullDense;149015;875538;subset1000000
graphNativeFullDense;338481;47912;subset1000000
graphNativeFullDense;2029076;130232;subset1000000
graphNativeFullDense;32285;580866;subset1000000
graphNativeFullDense;9905;899669;subset1000000
graphNativeFullDense;235556;23436;subset1000000
graphNativeFullDense;58035816;5;subset1000000
graphNativeFullDense;20522;837466;subset1000000
graphNativeFullDense;10480;896266;subset1000000
graphNativeFullDense;39151;10522;subset1000000
graphNativeFullDense;5283960;36;subset1000000
graphNativeFullDense;40148;855585;subset1000000
graphNativeFullDense;16116;91199;subset1000000
graphNativeFullDense;51774;31561;subset1000000
graphNativeFullDense;16115;356415;subset1000000
graphNativeFullDense;694266;219;subset1000000
graphNativeFullDense;7586;408859;subset1000000
graphNativeFullDense;19524;190563;subset1000000
graphNativeFullDense;10077;266563;subset1000000
graphNativeFullDense;10064;34117;subset1000000
graphNativeFullDense;367807;35794;subset1000000
graphNativeFullDense;11477;606779;subset1000000
graphNativeFullDense;14802;954398;subset1000000
graphNativeFullDense;14667;619074;subset1000000
graphNativeFullDense;5866;718817;subset1000000
graphNativeFullDense;8671;942275;subset1000000
graphNativeFullDense;5347;560185;subset1000000
graphNativeFullDense;6095;321774;subset1000000
graphNativeFullDense;11935;159913;subset1000000
graphNativeFullDense;16070625;188;subset1000000
graphNativeFullDense;19637;558494;subset1000000
graphNativeFullDense;207661;215536;subset1000000
graphNativeFullDense;12974;106259;subset1000000
graphNativeFullDense;66905;686826;subset1000000
graphNativeFullDense;8295;104088;subset1000000
graphNativeFullDense;10697;328131;subset1000000
graphNativeFullDense;8944;350317;subset1000000
graphNativeFullDense;21671;30277;subset1000000
graphNativeFullDense;2454748;250867;subset1000000
graphNativeFullDense;15166;53110;subset1000000
graphNativeFullDense;17823;678775;subset1000000
graphNativeFullDense;12528;943110;subset1000000
graphNativeFullDense;12819;261365;subset1000000
graphNativeFullDense;8298;336586;subset1000000
graphNativeFullDense;14738;385350;subset1000000
graphNativeFullDense;17384;480479;subset1000000
graphNativeFullDense;11123;30937;subset1000000
graphNativeFullDense;0;377585;subset1000000
graphNativeFullDense;5846;740623;subset1000000
graphNativeFullDense;3478;261271;subset1000000
graphNativeFullDense;15056;853464;subset1000000
graphNativeFullDense;15229;766562;subset1000000
graphNativeFullDense;8503;316205;subset1000000
graphNativeFullDense;14871;176398;subset1000000
graphNativeFullDense;5643;857125;subset1000000
graphNativeFullDense;24045;256744;subset1000000
graphNativeFullDense;18659;41343;subset1000000
graphNativeFullDense;12125;551782;subset1000000
graphNativeFullDense;58704;796754;subset1000000
