Estructura;Tiempos;ID;SetDatos
graphNativeFull;72034;8147;subset100000
graphNativeFull;18498;51192;subset100000
graphNativeFull;11862;22296;subset100000
graphNativeFull;20658;11096;subset100000
graphNativeFull;123634;31615;subset100000
graphNativeFull;17713;9738;subset100000
graphNativeFull;10186;54212;subset100000
graphNativeFull;301081;6760;subset100000
graphNativeFull;544608;27306;subset100000
graphNativeFull;180972;224;subset100000
graphNativeFull;6604;71371;subset100000
graphNativeFull;4120;66822;subset100000
graphNativeFull;14346;47325;subset100000
graphNativeFull;7060;51302;subset100000
graphNativeFull;6551;79056;subset100000
graphNativeFull;3271;50396;subset100000
graphNativeFull;611913;1321;subset100000
graphNativeFull;7985;43682;subset100000
graphNativeFull;1662316;40;subset100000
graphNativeFull;5262;74323;subset100000
graphNativeFull;4024;28648;subset100000
graphNativeFull;13629601;5;subset100000
graphNativeFull;8285;55479;subset100000
graphNativeFull;6575;55707;subset100000
graphNativeFull;8529;22480;subset100000
graphNativeFull;4675;50795;subset100000
graphNativeFull;6389;7215;subset100000
graphNativeFull;8954;20244;subset100000
graphNativeFull;4495;74885;subset100000
graphNativeFull;8852461;188;subset100000
graphNativeFull;1710959;82955;subset100000
graphNativeFull;25564;17742;subset100000
graphNativeFull;4462;97060;subset100000
graphNativeFull;6895;13816;subset100000
graphNativeFull;20813;7965;subset100000
graphNativeFull;4386;13642;subset100000
graphNativeFull;23359;12722;subset100000
graphNativeFull;54551;462;subset100000
graphNativeFull;3824;69836;subset100000
graphNativeFull;2838;96252;subset100000
graphNativeFull;120815;37922;subset100000
graphNativeFull;54753;5390;subset100000
graphNativeFull;1379155;64;subset100000
graphNativeFull;3478;49338;subset100000
graphNativeFull;2821;70641;subset100000
graphNativeFull;23663;7070;subset100000
graphNativeFull;3592;64129;subset100000
graphNativeFull;5671;21210;subset100000
graphNativeFull;200817;33;subset100000
graphNativeFull;2414;17149;subset100000
graphNativeFull;4492;65925;subset100000
graphNativeFull;4481;46184;subset100000
graphNativeFull;3968;76887;subset100000
graphNativeFull;2818;25513;subset100000
graphNativeFull;3031;88118;subset100000
graphNativeFull;2580;94090;subset100000
graphNativeFull;2231;97725;subset100000
graphNativeFull;6587;21501;subset100000
graphNativeFull;409471;148;subset100000
graphNativeFull;5380;20435;subset100000
graphNativeFull;4522;94588;subset100000
graphNativeFull;32701;16126;subset100000
graphNativeFull;5313;54656;subset100000
graphNativeFull;50666;7850;subset100000
graphNativeFull;3118654;30;subset100000
graphNativeFull;31920;7979;subset100000
graphNativeFull;7891;5340;subset100000
graphNativeFull;4482;69812;subset100000
graphNativeFull;6074;73892;subset100000
graphNativeFull;9648;51935;subset100000
graphNativeFull;2673;99690;subset100000
graphNativeFull;7544;55062;subset100000
graphNativeFull;69589;1016;subset100000
graphNativeFull;2790;86449;subset100000
graphNativeFull;3024;74317;subset100000
graphNativeFull;4004;2852;subset100000
graphNativeFull;3211;94961;subset100000
graphNativeFull;2877;9342;subset100000
graphNativeFull;5460;17419;subset100000
graphNativeFull;8122;14925;subset100000
graphNativeFull;4671;45124;subset100000
graphNativeFull;6175;20365;subset100000
graphNativeFull;96859;129;subset100000
graphNativeFull;2000;42679;subset100000
graphNativeFull;73504;127;subset100000
graphNativeFull;3563;328;subset100000
graphNativeFull;7967;6478;subset100000
graphNativeFull;16546;28640;subset100000
graphNativeFull;85753;403;subset100000
graphNativeFull;2614;72308;subset100000
graphNativeFull;6209766;183;subset100000
graphNativeFull;3878;62676;subset100000
graphNativeFull;4249033;6655;subset100000
graphNativeFull;8485;47711;subset100000
graphNativeFull;4190;69163;subset100000
graphNativeFull;10538;24276;subset100000
graphNativeFull;989587;150;subset100000
graphNativeFull;5555;33403;subset100000
graphNativeFull;3242;55390;subset100000
graphNativeFull;6609;42651;subset100000
graphNativeFull;7446;61758;subset100000
graphNativeFull;4597;21241;subset100000
graphNativeFull;114521;35936;subset100000
graphNativeFull;3079;10942;subset100000
graphNativeFull;3213;71487;subset100000
graphNativeFull;19874;1543;subset100000
graphNativeFull;4363;64992;subset100000
graphNativeFull;14351;11922;subset100000
graphNativeFull;2818;98802;subset100000
graphNativeFull;4102;54722;subset100000
graphNativeFull;4416;23728;subset100000
graphNativeFull;84601;35497;subset100000
graphNativeFull;6580;79990;subset100000
graphNativeFull;5833;1607;subset100000
graphNativeFull;4419;54140;subset100000
graphNativeFull;4110;95105;subset100000
graphNativeFull;3970;5280;subset100000
graphNativeFull;2783;62308;subset100000
graphNativeFull;2748;81827;subset100000
graphNativeFull;19402;12820;subset100000
graphNativeFull;2940;21184;subset100000
graphNativeFull;43754;1222;subset100000
graphNativeFull;2663;49311;subset100000
graphNativeFull;65556;11173;subset100000
graphNativeFull;348931;4022;subset100000
graphNativeFull;263594;884;subset100000
graphNativeFull;790228;1741;subset100000
graphNativeFull;5582;66231;subset100000
graphNativeFull;113513;8502;subset100000
graphNativeFull;4402;62943;subset100000
graphNativeFull;2666;98790;subset100000
graphNativeFull;210225;1022;subset100000
graphNativeFull;3938;85389;subset100000
graphNativeFull;15072;3718;subset100000
graphNativeFull;6879;18365;subset100000
graphNativeFull;5824;17308;subset100000
graphNativeFull;3756517;6723;subset100000
graphNativeFull;17202;7822;subset100000
graphNativeFull;5916;62996;subset100000
graphNativeFull;182949;1794;subset100000
graphNativeFull;11529;36188;subset100000
graphNativeFull;4002;8194;subset100000
graphNativeFull;5368;15695;subset100000
graphNativeFull;2781;4864;subset100000
graphNativeFull;8085;10744;subset100000
graphNativeFull;2658;94593;subset100000
graphNativeFull;3167;32849;subset100000
graphNativeFull;2471;89014;subset100000
graphNativeFull;2251;75996;subset100000
graphNativeFull;2753;47322;subset100000
graphNativeFull;5578;7113;subset100000
graphNativeFull;3663;86974;subset100000
graphNativeFull;327212;36834;subset100000
graphNativeFull;22291;2936;subset100000
graphNativeFull;19011;1223;subset100000
graphNativeFull;3790;47384;subset100000
graphNativeFull;5460;9004;subset100000
graphNativeFull;2996;61279;subset100000
graphNativeFull;26254;971;subset100000
graphNativeFull;14073;124;subset100000
graphNativeFull;3245;71574;subset100000
graphNativeFull;2162;98274;subset100000
graphNativeFull;22584;33506;subset100000
graphNativeFull;2750;91521;subset100000
graphNativeFull;2821;93368;subset100000
graphNativeFull;2149;92437;subset100000
graphNativeFull;3173;10536;subset100000
graphNativeFull;2142;28736;subset100000
graphNativeFull;1979;74995;subset100000
graphNativeFull;16617;3805;subset100000
graphNativeFull;4190;15971;subset100000
graphNativeFull;59650;1721;subset100000
graphNativeFull;33974;4100;subset100000
graphNativeFull;3669;57594;subset100000
graphNativeFull;2352;90238;subset100000
graphNativeFull;2563;26782;subset100000
graphNativeFull;4081;61890;subset100000
graphNativeFull;3671;42802;subset100000
graphNativeFull;2220;60544;subset100000
graphNativeFull;2809;67808;subset100000
graphNativeFull;3402;62559;subset100000
graphNativeFull;3590;53317;subset100000
graphNativeFull;5622;45643;subset100000
graphNativeFull;615950;16521;subset100000
graphNativeFull;3425;93075;subset100000
graphNativeFull;2600;50796;subset100000
graphNativeFull;3608;14385;subset100000
graphNativeFull;3090;64302;subset100000
graphNativeFull;2865;80390;subset100000
graphNativeFull;7850;15701;subset100000
graphNativeFull;2483;86621;subset100000
graphNativeFull;584992;159;subset100000
graphNativeFull;292756;652;subset100000
graphNativeFull;4202;23582;subset100000
graphNativeFull;2583;83033;subset100000
graphNativeFull;3342;70900;subset100000
graphNativeFull;3027;63528;subset100000
graphNativeFull;2388036;1860;subset100000
graphNativeFull;12050;710;subset100000
graphNativeFull;1995;84351;subset100000
graphNativeFull;5394;53193;subset100000
graphNativeFull;2961;71533;subset100000
graphNativeFull;2176;42203;subset100000
graphNativeFull;2486;77573;subset100000
graphNativeFull;2762;68507;subset100000
graphNativeFull;2140;86672;subset100000
graphNativeFull;4837;99172;subset100000
graphNativeFull;5834;679;subset100000
graphNativeFull;4528;16796;subset100000
graphNativeFull;426252;361;subset100000
graphNativeFull;38397;657;subset100000
graphNativeFull;523185;33999;subset100000
graphNativeFull;2232;4633;subset100000
graphNativeFull;11577;20921;subset100000
graphNativeFull;4672;50111;subset100000
graphNativeFull;5424;27645;subset100000
graphNativeFull;2533;96165;subset100000
graphNativeFull;2213;71347;subset100000
graphNativeFull;3417;18423;subset100000
graphNativeFull;9824;40435;subset100000
graphNativeFull;2271;58144;subset100000
graphNativeFull;5796;71154;subset100000
graphNativeFull;3667;70091;subset100000
graphNativeFull;2422;80980;subset100000
graphNativeFull;1580;78357;subset100000
graphNativeFull;152469;31;subset100000
graphNativeFull;169823;1731;subset100000
graphNativeFull;42088;12770;subset100000
graphNativeFull;2473;73959;subset100000
graphNativeFull;31840;16153;subset100000
graphNativeFull;2733;85030;subset100000
graphNativeFull;7339;13730;subset100000
graphNativeFull;76613;19652;subset100000
graphNativeFull;2032;96853;subset100000
graphNativeFull;31595;6779;subset100000
graphNativeFull;4793;66036;subset100000
graphNativeFull;145180;43;subset100000
graphNativeFull;169251;44687;subset100000
graphNativeFull;6979;20241;subset100000
graphNativeFull;22554;8150;subset100000
graphNativeFull;2214;50398;subset100000
graphNativeFull;3825;5354;subset100000
graphNativeFull;22316;16134;subset100000
graphNativeFull;2306;29073;subset100000
graphNativeFull;10880;7749;subset100000
graphNativeFull;3112;67229;subset100000
graphNativeFull;2971;1920;subset100000
