Estructura;Tiempos;ID;SetDatos
graphNative;6933678;2887;subset10000000
graphNative;42663;949679;subset10000000
graphNative;647786;2367525;subset10000000
graphNative;855562;484652;subset10000000
graphNative;28990;4941142;subset10000000
graphNative;12787;6483864;subset10000000
graphNative;58634;505174;subset10000000
graphNative;8981;3607890;subset10000000
graphNative;563227751;6581097;subset10000000
graphNative;83636;5349988;subset10000000
graphNative;94399;588351;subset10000000
graphNative;6626;6432385;subset10000000
graphNative;2525452;1076486;subset10000000
graphNative;17131715;542;subset10000000
graphNative;6897;1557254;subset10000000
graphNative;5224;8342293;subset10000000
graphNative;720813;463281;subset10000000
graphNative;3738886;183387;subset10000000
graphNative;6618016;11446;subset10000000
graphNative;8029;4964746;subset10000000
graphNative;4418;5320917;subset10000000
graphNative;741818276;5;subset10000000
graphNative;87583;940758;subset10000000
graphNative;4641;3640333;subset10000000
graphNative;4501;4061458;subset10000000
graphNative;40342;1425;subset10000000
graphNative;25336;123741;subset10000000
graphNative;61807761;150;subset10000000
graphNative;17884;84762;subset10000000
graphNative;3211;1695980;subset10000000
graphNative;216082591;7432;subset10000000
graphNative;9303;8950372;subset10000000
graphNative;265341996;4167836;subset10000000
graphNative;9907;8470960;subset10000000
graphNative;4291;3186004;subset10000000
graphNative;5275;2464137;subset10000000
graphNative;6406;4079937;subset10000000
graphNative;1651818;1773;subset10000000
graphNative;80065;37327;subset10000000
graphNative;9255;7906570;subset10000000
graphNative;9035;768964;subset10000000
graphNative;5484;6199979;subset10000000
graphNative;31186;1062125;subset10000000
graphNative;4824;2373318;subset10000000
graphNative;211373;154835;subset10000000
graphNative;4733;4355506;subset10000000
graphNative;154277;1259617;subset10000000
graphNative;4586;1328087;subset10000000
graphNative;15076254;838368;subset10000000
graphNative;438733;173782;subset10000000
graphNative;154790;3344193;subset10000000
graphNative;6745749;185351;subset10000000
graphNative;5498;7929252;subset10000000
graphNative;77899025;6723;subset10000000
graphNative;11232;1804827;subset10000000
graphNative;2540539;35497;subset10000000
graphNative;5570;1765351;subset10000000
graphNative;7343;385380;subset10000000
graphNative;6067;9273473;subset10000000
graphNative;7968;676047;subset10000000
graphNative;5474;5934361;subset10000000
graphNative;8715;6282249;subset10000000
graphNative;765231;302;subset10000000
graphNative;2003403;350979;subset10000000
graphNative;15375274;280658;subset10000000
graphNative;2623980;7163;subset10000000
graphNative;9385;3367716;subset10000000
graphNative;19904;681787;subset10000000
graphNative;35417;14747;subset10000000
graphNative;13164;78120;subset10000000
graphNative;8261711;253019;subset10000000
graphNative;21693;2745996;subset10000000
graphNative;4386;2362862;subset10000000
graphNative;13356;2576159;subset10000000
graphNative;23531;8081507;subset10000000
graphNative;37737845;532;subset10000000
graphNative;22031;3187229;subset10000000
graphNative;40372;616313;subset10000000
graphNative;9787;767537;subset10000000
graphNative;52383251;937857;subset10000000
graphNative;9765;6155514;subset10000000
graphNative;701586;7987;subset10000000
graphNative;6268;4135074;subset10000000
graphNative;334806;2425;subset10000000
graphNative;6037;3440667;subset10000000
graphNative;4342;583215;subset10000000
graphNative;5253;6270258;subset10000000
graphNative;8622;1767705;subset10000000
graphNative;102882;1780231;subset10000000
graphNative;47707608;38;subset10000000
graphNative;7480;3496026;subset10000000
graphNative;6144;6440156;subset10000000
graphNative;1690325;9058;subset10000000
graphNative;4307;5659748;subset10000000
graphNative;3917;3055782;subset10000000
graphNative;3947;4074644;subset10000000
graphNative;435797;2532287;subset10000000
graphNative;696974;546;subset10000000
graphNative;19802;690444;subset10000000
graphNative;26882;818540;subset10000000
graphNative;6390;3055361;subset10000000
graphNative;6130;2539882;subset10000000
graphNative;315426676;30;subset10000000
graphNative;28771;6093842;subset10000000
graphNative;13959178;64;subset10000000
graphNative;2407002;3464665;subset10000000
graphNative;5586;7859954;subset10000000
graphNative;45562353;29;subset10000000
graphNative;36726;228648;subset10000000
graphNative;5997;1160107;subset10000000
graphNative;4632;5369693;subset10000000
graphNative;15281;4888080;subset10000000
graphNative;6769089;222910;subset10000000
graphNative;7680;2073536;subset10000000
graphNative;29656;7791;subset10000000
graphNative;33365;388091;subset10000000
graphNative;4409;172342;subset10000000
graphNative;28962;75866;subset10000000
graphNative;6653;4179613;subset10000000
graphNative;4480;134340;subset10000000
graphNative;10775;1851004;subset10000000
graphNative;5328;2085350;subset10000000
graphNative;8655;1997515;subset10000000
graphNative;14041;876563;subset10000000
graphNative;132944;796174;subset10000000
graphNative;8550;142253;subset10000000
graphNative;634237;34636;subset10000000
graphNative;14304;1284970;subset10000000
graphNative;4436084;8577;subset10000000
graphNative;10847;503992;subset10000000
graphNative;7047;2478999;subset10000000
graphNative;2966;3441613;subset10000000
graphNative;5781;716316;subset10000000
graphNative;480075;738258;subset10000000
graphNative;4452;2886997;subset10000000
graphNative;3556661;9176;subset10000000
graphNative;9105;3898690;subset10000000
graphNative;12673548;2179;subset10000000
graphNative;5659;1069740;subset10000000
graphNative;28628605;1622272;subset10000000
graphNative;11818;5316337;subset10000000
graphNative;3678;4840550;subset10000000
graphNative;5494202;397;subset10000000
graphNative;6384;3089426;subset10000000
graphNative;20536312;43;subset10000000
graphNative;5978;1779870;subset10000000
graphNative;5461;8237344;subset10000000
graphNative;4184;4673691;subset10000000
graphNative;4834;1549483;subset10000000
graphNative;5327310;215;subset10000000
graphNative;58917;906932;subset10000000
graphNative;24345;2543219;subset10000000
graphNative;134864;2106585;subset10000000
graphNative;5019;7452435;subset10000000
graphNative;12529;1948496;subset10000000
graphNative;21346;2417243;subset10000000
graphNative;7781604;298;subset10000000
graphNative;10221283;43845;subset10000000
graphNative;5426;5143560;subset10000000
graphNative;4234;8273160;subset10000000
graphNative;44260544;159;subset10000000
graphNative;13926710;723685;subset10000000
graphNative;35928;365042;subset10000000
graphNative;36006;490472;subset10000000
graphNative;307405;2671214;subset10000000
graphNative;48852;3525052;subset10000000
graphNative;20623;3577920;subset10000000
graphNative;3927;5830079;subset10000000
graphNative;3483;8301082;subset10000000
graphNative;6934;6027498;subset10000000
graphNative;66413;2819143;subset10000000
graphNative;9243;1219859;subset10000000
graphNative;13753312;639669;subset10000000
graphNative;7749;6216635;subset10000000
graphNative;4985;146831;subset10000000
graphNative;13014;862388;subset10000000
graphNative;4483;3424498;subset10000000
graphNative;6715;8079576;subset10000000
graphNative;3817;4251559;subset10000000
graphNative;11258;1312941;subset10000000
graphNative;3448;7681437;subset10000000
graphNative;109147;580499;subset10000000
graphNative;545653;1209;subset10000000
graphNative;48914;117413;subset10000000
graphNative;5023378;1529096;subset10000000
graphNative;201871935;16521;subset10000000
graphNative;10854;4706087;subset10000000
graphNative;6161;9382578;subset10000000
graphNative;4505;2950301;subset10000000
graphNative;33089115;408;subset10000000
graphNative;8381;9126131;subset10000000
graphNative;31215;539040;subset10000000
graphNative;3980;6662057;subset10000000
graphNative;6990;115029;subset10000000
graphNative;6476;6093443;subset10000000
graphNative;4638;5018942;subset10000000
graphNative;490168;1517387;subset10000000
graphNative;5660;2242786;subset10000000
graphNative;6509;3592161;subset10000000
graphNative;16289;1155807;subset10000000
graphNative;11780;6701537;subset10000000
graphNative;9577;6178406;subset10000000
graphNative;8904;375709;subset10000000
graphNative;7197;1747719;subset10000000
graphNative;311450;730809;subset10000000
graphNative;48145;485746;subset10000000
graphNative;5024;3935730;subset10000000
graphNative;2483;4277669;subset10000000
graphNative;12827273;5369;subset10000000
graphNative;201772611;1860;subset10000000
graphNative;21983764;7725634;subset10000000
graphNative;11528;4431871;subset10000000
graphNative;9555981;42973;subset10000000
graphNative;9565;574871;subset10000000
graphNative;26478628;4830453;subset10000000
graphNative;7712;1734821;subset10000000
graphNative;28753621;652;subset10000000
graphNative;8242;6610824;subset10000000
graphNative;4244;7710485;subset10000000
graphNative;2201602;48;subset10000000
graphNative;141583;207587;subset10000000
graphNative;5946;3289637;subset10000000
graphNative;4045;298291;subset10000000
graphNative;4989;824638;subset10000000
graphNative;174188840;4167410;subset10000000
graphNative;370482;228891;subset10000000
graphNative;94861071;82955;subset10000000
graphNative;102277482;183;subset10000000
graphNative;42057;6516;subset10000000
graphNative;6937;5336252;subset10000000
graphNative;5315;4134660;subset10000000
graphNative;8601;5072380;subset10000000
graphNative;6119;5416149;subset10000000
graphNative;1039970;7842;subset10000000
graphNative;5108;6294803;subset10000000
graphNative;18986;6115042;subset10000000
graphNative;552874;175622;subset10000000
graphNative;7398;1951274;subset10000000
graphNative;75325;7373601;subset10000000
graphNative;5509;7697573;subset10000000
graphNative;4929861;2065736;subset10000000
graphNative;25488;4842316;subset10000000
graphNative;3998;6127112;subset10000000
graphNative;160952;1062710;subset10000000
graphNative;6687;3111412;subset10000000
graphNative;105871;15615;subset10000000
graphNative;28585249;668;subset10000000
graphNative;5564;2132790;subset10000000
graphNative;6937;1459575;subset10000000
graphNative;188432;460494;subset10000000
graphNative;24709;203273;subset10000000
graphNative;9436;311283;subset10000000
graphNative;17710;437262;subset10000000
graphNative;5266;1235228;subset10000000
graphNative;2513;5089194;subset10000000
graphNative;4706;505279;subset10000000
graphNative;8808;1292533;subset10000000
graphNative;47585895;16;subset10000000
graphNative;8505;8257053;subset10000000
graphNative;5335;8047944;subset10000000
graphNative;30540;55994;subset10000000
graphNative;60941;1757023;subset10000000
graphNative;10277;4356883;subset10000000
graphNative;6583;5537180;subset10000000
graphNative;28082;7196350;subset10000000
graphNative;11565378;649;subset10000000
graphNative;26282;1500880;subset10000000
graphNative;107512;42934;subset10000000
graphNative;363943;1079140;subset10000000
graphNative;3717;7868421;subset10000000
graphNative;11890;7440840;subset10000000
graphNative;20475;921437;subset10000000
graphNative;3618;7384611;subset10000000
graphNative;302682;587090;subset10000000
graphNative;4645;3938451;subset10000000
graphNative;3913;4391020;subset10000000
graphNative;5148;8154867;subset10000000
graphNative;86905;2517263;subset10000000
graphNative;5744;2321277;subset10000000
graphNative;29675605;34740;subset10000000
graphNative;9137;3795348;subset10000000
graphNative;16816022;55488;subset10000000
graphNative;9818;332826;subset10000000
graphNative;7475888;1264450;subset10000000
graphNative;7708;8030037;subset10000000
graphNative;13898;5266978;subset10000000
graphNative;4028;719280;subset10000000
graphNative;3687;5271441;subset10000000
graphNative;5123;8135958;subset10000000
graphNative;28396116;794;subset10000000
graphNative;7124;4345854;subset10000000
graphNative;656520;1361;subset10000000
graphNative;4919;4161997;subset10000000
graphNative;4232;381675;subset10000000
graphNative;88433;5128236;subset10000000
graphNative;922345;945;subset10000000
graphNative;8213;2557659;subset10000000
graphNative;5895;1368852;subset10000000
graphNative;4173;470148;subset10000000
graphNative;18492;1383559;subset10000000
graphNative;3994;1417682;subset10000000
graphNative;3730;6151663;subset10000000
graphNative;5279;1471087;subset10000000
graphNative;6147;185535;subset10000000
graphNative;11263;3109747;subset10000000
graphNative;5052;7083244;subset10000000
graphNative;127563;45798;subset10000000
graphNative;6122;3663756;subset10000000
graphNative;17395955;211005;subset10000000
graphNative;17641;332467;subset10000000
graphNative;13702;3070648;subset10000000
graphNative;12892321;8261;subset10000000
graphNative;27455427;1930187;subset10000000
graphNative;6618;3439147;subset10000000
graphNative;67513;175945;subset10000000
graphNative;115043;3496952;subset10000000
graphNative;6500;6802078;subset10000000
graphNative;9405099;476028;subset10000000
graphNative;5583;4949118;subset10000000
