Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;cuadra;2;60001;12821987328
graphCompDense;1;cuadra;8257;60001;11664359424
graphCompDense;2;cuadra;192;60001;14956888064
graphCompDense;3;cuadra;816;60001;10959716352
graphCompDense;4;cuadra;99;60001;13778288640
graphCompDense;5;cuadra;23;60344;13228834816
graphCompDense;6;cuadra;103;60001;13790871552
graphCompDense;7;cuadra;75;60845;13233029120
graphCompDense;8;cuadra;10065;60001;13920894976
graphCompDense;9;cuadra;50;60001;11962155008
graphCompDense;10;cuadra;18390;60001;12658409472
graphCompDense;11;cuadra;10495;60001;12926844928
graphCompDense;12;cuadra;2308;61142;13216251904
graphCompDense;13;cuadra;4448;60001;13446938624
graphCompDense;14;cuadra;225;60001;13144948736
graphCompDense;15;cuadra;1279;60001;12721324032
graphCompDense;16;cuadra;76;62052;13245612032
graphCompDense;17;cuadra;141;62371;13245612032
graphCompDense;18;cuadra;40885;60001;12142510080
graphCompDense;19;cuadra;201;60001;12729712640
graphCompDense;20;cuadra;95;62451;13052674048
graphCompDense;21;cuadra;2341;60020;5674893312
graphCompDense;22;cuadra;86;60001;14147387392
graphCompDense;23;cuadra;75;60634;13233029120
graphCompDense;24;cuadra;249;60714;13170114560
graphCompDense;25;cuadra;1224;61031;13308526592
graphCompDense;26;cuadra;351028;60001;9235857408
graphCompDense;27;cuadra;1375;61896;13115588608
graphCompDense;28;cuadra;19604;60004;1551892480
graphCompDense;29;cuadra;3548;60001;10867441664
graphCompDense;30;cuadra;4;60001;11479810048
graphCompDense;31;cuadra;168;62286;13228834816
graphCompDense;32;cuadra;2023;60001;11299454976
graphCompDense;33;cuadra;1697;60016;7260340224
graphCompDense;34;cuadra;7502;60011;7839154176
graphCompDense;35;cuadra;172;60001;13656653824
graphCompDense;36;cuadra;1716;60006;6991904768
graphCompDense;37;cuadra;124;60381;13245612032
graphCompDense;38;cuadra;9750;60003;8904507392
graphCompDense;39;cuadra;183;60001;6505365504
graphCompDense;40;cuadra;1098020;60001;6920601600
graphCompDense;41;cuadra;14;60001;11748245504
graphCompDense;42;cuadra;1014;60001;13149143040
graphCompDense;43;cuadra;108;60425;13237223424
graphCompDense;44;cuadra;132;60154;13212057600
graphCompDense;45;cuadra;190377;60001;2835349504
graphCompDense;46;cuadra;1634;60013;7243563008
graphCompDense;47;cuadra;9680;60001;13593739264
graphCompDense;48;cuadra;496;60360;11748245504
graphCompDense;49;cuadra;31;60001;12738101248
graphCompDense;50;cuadra;64921;60001;13736345600
graphCompDense;51;cuadra;115;60492;13224640512
graphCompDense;52;cuadra;37;60729;13228834816
graphCompDense;53;cuadra;140;61319;13228834816
graphCompDense;54;cuadra;216;60001;12918456320
graphCompDense;55;cuadra;1702;60207;8896118784
graphCompDense;56;cuadra;2256;60001;3058004016
graphCompDense;57;cuadra;118;60897;13203668992
graphCompDense;58;cuadra;34;60887;13233029120
graphCompDense;59;cuadra;20;61888;13233029120
graphCompDense;60;cuadra;257;60001;12780044288
graphCompDense;61;cuadra;76;60001;11886657536
graphCompDense;62;cuadra;75;61601;13233029120
graphCompDense;63;cuadra;3692;60001;14310965248
graphCompDense;64;cuadra;120;62243;13224640512
graphCompDense;65;cuadra;413;60001;11710496768
graphCompDense;66;cuadra;116;61418;13228834816
graphCompDense;67;cuadra;32975;61067;12717129728
graphCompDense;68;cuadra;110;61486;13228834816
graphCompDense;69;cuadra;157;60747;13241417728
graphCompDense;70;cuadra;263;60001;12893290496
graphCompDense;71;cuadra;1340;60936;12838764544
graphCompDense;72;cuadra;195527;60001;3372429824
graphCompDense;73;cuadra;578;60001;11949572096
graphCompDense;74;cuadra;1599;60001;11769217024
graphCompDense;75;cuadra;38712;60001;2293806912
graphCompDense;76;cuadra;19;60420;12813598720
graphCompDense;77;cuadra;0;60001;9797894144
graphCompDense;78;cuadra;123;61878;13233029120
graphCompDense;79;cuadra;71;61228;13228834816
graphCompDense;80;cuadra;55;60776;13233029120
graphCompDense;81;cuadra;2;60071;13233029120
graphCompDense;82;cuadra;484;60001;11148460032
graphCompDense;83;cuadra;20813;60001;13782482944
graphCompDense;84;cuadra;65314;60241;11362369536
graphCompDense;85;cuadra;165;60001;12817793024
graphCompDense;86;cuadra;145;60844;13199474688
graphCompDense;87;cuadra;4;60178;13258194944
graphCompDense;88;cuadra;2875;60001;10548674560
graphCompDense;89;cuadra;93;61750;13245612032
graphCompDense;90;cuadra;72;60632;13228834816
graphCompDense;91;cuadra;128;60001;11043602432
graphCompDense;92;cuadra;369;62688;13241417728
graphCompDense;93;cuadra;2835;60012;5175771136
graphCompDense;94;cuadra;139;61989;13233029120
graphCompDense;95;cuadra;17;60001;10133438464
graphCompDense;96;cuadra;126;61700;13245612032
graphCompDense;97;cuadra;388;60001;12918456320
graphCompDense;98;cuadra;199;61710;13228834816
graphCompDense;99;cuadra;72;62101;13224640512
