Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;double;3259;60001;11355778704
graphCompDense;1;double;5453;60002;11622416384
graphCompDense;2;double;143;61280;12780044288
graphCompDense;3;double;15616;60001;12813598720
graphCompDense;4;double;0;60001;13937672192
graphCompDense;5;double;0;60001;10078912512
graphCompDense;6;double;90;60001;13941866496
graphCompDense;7;double;48;60382;13157531648
graphCompDense;8;double;77;60001;13367246848
graphCompDense;9;double;0;60001;13367246848
graphCompDense;10;double;1578;60001;12536774656
graphCompDense;11;double;89;60001;13304332288
graphCompDense;12;double;0;60019;6798966784
graphCompDense;13;double;38;60005;12847153152
graphCompDense;14;double;218;60316;13224640512
graphCompDense;15;double;0;60001;13346275328
graphCompDense;16;double;0;60300;13237223424
graphCompDense;17;double;156;60848;13602127872
graphCompDense;18;double;479;60009;11752439808
graphCompDense;19;double;0;60001;13698596864
graphCompDense;20;double;0;60001;13476298752
graphCompDense;21;double;5114;60001;7818182656
graphCompDense;22;double;29491;60001;6526337024
graphCompDense;23;double;0;60792;13220446208
graphCompDense;24;double;151;61109;13245612032
graphCompDense;25;double;1887;60001;5460983808
graphCompDense;26;double;0;61114;13241417728
graphCompDense;27;double;47;60679;13249806336
graphCompDense;28;double;25;60449;13228834816
graphCompDense;29;double;41;60886;13237223424
graphCompDense;30;double;213;60168;12423528448
graphCompDense;31;double;0;60001;11320426496
graphCompDense;32;double;30;60001;9676259328
graphCompDense;33;double;12187;60001;14877196288
graphCompDense;34;double;71;60976;13237223424
graphCompDense;35;double;159;60681;13467910144
graphCompDense;36;double;830;60001;11874074624
graphCompDense;37;double;78;62267;13233029120
graphCompDense;38;double;771;60021;11140071424
graphCompDense;39;double;28041;60001;13123977216
graphCompDense;40;double;3;60044;13233029120
graphCompDense;41;double;56;60678;13224640512
graphCompDense;42;double;62;60001;13853786112
graphCompDense;43;double;5623;60001;13149143040
graphCompDense;44;double;405;60001;14352908288
graphCompDense;45;double;243;60001;13061062656
graphCompDense;46;double;1417;60001;9290383360
graphCompDense;47;double;71;60001;14164164608
graphCompDense;48;double;30;61473;13312720896
graphCompDense;49;double;147;60832;13233029120
graphCompDense;50;double;380;60001;14004781056
graphCompDense;51;double;1184;60750;12926844928
graphCompDense;52;double;0;60001;12457082880
graphCompDense;53;double;0;60496;13245612032
graphCompDense;54;double;3702;60001;14575206400
graphCompDense;55;double;59;61058;13233029120
graphCompDense;56;double;0;61294;13233029120
graphCompDense;57;double;255863;60001;2756459936
graphCompDense;58;double;0;60001;9965666304
graphCompDense;59;double;0;60778;13274972160
graphCompDense;60;double;1720;60001;12331253760
graphCompDense;61;double;7;61875;13241417728
graphCompDense;62;double;4;60576;13228834816
graphCompDense;63;double;94;60375;13241417728
graphCompDense;64;double;0;60001;10053746688
graphCompDense;65;double;37621;60001;2331196352
graphCompDense;66;double;1421;60001;13505658880
graphCompDense;67;double;0;60284;13241417728
graphCompDense;68;double;57;61006;13249806336
graphCompDense;69;double;19404;60001;13832814592
graphCompDense;70;double;77;61843;13224640512
graphCompDense;71;double;66;60001;12876513280
graphCompDense;72;double;4435;60001;3293557384
graphCompDense;73;double;416;60009;11735662592
graphCompDense;74;double;0;61371;13237223424
graphCompDense;75;double;0;60001;10678697984
graphCompDense;76;double;5;60001;13614710784
graphCompDense;77;double;0;60001;5704253440
graphCompDense;78;double;0;60272;13216251904
graphCompDense;79;double;0;60246;13224640512
graphCompDense;80;double;0;60001;7604273152
graphCompDense;81;double;0;60001;13891534848
graphCompDense;82;double;495;60008;11194597376
graphCompDense;83;double;2;60967;13224640512
graphCompDense;84;double;28728;60001;10955522048
graphCompDense;85;double;41;60001;13589544960
graphCompDense;86;double;0;60001;13539213312
graphCompDense;87;double;30;60001;13988003840
graphCompDense;88;double;99;60416;12796821504
graphCompDense;89;double;0;60001;13438550016
graphCompDense;90;double;69;60236;13199474688
graphCompDense;91;double;134;60001;13711179776
graphCompDense;92;double;22;61047;13245612032
graphCompDense;93;double;2470;60028;4731174912
graphCompDense;94;double;0;60012;13237223424
graphCompDense;95;double;47;62075;13228834816
graphCompDense;96;double;0;61926;13216251904
graphCompDense;97;double;0;60968;13237223424
graphCompDense;98;double;80;60670;13249806336
graphCompDense;99;double;0;60001;13690208256
