Estructura;ID;Aristas;Tiempo;Memoria
graphCompDense;0;3644;60001;9941904000
graphCompDense;1;2;60001;25019023360
graphCompDense;2;31661;60001;18505269248
graphCompDense;3;7;66016;24033361920
graphCompDense;4;0;60188;13270777856
graphCompDense;5;143;60001;23882366976
graphCompDense;6;11;60001;18970836992
graphCompDense;7;9731;60036;2139095040
graphCompDense;8;3325;60015;13186891776
graphCompDense;9;53;60001;23798480896
graphCompDense;10;0;61019;24096276480
graphCompDense;11;0;60001;25421676544
graphCompDense;12;0;60001;14285799424
graphCompDense;13;0;60001;9403629568
graphCompDense;14;4;60001;26583498752
graphCompDense;15;90;98512;26889682944
graphCompDense;16;0;61672;26898071552
graphCompDense;17;0;72720;27690795008
graphCompDense;18;108;61371;25480396800
graphCompDense;19;21;61711;27103592448
graphCompDense;20;283;60567;24901582848
graphCompDense;21;9862;60001;24943525888
graphCompDense;22;0;60001;26759659520
graphCompDense;23;11;60001;14898167808
graphCompDense;24;0;62317;15141437440
graphCompDense;25;2750;60001;18996002816
graphCompDense;26;16782;60001;24498929664
graphCompDense;27;149;60001;24746393600
graphCompDense;28;5429;60001;25341984768
graphCompDense;29;3220;60021;15820914688
graphCompDense;30;0;60001;9999220736
graphCompDense;31;2316;60740;26885488640
graphCompDense;32;3826;60001;17943232512
graphCompDense;33;4;61790;14797504512
graphCompDense;34;0;60001;9009364992
graphCompDense;35;518;60001;24888999936
graphCompDense;36;238;60001;26910654464
graphCompDense;37;2993;60001;14390657024
graphCompDense;38;5;60441;24259854336
graphCompDense;39;4716;60001;9214885888
graphCompDense;40;0;60001;27392999424
graphCompDense;41;47;60452;26881294336
graphCompDense;42;30;61098;25476202496
graphCompDense;43;58;60001;25618808832
graphCompDense;44;265;62633;26877100032
graphCompDense;45;2826;60001;16466837504
graphCompDense;46;39951;61634;23358078976
graphCompDense;47;0;60001;27783069696
graphCompDense;48;435;60001;24360517632
graphCompDense;49;9794;60001;26440892416
graphCompDense;50;0;62382;26872905728
graphCompDense;51;0;61214;26969374720
graphCompDense;52;0;60407;27766292480
graphCompDense;53;11207;60007;5913968640
graphCompDense;54;102;60001;27464302592
graphCompDense;55;29491;60001;12012486656
graphCompDense;56;136;60001;26772242432
graphCompDense;57;0;60297;26956791808
graphCompDense;58;193;60001;27044872192
graphCompDense;59;4;60001;25832718336
graphCompDense;60;162;60020;25941770240
graphCompDense;61;0;60967;27653046272
graphCompDense;62;17;60001;26260537344
graphCompDense;63;10;60001;19948109824
graphCompDense;64;196;60001;26658996224
graphCompDense;65;0;60001;27200061440
graphCompDense;66;358905;60001;9244246016
graphCompDense;67;0;61813;27694989312
graphCompDense;68;0;61590;27682406400
graphCompDense;69;4;60001;26264731648
graphCompDense;70;25;61171;27657240576
graphCompDense;71;346;60001;25971130368
graphCompDense;72;166;60001;25367150592
graphCompDense;73;3591;60001;12421451936
graphCompDense;74;173;60001;24985468928
graphCompDense;75;213;60001;14591983616
graphCompDense;76;0;60336;27468496896
graphCompDense;77;600;61741;26898071552
graphCompDense;78;8;60001;26751270912
graphCompDense;79;188;60001;26000490496
graphCompDense;80;30;60001;26826768384
graphCompDense;81;1990;61196;25203572736
graphCompDense;82;0;62099;26898071552
graphCompDense;83;23950;60001;23202889728
graphCompDense;84;11149;60001;14546927648
graphCompDense;85;163;60001;26357006336
graphCompDense;86;8533;60001;9089056768
graphCompDense;87;949;60001;23416799232
graphCompDense;88;0;60001;24855445504
graphCompDense;89;0;60001;27518828544
graphCompDense;90;887;60001;24444403712
graphCompDense;91;3156;60092;13270777856
graphCompDense;92;69;60001;24750587904
graphCompDense;93;0;60001;27040677888
graphCompDense;94;429;60001;25824329728
graphCompDense;95;2579;60019;16236150784
graphCompDense;96;8266;60011;14558429184
graphCompDense;97;166;61090;26885488640
graphCompDense;98;4407;60025;7650410496
graphCompDense;99;289;60001;15959326720
