Estructura;ID;Aristas;Tiempo;Memoria
graphCompDense;0;3301;60001;12085170320
graphCompDense;1;2;60001;13077839872
graphCompDense;2;3385;60001;16953376768
graphCompDense;3;7;60383;13233029120
graphCompDense;4;0;60001;13799260160
graphCompDense;5;143;60324;13119782912
graphCompDense;6;11;60001;16420700160
graphCompDense;7;8686;60001;2046820352
graphCompDense;8;968;60001;11014242304
graphCompDense;9;45;60263;13476298752
graphCompDense;10;0;60001;13723762688
graphCompDense;11;0;60001;14285799424
graphCompDense;12;0;60001;10108272640
graphCompDense;13;0;60001;7449083904
graphCompDense;14;4;60001;13576962048
graphCompDense;15;90;60199;13233029120
graphCompDense;16;0;60001;14004781056
graphCompDense;17;0;60001;14558429184
graphCompDense;18;99;60001;13497270272
graphCompDense;19;21;60452;13283360768
graphCompDense;20;77;60001;13312720896
graphCompDense;21;9861;60001;13996392448
graphCompDense;22;0;60001;14105444352
graphCompDense;23;11;60001;12696158208
graphCompDense;24;0;60001;7700742144
graphCompDense;25;1578;60001;12578717696
graphCompDense;26;16782;60001;13006536704
graphCompDense;27;120;60630;13455327232
graphCompDense;28;5429;60001;10578034688
graphCompDense;29;597;60001;10489954304
graphCompDense;30;0;60001;6736052224
graphCompDense;31;2308;60551;13245612032
graphCompDense;32;546;60001;13425967104
graphCompDense;33;4;60001;12096372736
graphCompDense;34;0;60001;8606711808
graphCompDense;35;220;62265;13228834816
graphCompDense;36;113;60067;13216251904
graphCompDense;37;547;60001;12398362624
graphCompDense;38;5;60001;12213813248
graphCompDense;39;1622;60019;6387924992
graphCompDense;40;0;61991;13241417728
graphCompDense;41;45;60001;13392412672
graphCompDense;42;30;60767;13535019008
graphCompDense;43;18;60536;13228834816
graphCompDense;44;143;60135;13228834816
graphCompDense;45;500;60005;11848908800
graphCompDense;46;39949;60001;12440305664
graphCompDense;47;0;60001;13929283584
graphCompDense;48;256;60001;12914262016
graphCompDense;49;9794;60001;12327059456
graphCompDense;50;0;60001;13597933568
graphCompDense;51;0;60361;13056868352
graphCompDense;52;0;60001;12712935424
graphCompDense;53;7259;60022;5792333824
graphCompDense;54;80;60144;13245612032
graphCompDense;55;29491;60047;6039797760
graphCompDense;56;82;60001;13786677248
graphCompDense;57;0;60001;13597933568
graphCompDense;58;123;60001;13585350656
graphCompDense;59;2;60001;13870563328
graphCompDense;60;151;60001;13384024064
graphCompDense;61;0;60001;13690208256
graphCompDense;62;7;60001;14508097536
graphCompDense;63;10;60001;11765022720
graphCompDense;64;130;60001;13425967104
graphCompDense;65;0;60001;13971226624
graphCompDense;66;349198;60002;9227468800
graphCompDense;67;0;60001;14201913344
graphCompDense;68;0;60001;14113832960
graphCompDense;69;4;60001;14105444352
graphCompDense;70;25;60001;14248050688
graphCompDense;71;346;60001;11853103104
graphCompDense;72;166;60001;14013169664
graphCompDense;73;3446;60001;13522436096
graphCompDense;74;31;61291;13233029120
graphCompDense;75;213;60001;12587106304
graphCompDense;76;0;60001;12159287296
graphCompDense;77;600;60001;13702791168
graphCompDense;78;3;60001;14336131072
graphCompDense;79;49;60009;13337886720
graphCompDense;80;30;60001;9206497280
graphCompDense;81;1990;60001;11328815104
graphCompDense;82;0;60001;13233029120
graphCompDense;83;1871;60001;13866369024
graphCompDense;84;9182;60001;13702791168
graphCompDense;85;71;61779;13233029120
graphCompDense;86;6514;60004;7579107328
graphCompDense;87;743;60001;12775849984
graphCompDense;88;0;60001;13316915200
graphCompDense;89;0;60001;13480493056
graphCompDense;90;830;60001;12188647424
graphCompDense;91;1622;60002;5981077504
graphCompDense;92;48;60001;12918456320
graphCompDense;93;0;60001;13769900032
graphCompDense;94;217;60001;13409189888
graphCompDense;95;753;60002;11123294208
graphCompDense;96;7534;60335;10229907456
graphCompDense;97;110;60255;13216251904
graphCompDense;98;1964;60002;5708447744
graphCompDense;99;289;60001;10330570752
