Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphCompDense;0;penta;33;60001;12238979072
graphCompDense;1;penta;0;60590;12670992384
graphCompDense;2;penta;139348;60001;1586760936
graphCompDense;3;penta;9814;60003;8610906112
graphCompDense;4;penta;146;61783;12943622144
graphCompDense;5;penta;26;60001;13316915200
graphCompDense;6;penta;77;60001;11957960704
graphCompDense;7;penta;65;60551;13014925312
graphCompDense;8;penta;10094;60001;14923333632
graphCompDense;9;penta;50;60001;12721324032
graphCompDense;10;penta;2193;60001;5146411008
graphCompDense;11;penta;4581;60001;10489954304
graphCompDense;12;penta;3753031;60001;8032092160
graphCompDense;13;penta;784;60001;8459911168
graphCompDense;14;penta;116;60001;11504975872
graphCompDense;15;penta;1843;60030;6593445888
graphCompDense;16;penta;95;60001;17536385024
graphCompDense;17;penta;181;63151;13233029120
graphCompDense;18;penta;658;60003;11593056256
graphCompDense;19;penta;9931;60001;11953766400
graphCompDense;20;penta;96;60005;13274972160
graphCompDense;21;penta;5079;60011;5679087616
graphCompDense;22;penta;114;60001;14126415872
graphCompDense;23;penta;95;60018;13669236736
graphCompDense;24;penta;216;60001;9558818816
graphCompDense;25;penta;479;60009;12377391104
graphCompDense;26;penta;411090;60001;9785311232
graphCompDense;27;penta;107;62221;13220446208
graphCompDense;28;penta;100;60562;13212057600
graphCompDense;29;penta;892;60009;11081351168
graphCompDense;30;penta;48;60326;13228834816
graphCompDense;31;penta;82;61263;13228834816
graphCompDense;32;penta;2264;60001;11341398016
graphCompDense;33;penta;10910;60003;6798966784
graphCompDense;34;penta;5577;60002;6006243328
graphCompDense;35;penta;224;60001;13555990528
graphCompDense;36;penta;2433;60256;11802771456
graphCompDense;37;penta;282;60393;13216251904
graphCompDense;38;penta;2477;60025;4508876800
graphCompDense;39;penta;450;60001;6727663616
graphCompDense;40;penta;6996;60009;5108662272
graphCompDense;41;penta;113;60001;14004781056
graphCompDense;42;penta;8725;60008;3758096384
graphCompDense;43;penta;11541;60001;11811160064
graphCompDense;44;penta;1748;60001;12947816448
graphCompDense;45;penta;30926;60001;14088667136
graphCompDense;46;penta;1627;61116;7230980096
graphCompDense;47;penta;2142;60016;5939134464
graphCompDense;48;penta;65;61141;13329498112
graphCompDense;49;penta;145;60001;12717129728
graphCompDense;50;penta;64921;60001;16261316608
graphCompDense;51;penta;126;61284;13233029120
graphCompDense;52;penta;110;60063;13237223424
graphCompDense;53;penta;157;60001;11618222080
graphCompDense;54;penta;306;60444;12641632256
graphCompDense;55;penta;318;60001;13136560128
graphCompDense;56;penta;80;60450;13224640512
graphCompDense;57;penta;66;60318;13216251904
graphCompDense;58;penta;34;60102;13245612032
graphCompDense;59;penta;96;60822;13476298752
graphCompDense;60;penta;275;60896;13216251904
graphCompDense;61;penta;181;60851;13488881664
graphCompDense;62;penta;10639;60001;12670992384
graphCompDense;63;penta;1724;60001;10708058112
graphCompDense;64;penta;204;60099;13245612032
graphCompDense;65;penta;7713;60001;10494148608
graphCompDense;66;penta;182;61070;13237223424
graphCompDense;67;penta;2164;60018;6253707264
graphCompDense;68;penta;94;60001;10359930880
graphCompDense;69;penta;8558;60001;9399435264
graphCompDense;70;penta;266;60001;12884901888
graphCompDense;71;penta;1360;60001;12993953792
graphCompDense;72;penta;1187;61411;10150215680
graphCompDense;73;penta;667;60012;11991515136
graphCompDense;74;penta;1614;60001;13103005696
graphCompDense;75;penta;1553;60010;7990149120
graphCompDense;76;penta;24;61475;13254000640
graphCompDense;77;penta;0;60125;13241417728
graphCompDense;78;penta;83;61868;13233029120
graphCompDense;79;penta;104;61181;13224640512
graphCompDense;80;penta;83;60001;13459521536
graphCompDense;81;penta;95;60398;13233029120
graphCompDense;82;penta;721;60001;12880707584
graphCompDense;83;penta;25610;60001;14734589952
graphCompDense;84;penta;1730;60001;11043602432
graphCompDense;85;penta;26021;60001;4856317144
graphCompDense;86;penta;106;61379;13224640512
graphCompDense;87;penta;4;60510;13249806336
graphCompDense;88;penta;2291;60001;4735369216
graphCompDense;89;penta;189;60444;13233029120
graphCompDense;90;penta;148;60001;13463715840
graphCompDense;91;penta;29;61192;12872318976
graphCompDense;92;penta;1289;60001;12721324032
graphCompDense;93;penta;2180;60010;4714397696
graphCompDense;94;penta;148;60002;13316915200
graphCompDense;95;penta;152;60001;12645826560
graphCompDense;96;penta;2865;60001;13723762688
graphCompDense;97;penta;165;60001;12633243648
graphCompDense;98;penta;214;60001;13031702528
graphCompDense;99;penta;64878;60001;9940500480
